Unnamed: 0,Principles for Responsible Banking - self-assessment,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,"NAB is a founding signatory of the Principles for Responsible Banking (PRB) and BNZ joined as a PRB subsidiary bank member in 2021. Through implementing the PRB principles, NAB and BNZ are working to align their business activities with the vision society has set out for its future in the Sustainable Development Goals and the Paris Climate Agreement. For detail on NAB's progress against the PRB see NAB's year four self-assessment at nab.com.au/about-us/social-impact/shareholders/performance-and-reporting, for details on BNZÃ¢ÂÂs progress against the PRB see BNZÃ¢ÂÂs latest self-assessment at bnz.co.nz/about-us/sustainability/reports.",,,,,
1,United Nations Guiding Principles Business and Human Rights - Salient Issues,,,,,
2,"We understand that human rights issues can arise in our own operations and when engaging with external parties, especially customer interactions, financing and investments, and our supply chain. Salient human rights issues can occur in a range of geographies where the Group operates or has business relationships. The need to consider human rights - including the salient issues below- is incorporated within the Group's Human Rights Policy and ESG Risk Management processes (refer Annual Report p53-55).\n\nWe identify salient human rights issues through our internal risk management and materiality review processes. We also regularly engage with civil society and other stakeholders who raise human rights issues with us. During the year, we participated in a range of multi-stakeholder forums like industry, government and civil society seminars, roundtables and working groups to discuss human rights and grow shared understanding of issues such as modern slavery.\n\nHow we are addressing salient human rights is described throughout this report and is summarised in the table below.",,,,,
3,Salient human rights issue,,Reference to Annual Report (unless otherwise stated),Reference 1,Reference 2,Reference 3
4,"Anti-discrimination, harassment and bullying",,- Anti-harassment and discrimination (p33-34)\n - Respecting human rights - Managing grievances (p50)\n - Website - Discrimination & Harassment guidelines \n - Website - National Australia Bank Ltd Code of Conduct\n - Website - Human rights approach,link,link,link
5,Freedom of association and collective bargaining,,- Enterprise Agreement (p36)\n - Human rights areas of focus (p51),,,
6,"Fair, equitable, diverse, inclusive and flexible employment practices",,- Employer of Choice Awards (p31)\n - Inclusion and Diversity (p32-34)\n - Progress against NAB's 2021-2025 Measurable Objectives (p35)\n - Sustainability Data Pack - Workforce tab\n - Website - Inclusion and diversity at NAB\n - Website - National Australia Bank Ltd Code of Conduct,link,link,
7,Financial literacy and inclusion,,- Inclusive banking (p27)\n - Website - Policies and approach\n - Website - Managing your financial health\n - Website - Financial assistance,link,link,link
8,"Health, safety, security and wellbeing",,"- Health, safety and wellbeing (p36)\n - Website - National Australia Bank Ltd Code of Conduct\n - Website - Benefits of working at NAB",link,link,
9,Customer financial resilience and hardship,,- Financial hardship assistance (p26)\n - Accelerating our efforts to protect customers against scams and fraud (p27)\n - Supporting customers experiencing vulnerability (p26)\n - NAB Ready Together (p48)\n - Website - Policies and approach\n - Website - Managing your financial health\n - Website - Financial assistance,link,link,link
10,Fair and responsible financial products and services,,- 2023 Sustainability scorecard (p25)\n - Customers (p26-29)\n - Affordable and specialist housing (p29)\n - Investor Presentation - Commercial responses to societal challenges (p127)\n - Website - Financial services guide,link,,
11,"Accessible products, services, technology and buildings",,- Accessibility (p27 & 33)\n - Website - Inclusion and diversity at NAB\n - Website - Accessibility action plan,link,link,
12,Corruption and bribery,,- Financial crime (p46)\n - Anti-bribery and corruption policy (p82)\n - Website - Managing financial crime,link,,
13,"Privacy, information security and data protection",,"- 2023 Sustainability scorecard (p25)\n - Technology, data and security (p43-46)\n - Website - Privacy policy\n - Website - Privacy and your personal information\n - Website - Safely storing your data",link,link,link
