Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Biodiversity (01 August - 31 July period),,,,
,Biodiversity,UNIT,GRI REFERENCE,2022-23,COMMENTS
,Habitats protected or restored,,,,
,Size and location of all habitat areas protected or restored,,,,
,Bengalla,ha,304-3a,1869,
,New Acland,ha,304-3a,1372,
,Jeebropilly ,ha,304-3a,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,Bridgeport ,ha,304-3a,Not reported,
,QBH,ha,304-3a,,
,Brisbane Head Office,ha,304-3a,,
,Total size of all habitat areas protected or restored,ha,304-3a,3241,
,,,,,
,IUCN Red List species and national conservation list species with habitats in areas affected by operations ,,,,
,Critically endangered,,,,
,Bengalla,#,304-4a,0,
,New Acland,#,304-4a,0,
,Jeebropilly ,#,304-4a,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,Bridgeport ,#,304-4a,Not reported,
,QBH,#,304-4a,,
,Brisbane Head Office,#,304-4a,,
,Total critically endangered,#,304-4a,0,
,,,,,
,Endangered,,,,
,Bengalla,#,304-4a,0,
,New Acland,#,304-4a,0,
,Jeebropilly ,#,304-4a,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,Bridgeport ,#,304-4a,Not reported,
,QBH,#,304-4a,,
,Brisbane Head Office,#,304-4a,,
,Total endangered,#,304-4a,0,
,,,,,
,Vulnerable,,,,
,Bengalla,#,304-4a,3,
,New Acland,#,304-4a,3,
,Jeebropilly ,#,304-4a,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,Bridgeport ,#,304-4a,Not reported,
,QBH,#,304-4a,,
,Brisbane Head Office,#,304-4a,,
,Total vulnerable,#,304-4a,6,
,,,,,
,Near threatened,,,,
,Bengalla,#,304-4a,1,
,New Acland,#,304-4a,6,
,Jeebropilly ,#,304-4a,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,Bridgeport ,#,304-4a,Not reported,
,QBH,#,304-4a,,
,Brisbane Head Office,#,304-4a,,
,Total near threatened,#,304-4a,7,
,,,,,
,Least concern,,,,
,Bengalla,#,304-4a,24,
,New Acland,#,304-4a,0,
,Jeebropilly ,#,304-4a,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,Bridgeport ,#,304-4a,Not reported,
,QBH,#,304-4a,,
,Brisbane Head Office,#,304-4a,,
,Total least concern,#,304-4a,24,
