Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Closure and rehabilitation (01 August - 31 July period),,,,,,,
,Rehabilitation,UNIT,GRI REFERENCE,2022-23,2021-22,2020-21,2019-20,COMMENTS
,Closure,,,,,,,
,Monetary value of financial provisions for closures and rehabilitation,,,,,,,
,Bengalla,$,Additional sector disclosures,111832000,111832000,Not reported,Not reported,
,New Acland,$,Additional sector disclosures,58383168.5799999,47089206,Not reported,Not reported,
,Jeebropilly ,$,Additional sector disclosures,13911726.01,12811994,Not reported,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,$,Additional sector disclosures,,2492004,Not reported,Not reported,New Oakleigh mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,$,Additional sector disclosures,,0,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,$,Additional sector disclosures,14312423,Not reported,Not reported,Not reported,
,QBH,$,Additional sector disclosures,,,,,
,Brisbane Head Office,$,Additional sector disclosures,,,,,
,Burton (Lenton JV),$,Additional sector disclosures,,68428645,Not reported,Not reported,The Burton Mine was sold during FY22.
,Total monetary financial provisions for closures and rehabilitation,$,Additional sector disclosures,198439317.58999988,242653849,0,0,
,,,,,,,,
,Rehabilitation,,,,,,,
,Land owned / leased,,,,,,,
,Bengalla,ha,,1869,1942,1927,1927.42,73 hectares of Bengalla's mining lease area was leased to a third-party in FY23.
,New Acland,ha,,5903,5903,5903,5903,
,Jeebropilly ,ha,,1321,1444,1444,1444,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,ha,,,995,995,995,New Oakleigh mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,ha,,,94,94,94,Chuwa Coal Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,ha,,1171800,1171800,24133000,24133000,
,QBH,ha,,16,16,16,16,
,Brisbane Head Office,ha,,,,,,
,Burton (Lenton JV),ha,,,7096,7096,7095.9,The Burton Mine was sold during FY22.
,Total land owned / leased,ha,,1180909,1189290,24150475,24150475.32,
,,,,,,,,
,Land disturbed,,,,,,,
,Bengalla,ha,,1089.55,963,1214,917.74,
,New Acland,ha,,1527,1524,1524,1524,
,Jeebropilly ,ha,,1155,1142,1142,1142,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,ha,,,279,273,273,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,ha,,,20,20,20.4,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,ha,,0,0,0,0,
,QBH,ha,,,,,,
,Brisbane Head Office,ha,,,,,,
,Burton (Lenton JV),ha,,,1977,1977,2702,The Burton Mine was sold during FY22.
,Total land disturbed,ha,,3771.55,5905,6150,6579.139999999999,
,,,,,,,,
,Land rehabilitated during the reporting period  ,,,,,,,
,Bengalla,ha,,0,27,21,21.53,
,New Acland,ha,,5,0,55,59,
,Jeebropilly ,ha,,0,0,3,149.5,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,ha,,,0,34,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,ha,,,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,ha,,0,0,0,18,
,QBH,ha,,,,,,
,Brisbane Head Office,ha,,,,,,
,Burton (Lenton JV),ha,,,0,0,0,The Burton Mine was sold during FY22.
,Total land rehabilitated during the reporting period  ,ha,,5,27,113,248.03,
,,,,,,,,
,Cumulative land rehabilitated,,,,,,,
,Bengalla,ha,,308,308,268,255.04,
,New Acland,ha,,698,718,719,664,The decrease in cumulative land rehabilitated in FY23 has resulted from a change in processes and systems from FY22.
,Jeebropilly ,ha,,786.3,760,760,756.5,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,ha,,,228,271,237,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,ha,,,20,20,20.4,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,ha,,18,18,18,18,
,QBH,ha,,,,,,
,Brisbane Head Office,ha,,,,,,
,Burton (Lenton JV),ha,,,805,804.5,787,The Burton Mine was sold during FY22.
,Total cumulative area rehabilitated ,ha,,1810.3,2857,2860.5,2737.94,
