Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Communities (01 August - 31 July period),,,,,,,
,,UNIT,GRI REFERENCE,2022-23,2021-22,2020-21,2019-20,COMMENTS
,Community support,,,,,,,
,Community investments,,,,,,,
,"NAC, West Moreton, Lenton/Burton, QBH, Bridgeport, North Surat, APC",AUD,201-1 (a-ii),73700,503400,0,320000,
,Bengalla,AUD,201-1 (a-ii),699000,529363,337000,1251000,
,Total community investments,AUD,201-1 (a-ii),772700,1032763,337000,1571000,
,,,,,,,,
,Number of community groups supported,,,,,,,
,Total number of community support recipients,#,,115,79,78,Not reported,
,,,,,,,,
,Community complaints,,,,,,,
,Complaints received,,,,,,,
,Noise complaints,,,,,,,
,Bengalla,#,,3,11,20,3,
,New Acland,#,,0,0,2,12,
,Jeebropilly ,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,#,,0,Not reported,Not reported,Not reported,
,QBH,#,,0,Not reported,Not reported,Not reported,
,Brisbane Head Office,#,,,,,,
,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
,Total noise complaints,#,,3,11,22,15,
,,,,,,,,
,Air quality complaints (dust),,,,,,,
,Bengalla,#,,5,1,8,23,
,New Acland,#,,0,0,0,0,
,Jeebropilly ,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,#,,0,Not reported,Not reported,Not reported,
,QBH,#,,0,Not reported,Not reported,Not reported,
,Brisbane Head Office,#,,,,,,
,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
,Total air quality complaints,#,,5,1,8,23,
,,,,,,,,
,"Blasting complaints (overpressure, vibration, fume)",,,,,,,
,Bengalla,#,,25,31,39,22,
,New Acland,#,,1,0,3,3,
,Jeebropilly ,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,#,,0,Not reported,Not reported,Not reported,
,QBH,#,,0,Not reported,Not reported,Not reported,
,Brisbane Head Office,#,,,,,,
,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
,"Total blasting complaints (overpressure, vibration, fume)",#,,26,31,42,25,
,,,,,,,,
,Waste complaints,,,,,,,
,Bengalla,#,,0,0,0,0,
,New Acland,#,,0,0,0,0,
,Jeebropilly ,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,#,,0,Not reported,Not reported,Not reported,
,QBH,#,,0,Not reported,Not reported,Not reported,
,Brisbane Head Office,#,,,,,,
,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
,Total waste complaints,#,,0,0,0,0,
,,,,,,,,
,Visual complaints (light),,,,,,,
,Bengalla,#,,0,0,3,8,
,New Acland,#,,0,0,0,0,
,Jeebropilly ,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,#,,0,Not reported,Not reported,Not reported,
,QBH,#,,0,Not reported,Not reported,Not reported,
,Brisbane Head Office,#,,,,,,
,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
,Total visual complaints (light),#,,0,0,3,8,
,,,,,,,,
,Other complaints,,,,,,,
,Bengalla,#,,4,1,4,6,
,New Acland,#,,0,1,0,1,
,Jeebropilly ,#,,0,0,0,1,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,#,,0,Not reported,Not reported,Not reported,
,QBH,#,,0,Not reported,Not reported,Not reported,
,Brisbane Head Office,#,,,,,,
,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
,Total other complaints,#,,4,2,4,8,
,,,,,,,,
,Total complaints received ,#,,38,45,79,79,
,,,,,,,,
,Reporting on rights of indigenous peoples,,,,,,,
,Incidence of violations involving rights of indigenous peoples,,,,,,,
,Bengalla,#,411-1 (a),0,0,Not reported,Not reported,
,New Acland,#,411-1 (a),0,0,Not reported,Not reported,
,Jeebropilly ,#,411-1 (a),0,0,Not reported,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
,New Oakleigh ,#,411-1 (a),,0,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
,Chuwar ,#,411-1 (a),,0,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
,Bridgeport ,#,411-1 (a),0,0,Not reported,Not reported,
,QBH,#,411-1 (a),0,0,Not reported,Not reported,
,Brisbane Head Office,#,411-1 (a),0,0,Not reported,Not reported,
,Burton (Lenton JV),#,411-1 (a),,0,Not reported,Not reported,The Burton Mine was sold during FY22.
,Total number of identified incidents,#,411-1 (a),0,0,0,0,
