Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,Communities (01 August - 31 July period),,,,,,,
1,,,UNIT,GRI REFERENCE,2022-23,2021-22,2020-21,2019-20,COMMENTS
2,,Community support,,,,,,,
3,,Community investments,,,,,,,
4,,"NAC, West Moreton, Lenton/Burton, QBH, Bridgeport, North Surat, APC",AUD,201-1 (a-ii),73700,503400,0,320000,
5,,Bengalla,AUD,201-1 (a-ii),699000,529363,337000,1251000,
6,,Total community investments,AUD,201-1 (a-ii),772700,1032763,337000,1571000,
8,,Number of community groups supported,,,,,,,
9,,Total number of community support recipients,#,,115,79,78,Not reported,
11,,Community complaints,,,,,,,
12,,Complaints received,,,,,,,
13,,Noise complaints,,,,,,,
14,,Bengalla,#,,3,11,20,3,
15,,New Acland,#,,0,0,2,12,
16,,Jeebropilly,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
17,,New Oakleigh,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
18,,Chuwar,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
19,,Bridgeport,#,,0,Not reported,Not reported,Not reported,
20,,QBH,#,,0,Not reported,Not reported,Not reported,
21,,Brisbane Head Office,#,,,,,,
22,,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
23,,Total noise complaints,#,,3,11,22,15,
25,,Air quality complaints (dust),,,,,,,
26,,Bengalla,#,,5,1,8,23,
27,,New Acland,#,,0,0,0,0,
28,,Jeebropilly,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
29,,New Oakleigh,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
30,,Chuwar,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
31,,Bridgeport,#,,0,Not reported,Not reported,Not reported,
32,,QBH,#,,0,Not reported,Not reported,Not reported,
33,,Brisbane Head Office,#,,,,,,
34,,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
35,,Total air quality complaints,#,,5,1,8,23,
37,,"Blasting complaints (overpressure, vibration, fume)",,,,,,,
38,,Bengalla,#,,25,31,39,22,
39,,New Acland,#,,1,0,3,3,
40,,Jeebropilly,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
41,,New Oakleigh,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
42,,Chuwar,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
43,,Bridgeport,#,,0,Not reported,Not reported,Not reported,
44,,QBH,#,,0,Not reported,Not reported,Not reported,
45,,Brisbane Head Office,#,,,,,,
46,,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
47,,"Total blasting complaints (overpressure, vibration, fume)",#,,26,31,42,25,
49,,Waste complaints,,,,,,,
50,,Bengalla,#,,0,0,0,0,
51,,New Acland,#,,0,0,0,0,
52,,Jeebropilly,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
53,,New Oakleigh,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
54,,Chuwar,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
55,,Bridgeport,#,,0,Not reported,Not reported,Not reported,
56,,QBH,#,,0,Not reported,Not reported,Not reported,
57,,Brisbane Head Office,#,,,,,,
58,,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
59,,Total waste complaints,#,,0,0,0,0,
61,,Visual complaints (light),,,,,,,
62,,Bengalla,#,,0,0,3,8,
63,,New Acland,#,,0,0,0,0,
64,,Jeebropilly,#,,0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.
65,,New Oakleigh,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
66,,Chuwar,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
67,,Bridgeport,#,,0,Not reported,Not reported,Not reported,
68,,QBH,#,,0,Not reported,Not reported,Not reported,
69,,Brisbane Head Office,#,,,,,,
70,,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
71,,Total visual complaints (light),#,,0,0,3,8,
73,,Other complaints,,,,,,,
74,,Bengalla,#,,4,1,4,6,
75,,New Acland,#,,0,1,0,1,
76,,Jeebropilly,#,,0,0,0,1,Jeebropilly Mine has been under rehabilitation since FY20.
77,,New Oakleigh,#,,,Not reported,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
78,,Chuwar,#,,,Not reported,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
79,,Bridgeport,#,,0,Not reported,Not reported,Not reported,
80,,QBH,#,,0,Not reported,Not reported,Not reported,
81,,Brisbane Head Office,#,,,,,,
82,,Burton (Lenton JV),#,,,Not reported,Not reported,Not reported,The Burton Mine was sold during FY22.
83,,Total other complaints,#,,4,2,4,8,
85,,Total complaints received,#,,38,45,79,79,
87,,Reporting on rights of indigenous peoples,,,,,,,
88,,Incidence of violations involving rights of indigenous peoples,,,,,,,
89,,Bengalla,#,411-1 (a),0,0,Not reported,Not reported,
90,,New Acland,#,411-1 (a),0,0,Not reported,Not reported,
91,,Jeebropilly,#,411-1 (a),0,0,Not reported,Not reported,Jeebropilly Mine has been under rehabilitation since FY20.
92,,New Oakleigh,#,411-1 (a),,0,Not reported,Not reported,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.
93,,Chuwar,#,411-1 (a),,0,Not reported,Not reported,Chuwar Mine was fully rehabilitated and relinquished in FY22.
94,,Bridgeport,#,411-1 (a),0,0,Not reported,Not reported,
95,,QBH,#,411-1 (a),0,0,Not reported,Not reported,
96,,Brisbane Head Office,#,411-1 (a),0,0,Not reported,Not reported,
97,,Burton (Lenton JV),#,411-1 (a),,0,Not reported,Not reported,The Burton Mine was sold during FY22.
98,,Total number of identified incidents,#,411-1 (a),0,0,0,0,
