Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Historical NGER emissions data (01 July - 30 June period),,,,,
,Operational energy and emissions,UNIT,2021-2022,2020-21,2019-20,COMMENTS
,Operational GHG emissions,,,,,
,Scope 1 GHG emissions,,,,,
,Bengalla (100% basis),tCO2e,725774,449399,538857,
,New Acland,tCO2e,8022,29290,46137,
,Jeebropilly,tCO2e,0,162,20624,
,New Oakleigh,tCO2e,,1043,9,
,Bridgeport,tCO2e,19049,19011,9177,
,QBH,tCO2e,796,1262,1787,
,Brisbane Head Office,tCO2e,10,142,375,
,Total Scope 1 GHG emissions,tCO2e,753651,500309,616966,
,,,,,,
,Scope 2 GHG emissions,,,,,
,Bengalla (100% basis),tCO2e,61521,53694,61929,
,New Acland,tCO2e,5708,11470,17397,
,Jeebropilly,tCO2e,120,179,1820,
,New Oakleigh,tCO2e,,6,12,
,Bridgeport,tCO2e,50,61,50,
,QBH,tCO2e,2673,3419,4249,
,Brisbane Head Office,tCO2e,10,85,356,
,Total Scope 2 GHG emissions,tCO2e,70082,68914,85813,
,,,,,,
,Scope 1 and 2 GHG emissions,,,,,
,Bengalla (100% basis),tCO2e,787295,503093,600786,
,New Acland,tCO2e,13730,40760,63534,
,Jeebropilly,tCO2e,120,341,22444,
,New Oakleigh,tCO2e,0,1049,21,
,Bridgeport,tCO2e,19099,19072,9227,
,QBH,tCO2e,3469,4681,6036,
,Brisbane Head Office,tCO2e,20,227,731,
,Total Scope 1 and 2 GHG emissions,tCO2e,823733,569223,702779,
,,,,,,
,Scope 3 GHG emissions,tCO2e,Not reported,Not reported,Not reported,
,,,,,,
,Energy use,,,,,
,Total energy use (direct and indirect),,,,,
,Bengalla (100% basis),GJ,2636980,2808053,2819739,
,New Acland,GJ,139118,461832,730028,
,Jeebropilly,GJ,540,3121,166825,
,New Oakleigh,GJ,,14849,185,
,Bridgeport,GJ,355593,354760,169910,
,QBH,GJ,23375,33301,44578,
,Brisbane Head Office,GJ,195,2395,6954,
,Total energy use (direct and indirect),GJ,3155801,3678311,3938219,
,,,,,,
,Electricity from the grid,,,,,
,Bengalla (100% basis),GJ,276578,238640.00000000003,275239,
,New Acland,GJ,21415,50977.77777777778,77319,
,Jeebropilly,GJ,540,795.5555555555555,8088,
,New Oakleigh,GJ,,26.666666666666668,52,
,Bridgeport,GJ,226,271.11111111111114,224,
,QBH,GJ,11201,15195.555555555557,18886,
,Brisbane Head Office,GJ,195,377.77777777777777,1584,
,Total electricity from the grid,GJ,310155,306284.4444444445,381392,
,,,,,,
,Energy and emissions intensity,,,,,
,Production specific metric,,,,,
,Bengalla (100% basis),ROMt,12030967,12309120,12699533,
,New Acland,ROMt,977876,3963215.15,5779732,
,Jeebropilly,ROMt,0,0,487694,
,Bridgeport,barrels of oil (bbl),242983,258614,352027,
,QBH,tonnes throughput,2841068,4054889,5437385,
,,,,,,
,GHG emissions intensity,,,,,
,Bengalla (100% basis),tCO2e/ROMt,0.0654390457558399,0.04087156514844278,0.047307723835199295,
,New Acland,tCO2e/ROMt,0.014040635008937739,0.010284579175571632,0.010992551211717083,
,Jeebropilly,tCO2e/ROMt,,,0.04602066049613077,
,Bridgeport,tCO2e/bbl,0.07860220673874303,0.0737469742550674,0.02621105767455337,
,QBH,tCO2e/tonnes throughput,0.0012210197010420025,0.0011544089123031482,0.0011100924433344336,
,,,,,,
,Energy intensity,,,,,
,Bengalla (100% basis),GJ/ROMt,0.21918271407443807,0.22812784342016326,0.22203485750224045,
,New Acland,GJ/ROMt,0.14226548151299348,0.11652963125153577,0.12630827865375072,
,Jeebropilly,GJ/ROMt,,,0.3420690022842192,
,Bridgeport,GJ/bbl,1.4634480601523563,1.3717741498913438,0.48266184127922007,
,QBH,GJ/tonnes throughput,0.008227539784334624,0.008212555263534958,0.008198426265566995,
