Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Waste (01 August - 31 July period),,,,,,,
,Waste and tailings storage facility management,UNIT,GRI REFERENCE,2022-23,2021-22,2020-21,2019-20,COMMENTS
,Waste generated,,,,,,,
,Waste generated,,,,,,,
,Hazardous waste,tonnes,306-3 (a),684.467,617,1011.5143,1166.3200000000002,
,Non-hazardous waste,tonnes,306-3 (a),3168.2960000000003,2684.3469999999998,2695,2574,
,Total waste generated,tonnes,306-3 (a),3852.7630000000004,3301.3469999999998,3706.5143,3740.32,
,,,,,,,,
,Recycling,,,,,,,
,Recycling rate,,,,,,,
,Total waste generated,tonnes,,3852.7630000000004,3301.3469999999998,3706.5143,3740.32,
,Total recycling,tonnes,,2026.7379999999998,1469.558,1293.084,1585.3429999999998,
,Recycling rate,%,,0.5260479297584616,0.44513890845161086,0.3488679377279079,0.42385223724173327,
,,,,,,,,
,Waste diverted from disposal,,,,,,,
,Hazardous waste diverted from disposal,,,,,,,
,Hazardous waste reused,,,,,,,
,Bengalla,tonnes,306-4 (b-i),0,0,0,0,
,New Acland,tonnes,306-4 (b-i),0,0,0,0,
,West Moreton (all sites) ,tonnes,306-4 (b-i),0,0,0,0,"West Moreton consists of the Jeebropilly, Chuwar, and New Oakleigh Mines. Chuwar was fully rehabilitated and relinquished in FY22. New Oakleigh was undergoing rehabilitation since FY13 and was sold in FY23. Jeebropilly has been undergoing rehabilitation since FY20."
,QBH,tonnes,306-4 (b-i),0,3,0,0,
,Brisbane Head Office,tonnes,306-4 (b-i),,,,,
,Burton (Lenton JV),tonnes,306-4 (b-i),,0,0,0,The Burton Mine was sold during FY22.
,Total hazardous waste reused,tonnes,306-4 (b-i),0,3,0,0,
,,,,,,,,
,Hazardous waste recycled,,,,,,,
,Bengalla,tonnes,306-4 (b-ii),598.77,568,520,606,
,New Acland,tonnes,306-4 (b-ii),54.6,0,0,0,
,West Moreton (all sites) ,tonnes,306-4 (b-ii),0,0,0,0,"West Moreton consists of the Jeebropilly, Chuwar, and New Oakleigh Mines. Chuwar was fully rehabilitated and relinquished in FY22. New Oakleigh was undergoing rehabilitation since FY13 and was sold in FY23. Jeebropilly has been undergoing rehabilitation since FY20."
,QBH,tonnes,306-4 (b-ii),2.56,0,0,0,
,Brisbane Head Office,tonnes,306-4 (b-ii),,,,,
,Burton (Lenton JV),tonnes,306-4 (b-ii),,0,0,0,The Burton Mine was sold during FY22.
,Total hazardous waste recycled,tonnes,306-4 (b-ii),655.93,568,520,606,
,,,,,,,,
,Other recovery options for hazardous waste,,,,,,,
,Hazardous waste recovered (including energy recovery),,,,,,,
,Bengalla,tonnes,306-4 (b-iii),0,0,0,0,
,New Acland,tonnes,306-4 (b-iii),0,0,476.912,439.2,
,West Moreton (all sites) ,tonnes,306-4 (b-iii),0,0,5.8,118.17,"West Moreton consists of the Jeebropilly, Chuwar, and New Oakleigh Mines. Chuwar was fully rehabilitated and relinquished in FY22. New Oakleigh was undergoing rehabilitation since FY13 and was sold in FY23. Jeebropilly has been undergoing rehabilitation since FY20."
,QBH,tonnes,306-4 (b-iii),0,0,5.42,2.95,
,Brisbane Head Office,tonnes,306-4 (b-iii),,,,,
,Burton (Lenton JV),tonnes,306-4 (b-iii),,0,0,0,The Burton Mine was sold during FY22.
,Total hazardous waste recovered (including energy recovery),tonnes,306-4 (b-iii),0,0,488.132,560.32,
,,,,,,,,
,Hazardous waste stored on-site,,,,,,,
,Bengalla,tonnes,306-4 (b-iii),0,0,0,0,
,New Acland,tonnes,306-4 (b-iii),0,0,0,0,
