Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Water stewardship (excluding Bengalla) (01 August - 31 July period),,,,,,,,,
,Water stewardship,UNIT,GRI REFERENCE,2022-23,2021-22,2020-21,2019-20,COMMENTS,,
,Water withdrawal,,,,,,,,,
,Surface water withdrawn,,,,,,,,,
,New Acland,ML,303-3 (a-i),1543,1920,1200,1580,,,
,Jeebropilly ,ML,303-3 (a-i),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
,New Oakleigh ,ML,303-3 (a-i),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
,Chuwar ,ML,303-3 (a-i),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
,Bridgeport ,ML,303-3 (a-i),0,0,0,0,,,
,QBH,ML,303-3 (a-i),,,,,,,
,Brisbane Head Office,ML,303-3 (a-i),,,,,,,
,Burton (Lenton JV),ML,303-3 (a-i),,52,0.793958,245.11,The Burton Mine was sold during FY22.,,
,Total surface water withdrawn,ML,303-3 (a-i),1543,1972,1200.793958,1825.1100000000001,,,
,,,,,,,,,,
,Groundwater withdrawn,,,,,,,,,
,New Acland,ML,303-3 (a-ii),124,116,339,385,,,
,Jeebropilly ,ML,303-3 (a-ii),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
,New Oakleigh ,ML,303-3 (a-ii),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
,Chuwar ,ML,303-3 (a-ii),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
,Bridgeport ,ML,303-3 (a-ii),0,0,0,0,,,
,QBH,ML,303-3 (a-ii),,,,,,,
,Brisbane Head Office,ML,303-3 (a-ii),,,,,,,
,Burton (Lenton JV),ML,303-3 (a-ii),,0,0,0,The Burton Mine was sold during FY22.,,
,Total groundwater withdrawn,ML,303-3 (a-ii),124,116,339,385,,,
,,,,,,,,,,
,Produced water withdrawn,,,,,,,,,
,New Acland,ML,303-3 (a-iv),0,0,0,0,,,
,Jeebropilly ,ML,303-3 (a-iv),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
,New Oakleigh ,ML,303-3 (a-iv),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
