Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Water stewardship (excluding Bengalla) (01 August - 31 July period),,,,,,,,,
1,,Water stewardship,UNIT,GRI REFERENCE,2022-23,2021-22,2020-21,2019-20,COMMENTS,,
2,,Water withdrawal,,,,,,,,,
3,,Surface water withdrawn,,,,,,,,,
4,,New Acland,ML,303-3 (a-i),1543,1920,1200,1580,,,
5,,Jeebropilly,ML,303-3 (a-i),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
6,,New Oakleigh,ML,303-3 (a-i),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
7,,Chuwar,ML,303-3 (a-i),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
8,,Bridgeport,ML,303-3 (a-i),0,0,0,0,,,
9,,QBH,ML,303-3 (a-i),,,,,,,
10,,Brisbane Head Office,ML,303-3 (a-i),,,,,,,
11,,Burton (Lenton JV),ML,303-3 (a-i),,52,0.793958,245.11,The Burton Mine was sold during FY22.,,
12,,Total surface water withdrawn,ML,303-3 (a-i),1543,1972,1200.793958,1825.1100000000001,,,
14,,Groundwater withdrawn,,,,,,,,,
15,,New Acland,ML,303-3 (a-ii),124,116,339,385,,,
16,,Jeebropilly,ML,303-3 (a-ii),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
17,,New Oakleigh,ML,303-3 (a-ii),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
18,,Chuwar,ML,303-3 (a-ii),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
19,,Bridgeport,ML,303-3 (a-ii),0,0,0,0,,,
20,,QBH,ML,303-3 (a-ii),,,,,,,
21,,Brisbane Head Office,ML,303-3 (a-ii),,,,,,,
22,,Burton (Lenton JV),ML,303-3 (a-ii),,0,0,0,The Burton Mine was sold during FY22.,,
23,,Total groundwater withdrawn,ML,303-3 (a-ii),124,116,339,385,,,
25,,Produced water withdrawn,,,,,,,,,
26,,New Acland,ML,303-3 (a-iv),0,0,0,0,,,
27,,Jeebropilly,ML,303-3 (a-iv),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
28,,New Oakleigh,ML,303-3 (a-iv),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
29,,Chuwar,ML,303-3 (a-iv),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
30,,Bridgeport,ML,303-3 (a-iv),2594,2733,1314,2684.98,,,
31,,QBH,ML,303-3 (a-iv),,,,,,,
32,,Brisbane Head Office,ML,303-3 (a-iv),,,,,,,
33,,Burton (Lenton JV),ML,303-3 (a-iv),,0,0,0,The Burton Mine was sold during FY22.,,
34,,Total produced water withdrawn,ML,303-3 (a-iv),2594,2733,1314,2684.98,,,
36,,Third-party water withdrawn,,,,,,,,,
37,,New Acland,ML,303-3 (a-v),329,292,428,769,This third-party water represents recycled water purchased from Toowoomba Regional Council.,,
38,,Jeebropilly,ML,303-3 (a-v),0,0,0,4,Jeebropilly Mine has been under rehabilitation since FY20.,,
39,,New Oakleigh,ML,303-3 (a-v),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
40,,Chuwar,ML,303-3 (a-v),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
41,,Bridgeport,ML,303-3 (a-v),0,0,,0,,,
42,,QBH,ML,303-3 (a-iv),,,,,,,
43,,Brisbane Head Office,ML,303-3 (a-iv),,,,,,,
44,,Burton (Lenton JV),ML,303-3 (a-v),,0,0,0,The Burton Mine was sold during FY22.,,
45,,Total third-party water withdrawn,ML,303-3 (a-v),329,292,428,773,,,
47,,Total volume of water withdrawn,ML,303-3 (a),4590,5113,3281.793958,5668.09,,,
49,,Water discharge,,,,,,,,,
50,,Surface water discharged,,,,,,,,,
51,,New Acland,ML,303-4 (a-i),0,65,0,0,,,
52,,Jeebropilly,ML,303-4 (a-i),1409,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
53,,New Oakleigh,ML,303-4 (a-i),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
54,,Chuwar,ML,303-4 (a-i),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
55,,Bridgeport,ML,303-4 (a-i),776,735,438,718.73,,,
56,,QBH,ML,303-4 (a-i),,,,,,,
57,,Brisbane Head Office,ML,303-4 (a-i),,,,,,,
58,,Burton (Lenton JV),ML,303-4 (a-i),,0,0,0,The Burton Mine was sold during FY22.,,
59,,Total surface water discharged,ML,303-4 (a-i),2185,800,438,718.73,,,
61,,Third-party water discharged,,,,,,,,,
62,,New Acland,ML,303-4 (a-iv),0,0,121,119,,,
63,,Jeebropilly,ML,303-4 (a-iv),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
64,,New Oakleigh,ML,303-4 (a-iv),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
65,,Chuwar,ML,303-4 (a-iv),,0,0,0,Chuwar Mine was fully rehabilitated and relinquished in FY22.,,
66,,Bridgeport,ML,303-4 (a-iv),0,0,876,0,,,
67,,QBH,ML,303-4 (a-iv),,,,,,,
68,,Brisbane Head Office,ML,303-4 (a-iv),,,,,,,
69,,Burton (Lenton JV),ML,303-4 (a-iv),0,0,0,245.11,The Burton Mine was sold during FY22.,,
70,,Total third-party water discharged,ML,303-4 (a-iv),0,0,997,364.11,,,
72,,Total volume of water discharged,ML,303-4 (a),2185,800,1435,1082.8400000000001,,,
75,,Priority substances of concern for which discharges are treated,,,,,,,,,
76,,Number of incidents of non-compliance with discharge limits,,,,,,,,,
77,,New Acland,#,303-4 (d-iii),0,7,2,1,,,
78,,Jeebropilly,#,303-4 (d-iii),0,0,0,0,Jeebropilly Mine has been under rehabilitation since FY20.,,
79,,New Oakleigh,#,303-4 (d-iii),,0,0,0,New Oakleigh Mine was undergoing rehabilitation since FY13 and was sold in FY23.,,
