Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,GRI 2 series - General Disclosure,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Year-on-year data may not be directly comparable as a result of acquisition or divestment activity. 
Brucejack data is presented in company totals for the first time in FY23. FY20 reporting did not include Red Chris performance unless otherwise stated. Data contained in the FY20 Sustainability Report for Gosowong was reported up to divestment on 4 March 2020 (unless otherwise stated).

In the interests of public disclosure, Wafi-Golpu JV data is presented in performance data tables however is not included in Company totals unless otherwise stated. 

The data presented in the following tables may not total exactly due to rounding. ",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,GRI 2-7 Employees (#) (1)(2)(3),,,,,,,,,,,,
,,Breakdown by employee category,Company (4),Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,WGJV,Corporate offices,
,,Female employees - permanent,1021,170,110,330,156,67,19,6,4,7,159,
,,Male employees - permanent,4818,679,960,1884,620,401,36,12,4,51,222,
,,Non-binary - permanent,1,1,0,0,0,0,0,0,0,0,0,
,,Female employees - fixed term or temporary,97,13,36,25,7,1,0,3,0,0,12,
,,Male employees - fixed term or temporary,574,37,237,233,19,15,4,15,0,0,14,
,,Non-binary - fixed term or temporary,0,0,0,0,0,0,0,0,0,0,0,
,,Female employees - casual hours,23,13,0,2,0,1,1,0,0,0,6,
,,Male employees - casual hours,42,28,0,2,1,0,0,0,0,0,11,
,,Non-binary - casual hours,0,0,0,0,0,0,0,0,0,0,0,
,,Total,6576,941,1343,2476,803,485,60,36,8,58,424,
,,,,,,,,,,,,,,
,,Employment type,,,,,,,,,,,,
,,Female employees - full time,1062,182,122,353,163,64,14,9,4,7,151,
,,Male employees - full time,5381,715,1191,2117,640,415,39,27,4,51,233,
,,Non-binary - full time,1,1,0,0,0,0,0,0,0,0,0,
,,Female employees - part time,79,14,24,4,0,5,6,0,0,0,26,
,,Male employees - part time,53,29,6,2,0,1,1,0,0,0,14,
,,Non-binary - part time,0,0,0,0,0,0,0,0,0,0,0,
,,Total,6576,941,1343,2476,803,485,60,36,8,58,424,
,,"(1) At 30 June 2023, employees are directly employed by Newcrest (head count).
(2) There are currently some limitations in our data capture systems to fully capture all genders across the company. Newcrest will look to refine reporting processes to ensure employee preferences are captured. 
(3) Newcrest has seen a small phase of growth in the projects space (Havieron, Cadia Tailings, Red Chris) as well as an expansion of the graduate program in Canada
(4)Wafi-Golpu data is presented however not included in Company totals as it is not under Newcrest’s operational control. ",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,GRI 2-8 Workers who are not employees (contractors) (1)(2)(3)(4),,,,,,,,,,,,
,,Contractors (Workers who are not employees),Company (5),Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration (6),Havieron,Namosi,Wafi-Golpu,Corporate Offices,
,,Female contractors/supervised workers,857.7,38,120.7,209,224,159,2,6,1,0,98,
