Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
2,,,GRI 2 series - General Disclosure,,,,,,,,,,,,
4,,,"Year-on-year data may not be directly comparable as a result of acquisition or divestment activity. \nBrucejack data is presented in company totals for the first time in FY23. FY20 reporting did not include Red Chris performance unless otherwise stated. Data contained in the FY20 Sustainability Report for Gosowong was reported up to divestment on 4 March 2020 (unless otherwise stated).\n\nIn the interests of public disclosure, Wafi-Golpu JV data is presented in performance data tables however is not included in Company totals unless otherwise stated. \n\nThe data presented in the following tables may not total exactly due to rounding.",,,,,,,,,,,,
7,,,GRI 2-7 Employees (#) (1)(2)(3),,,,,,,,,,,,
8,,,Breakdown by employee category,Company (4),Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,WGJV,Corporate offices,
9,,,Female employees - permanent,1021,170,110,330,156,67,19,6,4,7,159,
10,,,Male employees - permanent,4818,679,960,1884,620,401,36,12,4,51,222,
11,,,Non-binary - permanent,1,1,0,0,0,0,0,0,0,0,0,
12,,,Female employees - fixed term or temporary,97,13,36,25,7,1,0,3,0,0,12,
13,,,Male employees - fixed term or temporary,574,37,237,233,19,15,4,15,0,0,14,
14,,,Non-binary - fixed term or temporary,0,0,0,0,0,0,0,0,0,0,0,
15,,,Female employees - casual hours,23,13,0,2,0,1,1,0,0,0,6,
16,,,Male employees - casual hours,42,28,0,2,1,0,0,0,0,0,11,
17,,,Non-binary - casual hours,0,0,0,0,0,0,0,0,0,0,0,
18,,,Total,6576,941,1343,2476,803,485,60,36,8,58,424,
20,,,Employment type,,,,,,,,,,,,
21,,,Female employees - full time,1062,182,122,353,163,64,14,9,4,7,151,
22,,,Male employees - full time,5381,715,1191,2117,640,415,39,27,4,51,233,
23,,,Non-binary - full time,1,1,0,0,0,0,0,0,0,0,0,
24,,,Female employees - part time,79,14,24,4,0,5,6,0,0,0,26,
25,,,Male employees - part time,53,29,6,2,0,1,1,0,0,0,14,
26,,,Non-binary - part time,0,0,0,0,0,0,0,0,0,0,0,
27,,,Total,6576,941,1343,2476,803,485,60,36,8,58,424,
