Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
2,,,GRI 200 series - Economic,,,,,,,,,,,,,,,
4,,,"Year-on-year data may not be directly comparable as a result of acquisition or divestment activity. \nBrucejack data is presented in company totals for the first time in FY23. FY20 reporting did not include Red Chris performance unless otherwise stated. Data contained in the FY20 Sustainability Report for Gosowong was reported up to divestment on 4 March 2020 (unless otherwise stated).\n\nCommunity expenditure data (GRI 201-1) is reported on an equity share basis.\n\nIn the interests of public disclosure, Wafi-Golpu JV data is presented in performance data tables however is not included in Company totals unless otherwise stated. \n\nThe data presented in the following tables may not total exactly due to rounding.",,,,,,,,,,,,,,,
7,,,GRI 201-1 Direct economic value generated and distributed ($USDm) FY23,,,,,,,,,,,,,,,
8,,,,Economic value generated,Economic value distributed,,,,Economic value retained,,,,,,,,,
9,,,Segment,Revenue (1),Operating Costs (2)(3),Community expenditure (2)(4),Employee benefits expense (2),Payments to government (5),Economic value retained,,,,,,,,,
10,,,Brucejack,493,175,2,92,8,216,,,,,,,,,
11,,,Cadia,1897,366,2,146,77,1306,,,,,,,,,
12,,,Lihir,1237,580,35,128,117,377,,,,,,,,,
13,,,Red Chris (6),209,149,3,60,3,-6,,,,,,,,,
14,,,Telfer,672,454,5,61,28,124,,,,,,,,,
15,,,Exploration and Projects (7),0,59,2,15,0,-76,,,,,,,,,
16,,,Corporate and other (8)(9),0,0,9,106,282,-397,,,,,,,,,
17,,,Total,4508,1783,58,608,515,1544,,,,,,,,,
19,,,Payments to providers of capital (9),,,,,,,,,,,,,,,
20,,,Dividends paid,0,0,0,0,0,477,,,,,,,,,
21,,,Interest paid,0,0,0,0,0,118,,,,,,,,,
22,,,Total payments to providers of capital,0,0,0,0,0,595,,,,,,,,,
24,,,Economic Value Retained FY23 (10),,,,,,949,,,,,,,,,
26,,,Economic Value Retained FY22 (11),,,,,,1183,,,,,,,,,
27,,,"(1) Amounts include revenues determined on an accruals basis, consistent with the GroupÃ¢ÂÂs audited Income Statement.\n(2) Amounts include costs determined on an accruals basis, consistent with the GroupÃ¢ÂÂs audited Income Statement.\n(3) Operating costs exclude community expenditure, employee benefits expense and payments to governments (as these are separately reported). It also excludes significant items and depreciation.\n(4) Community expenditure includes statutory payments for agreements relating to native title, landowner and Indigenous land use, community department costs and community investment. Community investment data is presented on page 18 of the main report.\n(5) Amounts include income taxes paid determined on a cash basis, consistent with the GroupÃ¢ÂÂs audited Statement of Cash Flows, and other payments to governments, determined on an accruals basis, consistent with the GroupÃ¢ÂÂs audited Income Statement. Other payments to governments primarily relate to royalties. The amount does not include employee taxes, which are disclosed as part of employee benefits expense.\n(6) Red Chris financial data (including community expenditure) is reported on a 70% equity interest basis in line with Newcrest's ownership in Red Chris.\n(7) Exploration and Projects' comprises projects in the exploration, evaluation and feasibility phase (including Newcrest's interest in Havieron, Namosi and Wafi-Golpu).\n(8) Operating costs in the Corporate & Other segment is net of corporate cost recoveries from other segments.\n(9) Community expenditure in the Corporate & Other segment includes the Newcrest Sustainability Fund, which in addition to existing site-based initiatives, invests in the local communities where we operate.\n(10) Amounts include costs determined on a cash basis consistent with the Group's audited Statement of Cash Flows.\n(11) Calculated as economic value generated less economic value distributed. Per GRI guidelines, economic value distributed does not include capital expenditure.",,,,,,,,,,,,,,,
30,,,GRI 201-1 Direct economic value generated and distributed ($USD) FY23,,,,,,,,,,,,,,,
31,,,Community Investment (1) (2),,,,,,,,,,,,,,,
32,,,Categories,Investment ($USD '000),Investment (%),,,,,,,,,,,,,
33,,,Decent work and economic growth,5563.220935404401,0.12824491456912185,,,,,,,,,,,,,
34,,,Good health & well-being,7889.045973461167,0.1818604795038322,,,,,,,,,,,,,
35,,,Industry innovation and infrastructure,4914.806209999996,0.11329747817743671,,,,,,,,,,,,,
36,,,Life on Land,1000.915355008136,0.023073378836537217,,,,,,,,,,,,,
37,,,Other,2614.5371125302227,0.060271035885053,,,,,,,,,,,,,
38,,,Quality Education,2720.6811310188195,0.06271789728803341,,,,,,,,,,,,,
39,,,Reduced inequalities,1010.2855707042,0.02328938365198297,,,,,,,,,,,,,
40,,,Sustainable cities and communities,17662.9236029672,0.4071706219840781,,,,,,,,,,,,,
42,,,TOTAL,43376,1,,,,,,,,,,,,,
44,,,"(1) Community investment is a component of NewcrestÃ¢ÂÂs community expenditure of $58 million ($50 million in FY22). Community investment was $43 million. Community investment includes the Newcrest Sustainability Fund, non-statutory components of agreements related to native title, landowner and Indigenous land use as well as charitable donations, sponsorships, inÃ¢ÂÂkind goods/services value contributed, and specific costs of administering initiatives.\n(2) Newcrest owns 70% of Red Chris and therefore Red Chris financial data (including community expenditure) is reported on a 70% equity share basis.",,,,,,,,,,,,,,,
50,,,GRI 202-1 Entry level wage as a percentage of local minimum wage (%) FY19-23 (1)(2),,,,,,,,,,,,,,,
51,,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,
52,,,Brucejack,149,141,0,0,0,,,,,,,,,,
53,,,Cadia,184.1,251,251.430348258706,251,251,,,,,,,,,,
54,,,Lihir,203.2,395,395.505617977528,385,418,,,,,,,,,,
55,,,Red Chris,190.3,195,195.595432300163,204,0,,,,,,,,,,
56,,,Telfer,193.2,248,245.273631840796,246,246,,,,,,,,,,
57,,,Exploration,274.8,276,274.751243781095,283,282,,,,,,,,,,
58,,,Havieron,274.8,276,0,0,0,,,,,,,,,,
59,,,Namosi,212.4,205,140.8,145,141,,,,,,,,,,
60,,,Wafi-Golpu,115,115,115.315315315315,114,114,,,,,,,,,,
61,,,Corporate Offices,212.9,210,209.328358208955,210,216,,,,,,,,,,
