Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
86,,,Energy consumed (GJ)(3),27199117.745600004,958725.8,5239954.2456,10301724.3,2480038.1,8018645.8,181734,4016.8,132.4,14146.3,,,,,,,,,
87,,,Gold produced equivalent (troy oz) (4)(5),2675213,286003,1096434,670013,189157,433606,,,,,,,,,,,,,
88,,,Energy intensity by gold produced (MJ/oz),10167.084918322393,3352.1529494445863,4779.08770213255,15375.409581605134,13111.003557891065,18492.930909627634,,,,,,,,,,,,,
90,,,(1) Brucejack data is presented however not included in Company totals as it was not under NewcrestÃ¢ÂÂs operational control for the full year.,,,,,,,,,,,,,,,,,,,
92,,,Energy intensity by gold produced (MJ/oz) FY19-23 (1)(2)(3),FY23,FY22,FY21,FY20,FY19 (4),,,,,,,,,,,,,,
93,,,Company,10167.084918322393,11166.13213579182,9696.219296393252,9278,8375,,,,,,,,,,,,,,
94,,,Brucejack,3352.1529494445863,1833.292942505847,,,,,,,,,,,,,,,,,
95,,,Cadia,4779.08770213255,4699.877197777903,3900.5162166189616,3609,3305,,,,,,,,,,,,,,
96,,,Lihir,15375.409581605134,14876.045356355782,13651.749217612083,13457,10188,,,,,,,,,,,,,,
97,,,Red Chris,13111.003557891065,12133.381227322085,11050.593519506861,,,,,,,,,,,,,,,,
98,,,Telfer,18492.930909627634,18850.822098819124,18471.658510334666,18250,18260,,,,,,,,,,,,,,
100,,,"(1) The energy consumed when our operations use self-generated electricity from fossil fuels is not included in the total energy consumption because the energy used to produce that electricity has already been accounted for. This change in approach has resulted in lower energy intensities (with no effect on emissions intensities from which we base our reduction targets). Red Chris is operated by Newcrest (70% owned), Newcrest reports 100% of emissions from sites which we operate. Brucejack data is presented FY22 however not included in Company totals as it was not under NewcrestÃ¢ÂÂs operational control for the full year.\n(2) Production of silver accounts for less than 1% of total production and is not included in the calculations for total gold equivalent.\n(3) Cadia and Telfer are reported as gold plus gold equivalent ounces based on a gold price of US$1,300/oz and a copper price of US$3/lb.\n(4) The FY19 energy intensities have been restated due to a change in approach to reporting.",,,,,,,,,,,,,,,,,,,
106,,,GRI 303-3 Water withdrawal by source (ML) FY23 (1),,,,,,,,,,,,,,,,,,,
107,,,Category 1 (8),Company (2),Brucejack (3),Cadia (4),Lihir (5)(6),Red Chris (7),Telfer (5),Havieron (5),Exploration (5),Namosi,Wafi-Golpu (2),,,,,,,,,
108,,,Groundwater,6692.556,43.6,0,0,5810.046,838.96,0,0,0,0,,,,,,,,,
109,,,Produced water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
110,,,Sea water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
111,,,Surface water,16013.97,4.2,5876,9295,195.29,643,0,0,<1,3.7,,,,,,,,,
112,,,Third-party water,11.08,0,0,0,0,0,0,11,<1,0,,,,,,,,,
113,,,Total Category 1,22717.606,47.8,5876,9295,6005.336,1481.96,0,11,0.5,3.7,,,,,,,,,
115,,,Category 2 (8),,,,,,,,,,,,,,,,,,,
116,,,Groundwater,13947.538,0,429,0,0,13267,251.5,0,0,0,,,,,,,,,
117,,,Produced water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
118,,,Sea water,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
