Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 400 series - Social,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Year-on-year data may not be directly comparable as a result of acquisition or divestment activity. 
Brucejack data is presented in company totals for the first time in FY23. FY20 reporting did not include Red Chris performance unless otherwise stated. Data contained in the FY20 Sustainability Report for Gosowong was reported up to divestment on 4 March 2020 (unless otherwise stated).

In the interests of public disclosure, Wafi-Golpu JV data is presented in performance data tables however is not included in Company totals unless otherwise stated. 

The data presented in the following tables may not total exactly due to rounding. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GRI 401-1 New employee hires and employee turnover FY23,,,,,,,,,,,,,,,,,,,,,,
,,Employment type,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
,,Total full-time employees (#),6436,890,1313,2470,803,479,36,53,8,58,384,,,,,,,,,,,
,,Total new full-time hires (#),1273,144,247,468,243,88,14,2,0,4,67,,,,,,,,,,,
,,Full-time employee turnover (#),981,151,167,310,183,106,8,12,0,3,44,,,,,,,,,,,
,,Full-time employee turnover to total full-time (%),15.24,0.17,12.72,12.55,22.79,22.13,22.22,22.64,0,5.2,11.46,,,,,,,,,,,
,,Full-time employee turnover to all employees (%),14.88,0.158,12.43,12.52,22.79,21.86,22.22,20,0,5.2,10.38,,,,,,,,,,,
,,Total part-time employees (#),155,66,30,6,0,6,0,7,0,0,40,,,,,,,,,,,
,,Total new part-time hires (#),153,130,2,2,0,0,0,1,0,0,18,,,,,,,,,,,
,,Part-time employee turnover (#),112,106,4,1,0,0,0,0,0,0,1,,,,,,,,,,,
,,Part-time employee turnover to total part-time (%),1.74,1.606,13.33,16.67,0,0,0,0,0,0,2.5,,,,,,,,,,,
,,Part-time employee turnover to total employees (%),1.7,0.111,0.3,0.04,0,0,0,0,0,0,0.24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
,,Total males employed (#),5442,752,1197,2119,640,416,27,40,4,51,247,,,,,,,,,,,
,,Total new male hires (#),1135,198,217,403,187,68,10,1,0,5,51,,,,,,,,,,,
,,Male turnover (#),868,184,143,266,146,84,5,10,0,2,30,,,,,,,,,,,
