Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
99,,,Disclosure 205-3 Confirmed incidents of Corruption and actions taken,GRI 200 Economic tab.,,,,,,
103,,,GRI 206\nAnti-competitive Behaviour,,,,,,,
105,,,Disclosure,Report Section,Omission,,,,,
107,,,"Disclosure 206-1 Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices","0 legal actions for anti-competitive behaviour, anti-trust and monopoly practices to report in FY23.",,,,,,
111,,,GRI 207\nTax,,,,,,,
113,,,Disclosure,Report Section,Omission,,,,,
115,,,"Disclosure 207-1 Approach to tax\nDisclosure 207-2 Tax governance, control, and risk management\nDisclosure 207-3 Stakeholder engagement and management of concerns related to tax\nDisclosure 207-4 Country-by-country reporting",The ICMM has made a collective commitment for members to disclose to the requirements of GRI 207 by 2025. Newcrest intends to adopt GRI 207 in line with the ICMM collective commitment by 2025 and is currently preparing its internal systems and processes to do so.,,,,,,
119,,,GRI 302\nEnergy,,,,,,,
121,,,Disclosure,Report Section,Omission,,,,,
123,,,Disclosure 3-3 Management of material topics,Sustainability at Newcrest p. 7\nClimate change pp. 28-32\n2023 Annual Report,,,,,,
124,,,Disclosure 302-1 Energy consumption within the organization,Climate change pp. 28-32\nPerformance data p. 44\nGRI 300 - Environmental tab.,,,,,,
125,,,Disclosure 302-3 Energy intensity,Climate change pp. 28-32\nGRI 300 - Environmental tab.,,,,,,
129,,,GRI 303\nWater and Effluents,,,,,,,
131,,,Disclosure,Report Section,Omission,,,,,
133,,,Disclosure 303-1ÃÂ Interactions with water as a shared resource,Sustainability at Newcrest p. 7 \nEnvironment pp. 23-27\nWater management performance p. 23,,,,,,
134,,,Disclosure 303-2 Management of water discharge-related impacts,Environment pp. 23-27\nWater management performance p. 23,,,,,,
135,,,Disclosure 303-3ÃÂ Water withdrawal,Water management performance p. 23\nperformance data p. 45\nGRI 300 - Environmental tab,,,,,,
136,,,Disclosure 303-4 Water discharge,GRI 300 - Environmental tab.\nZero significant incidents of non-compliance with water discharge limits were reported for FY23.,,,,,,
137,,,Disclosure 303-5 Water consumption,GRI 300 - Environmental tab.,,,,,,
141,,,GRI 304\nBiodiversity,,,,,,,
143,,,Disclosure,Report Section,Omission,,,,,
145,,,Disclosure 304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,Sustainability at Newcrest p. 7\nEnvironment pp. 23-27\nBiodiversity p. 26\nPerformance data p. 46\nGRI 300 - Environmental tab.,,,,,,
149,,,MM1,,,,,,,
