Unnamed: 0,40500000 - Gross earned premium,40500000 - Gross earned premium.1,Unnamed: 3,To update:,Unnamed: 5
,AllCustom1 - All Custom1,AllCustom1 - All Custom1,,1. Refresh the Smartview read for the latest GEP,
,AllCustom2 - All Custom2,AllCustom2 - All Custom2,,2. Enter reporing quarter in cell E14,
,AllCustom3 - All Custom3,AllCustom3 - All Custom3,,,
,AllCustom4 - All Custom4,AllCustom4 - All Custom4,,,
,AllCustom5 - All Custom5,AllCustom5 - All Custom5,,,
,AllCustom6 - All Custom6,AllCustom6 - All Custom6,,,
,[ICP Top],[ICP Top],,,
,ACTUAL - Actual,ACTUAL - Actual,,,
,YTD - Year to date,YTD - Year to date,,,
,[Contribution Total],[Contribution Total],,,
,Dec - December,Dec - December,,,
,2022,2021,,Annualised GEP,Reporting quarter
RSGMT.FT3100 - QBE Insurance Group Limited - Reporting,-19067228520.908024,-17034805117.612305,,,
