Unnamed: 0,Greenhouse gas emissions by activity,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Annualisation factor,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,Reporting period: FY 2022,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,tCO2e,tCO2e,tCO2e,,tCO2e,tCO2e,tCO2e,tCO2e,,,,,,,,,,,,,,,,,,,,,,,
,tCO2e GHG EMISSIONS,Mapped to Support,% Movement,FY 2022,FY 2021,QX 202X,% Movement,1Q 2023,Annualised 2023,FY 2020,FY 2019,,Rounding,,,,,,Data Type,Units,Sum of Total Reporting Amount,Sum of Total CO2e(t),,,,,,,,,,,,
,Direct emissions (Scope 1),,,,,,,,,,,2021,2020,Rounding,Per Pivot,Diff,,Road &Rail travel,Average Local Bus [pkm],pkm,388.0400000000001,0.04,,,Mapping,,,,,,,,,
Business travel - fleet vehicles,Business travel - fleet vehicles,Company Vehicles,0.11,5444.5493,4918.741099999999,,0.11,5444.5493,4918.741099999999,4627.855400000002,5615.289437436662,,,,4628.178200000002,-816.3710999999976,,Air Travel,Business flights [pkm],pkm,15787484.050000006,2717.1716,,,Average Local Bus [pkm],Road &Rail travel,Business travel,,,,,,,
Stationary energy - gas,Stationary energy - gas,Gas - Scope 1,0.23,1003.42194457167,813.7842,,0.23,1003.42194457167,813.7842,920.0722999999998,984.6310094250871,,,,920.0722999999998,-83.34964457167018,,Company Vehicles,Company Vehicles [km],km,17835671.990000006,4239.886800000002,,,Business flights [pkm],Air Travel,Business travel,,,,,,,
,Total Scope 1,,0.12,6447.97124457167,5732.525299999999,,0.12,6447.97124457167,5732.525299999999,5547.927700000002,6600.42044686175,,,,,,,Company Vehicles,Diesel [L] - Scope 1,L,120,0.3228,,,Company Vehicles [km],Company Vehicles,Company Vehicles,,,,,,,
,Indirect emissions (Scope 2),,,,,,,,,0,0,,,,,,,Offsets and GHG Reductions,Electricity - Green [kWh],kWh,6534246.860000003,-4599.6062999999895,,,Electricity - Green [kWh],Offsets and GHG Reductions,Don't include in the graph,,,,,,,
Stationary energy - renewable and non-renewable electricity,Stationary energy - renewable and non-renewable electricity,Electricity,-0.17,9990.267719791043,11989.351700000008,,-0.17,9990.267719791043,11989.351700000008,13770.331900000017,16728.737053700974,,,,13770.331900000017,3780.064180208974,,Electricity,Electricity [kWh],kWh,23300146.29999998,13770.331900000017,,,Electricity [kWh],Electricity,Electricity,,,,,,,
Stationary energy - renewable electricity purchased(1),Stationary energy - renewable electricity purchased:,,-0.17,-9719.153119791055,-11659.9731,,-0.17,-9719.153119791055,-11659.9731,-13436.633116560686,-10556.622973142707,,,,0,9719.153119791055,RECs,"Hire Car & Taxi
","Hire Car & Taxi - pkm_x000D_
",km,5062168.999999994,867.6562000000022,,,"Hire Car & Taxi - pkm_x000D_
","Hire Car & Taxi
",Business travel,,,,,,,
,            -  GreenPower purchased,Offsets and GHG Reductions,0.27,-6416.1369073499145,-5043.954600000002,,0.27,-6416.1369073499145,-5043.954600000002,-4599.6062999999895,-2099.305579095,,,,,,,Gas - Scope 1,Natural Gas [GJ],GJ,18234.31,920.0722999999998,,,Natural Gas [GJ],Gas - Scope 1,Gas,,,,,,,
,            -  RECs purchased,,-0.5,-3303.01621244114,-6616.0184999999965,,,-3303.01621244114,-6616.0184999999965,-8837.026816560698,-9362.907238788179,,,,,,,Gas - Scope 3,Natural Gas [GJ] - Scope 3,GJ,20000.150000000016,1021.5791000000006,,,Natural Gas [GJ] - Scope 3,Gas - Scope 3,Gas,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stationary energy - gas indirect,Scope 2 - heat,Gas - Scope 2 heat,0.24,1013.4606999999999,818.2484000000002,,0.24,1013.4606999999999,818.2484000000002,1022,1274,,,,,,,,,,,,,,,,,,,,,,,
,Total net Scope 2,,0.12,1284.575299999988,1147.6270000000093,,0.12,1284.575299999988,1147.6270000000093,1354.698783439331,7446.11408055827,0,0,,0,-2017.81516,,Paper Purchased,Paper Purchased,t,101.24999999999997,93.14020000000001,,,Paper Purchased,Paper Purchased,Paper,,,,,,,
,Other indirect emissions (Scope 3),,,,,,,,,,,,,,2717.1716,-3155.0272,,Paper Purchased,"Paper Purchased_Carbon Neutral_x000D_
",t,7.769999999999998,,,,"Paper Purchased_Carbon Neutral_x000D_
",Paper Purchased,Paper,,,,,,,
Upstream energy consumed,Upstream energy consumed,Upstream energy consumed,1,2017.81516,DNR,,1,2017.81516,DNR,DNR,DNR,,,,1612.264400000002,-772.0155999999981,,"Hire Car & Taxi
",Personal Vehicles [km],km,4344270.76,744.6081999999999,,,Personal Vehicles [km],"Hire Car & Taxi
",Business travel,,Category 3,Fuel and Energy related activities,,,,
Data centres - electricity,Externally hosted data centres - electricity,,0.32,845.3770999999999,639.0968,,0.32,845.3770999999999,639.0968,DNR,DNR,,,,,,,,,,,,,,,,,,Category 3,Fuel and Energy related activities,,,,
,Externally hosted data centres - non-renewable electricity,Electricity - Scope 3 Co-lo,0.17,1097.858,939.5732,,0.17,1097.858,939.5732,DNR,DNR,,,CY Air Travel is forecasted to stay at 2020 level.,22.590000000000003,-36.0594,,Company Vehicles,Petrol Transport post-2004 [kL],kL,167.76,387.96860000000004,,,Petrol Transport post-2004 [kL],Company Vehicles,Company Vehicles,,Category 3,Fuel and Energy related activities,,,,
,Externally hosted data centres - renewable electricity,Electricity Green - Scope 3 Co-lo,-0.16,-252.4809,-300.4764,,-0.16,-252.4809,-300.4764,DNR,DNR,,,,0,-2556.727068400006,WFH,Road &Rail travel,Rail Travel - National Rail [pkm],pkm,876768.8599999998,22.550000000000004,,,Rail Travel - National Rail [pkm],Road &Rail travel,Business travel,,Category 3,Fuel and Energy related activities,,,,
Business travel - air,Business travel - air,Air Travel,6.75,5872.1988,758.1694999999994,,6.75,5872.1988,758.1694999999994,2717.1716,12159.809052028777,,,,93.14020000000001,36.9410521,,Waste,Waste - Landfill [t] - S3,t,789.9399999999997,672.6807999999987,,,Waste - Landfill [t] - S3,Waste,Waste,,Category 6,Business Travel,,,615.5,
Business travel - car hire and taxi,Business travel - car hire and taxi,"Hire Car & Taxi
",0.37,2384.28,1742.3433000000005,,0.37,2384.28,1742.3433000000005,1612.264400000002,2146.1811801568197,,,,738.6029999999986,606.5937999999985,,Waste,Waste - Organic - Food and Drink [t],t,87.01999999999994,54.547700000000006,,,Waste - Organic - Food and Drink [t],Waste,Waste,,Category 6,Business Travel,,,,
Business travel - rail and bus travel,Business travel - rail and bus travel,Road &Rail travel,1,58.6494,9.0461,,5.48,58.6494,9.0461,22.590000000000003,133.33091933123183,,,,,,,,,,,,,,,,,,Category 6,Business Travel,,,,
Work From Home energy - electricity and gas,Work From Home energy - electricity and gas,Working from Home [t CO2e],-0.31,2556.727068400006,3694.9998,,-0.31,2556.727068400006,3694.9998,3173.7571446374254,DNR,,,2019-2018 paper restated emissions,107.5140000000001,72.43442963450161,,Waste,Waste Recycled - Cardboard [t] Scope 3,t,437.6399999999998,9.329999999999979,,,Waste Recycled - Cardboard [t] Scope 3,Waste,Waste,,Category 3,Fuel and Energy related activities,,,,
Employees commuting,Employees commuting,,1.63,2991.93612737,1138,,1.63,2991.93612737,1137.7712794401884,DNR,DNR,,,2019-2018 waste restated emissions,,,,Waste,Waste Recycled - Commingled [t] - Scope 3,t,64.00999999999995,1.3632999999999982,,,Waste Recycled - Commingled [t] - Scope 3,Waste,Waste,,Category 7,Employee Commuting,,,,
Office paper purchased,Office paper purchased,Paper Purchased,-0.1,56.19914790000001,62.192600000000006,,-0.1,56.19914790000001,62.192600000000006,93.14020000000001,211.33852553108696,,,,,,,Waste,Waste Recycled - Electronic [t],t,31.90000000000003,0.6812000000000002,,,Waste Recycled - Electronic [t],Waste,Waste,,Category 1,Purchase goods and services,,,,
