Unnamed: 0,Unnamed: 0.1,Greenhouse gas emissions by activity,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Annualisation factor,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
47,International,North America,11338,1253,477,1594,,5150,0.16813581456088803,,,,,,,,,,,,,,,,,,,,,,,,,,
48,North America,,23460,2992,2161,2018,,14662,0.47868103166829906,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,RECs,,30630,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,-3303,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,Check,,27327,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,Check,,1,,,,,L:\Group\Finance\ESG Reporting\2022\2022 GHG Data Consolidation\2022_Q4\Employee commuting estimates Dec 2022_v2.2.xlsx,,,,,,,,,,,,,,,,,,,,,,
53,,Row Labels,Sum of Total CO2e(t),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Australia Pacific,6286.166719741853,,,,,,Source: Employees commuting 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Corporate,1733.587001344186,,,,,,Region,Emissions tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Equator Re,91.4758943875633,,,,,,Australia Pacific,906,,,,,,,,,,,,,,,,,,,,,,,,,
57,,International,3750.4588854256117,,,,,,Equator Re,5,,,,,,,,,,,,,,,,,,,,,,,,,
58,,North America,11252.868151486215,,,,,,Corporate and Other,340,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Grand Total,23114.55665238543,,,,,,International,488,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,North America,1253,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,2992,,,L:\Group\Finance\ESG Reporting\2022\2022 GHG Data Consolidation\2022_Q4\Capital goods estimates -Dec 2022_v3.xlsx,,,,,,,,,,,,,,,,,,,,,,
62,,Row Labels,Sum of Scope 3 CO2e(t) T&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Australia Pacific,162.3034105625181,,,,,,Source: Capital goods 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Corporate,162.07868248298098,,,,,,Region,Emissions tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Equator Re,4.05903753379,,,,,,Australia Pacific,718.319100277224,,,,,,,,,,,,,,,,,,,,,,,,,
66,,International,95.33547622550546,,,,,,Equator Re,4.00935261154079,,,,,,,,,,,,,,,,,,,,,,,,,
67,,North America,1593.5160700323568,,,,,,Corporate and Other,405.641892480671,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Grand Total,2017.2926768371512,,,,,,International,555.487088345039,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,North America,477.391872259375,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,2160.84930597385,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Emissions profile by region (tCO2-e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,2021-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Check,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Total CO2e(t),Employees commuting,Total CO2-e(t),,,,,,,,,,,WFH,,,,,,,,,,,,,,,,,,,
