Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2,,,Community,,,,,,,,,,
5,,,Total community contribution by type,,,,,,,,,,
6,,,TYPE OF CONTRIBUTION,2022\n$000,2021\n$000,2020\n$000,2019\n$000,,,,,,
7,,,Financial contributions,"4,928 1",5281,4335,4544,,,,,,
8,,,Time: employee volunteering,197,110,61,551,,,,,,
9,,,In-kind giving,11,26,2,48,,,,,,
10,,,Management costs,747,618,572,518,,,,,,
11,,,Total community contribution,5883,6035,4970,5661,,,,,,
12,,,1 Decrease in financial contributions due to ongoing disruptions of COVID in some regions pausing programs supported locally for a second year.,,,,,,,,,,
14,,,Corporate community investment,,,,,,,,,,
15,,,,2022\n%,2021 \n%,,,,,,,,
16,,,Community investment,89.09556178443788,82,,,,,,,,
17,,,Commercial initiative,3.2406612346957098,4,,,,,,,,
18,,,Charitable donation,7.663776980866414,14,,,,,,,,
20,,,Community investment outcomes,,,,,,,,,,
21,,,,2022,2021,,,,,,,,
22,,,Number of people supported,408698,135962,,,,,,,,
23,,,Number of community organisations partnered,711,630,,,,,,,,
24,,,Number of times employees were involved in activities,2134,3600,,,,,,,,
25,,,Employee donations ($),308831,205000,,,,,,,,
27,,,Total community contribution by SDG,,,,,,,,,,
28,,,,2022\n%,2021 \n%,,,,,,,,
29,,,SDG1: No Poverty,10.8498597501127,20,,,,,,,,
30,,,SDG3: Good Health and Wellbeing,11.571125927068493,19,,,,,,,,
31,,,SDG10: Reduced Inequalities,44.74605109588193,25,,,,,,,,
32,,,SDG11: Sustainable Cities and Communities,24.731854167258643,31,,,,,,,,
33,,,SDG13: Climate Action,6.980413812141874,5,,,,,,,,
