Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Premiums4Good Investments,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Impact investing performance target,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,ASSOCIATED INITIATIVE/TARGET,,,,,2023,2022,STATUS,,,,,,,,
,,• Achieve our ambition to grow our total impact investments to $2 billion by 2025,,,,,$1.6B,$1.6B,On track,,,,,,,,
,,• Target an increase in our climate solutions investments to 5% of assets under management by 20251,,,,,0.0464,0.0482,On track,,,,,,,,
,,"• Target a 25% reduction in the Scope 1 and 2 carbon intensity of our developed market equity portfolio by 2025 
  (relative to a 2019 baseline)",,,,,In progress2,In progress2,On track,,,,,,,,
,,"• Maintain a low carbon risk rating in the Scope 1 and 2 weighted average carbon intensity of our investment  
  grade corporate credit portfolio3",,,,,11.45 tCO2e/$m sales,13.1 tCO2e/$m sales,Achieved,,,,,,,,
,,"• Engage at least annually with the top 20 highest emitters in our investment grade corporate credit portfolio and 
  with all of our external investment managers",,,,,Achieved,Achieved,Achieved,,,,,,,,
,,1 Our infrastructure assets contribution to Climate Solutions is calculated as at 30 September 2023.,,,,,,,,,,,,,,,
,,"2 We’ve worked with preferred managers to ensure these are considered in mandate design and implementation, and will continue to track and monitor.",,,,,,,,,,,,,,,
,,3 Carbon risk measures exposure to carbon intensive companies. It is based on MSCI Carbon Metrics and is calculated as the portfolio weighted average of issuer carbon intensity. Carbon intensity is the ratio of annual ,,,,,,,,,,,,,,,
,,"   Scope 1 and 2 carbon emissions to annual revenue. Carbon risk is categorised as very low (0 to <15), low (15 to <70), moderate (70 to <250), high (250 to <525), and very high (>=525).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Premiums4Good ($M),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018,,,,,,,,
,,Financial value invested in Premiums4Good as at 31 December ($M),,1583,1618,1356,1113,663,440,,,,,,,,
,,Number of securities invested as part of Premiums4Good at 31 December,,108,108,83,68,48,32,,,,,,,,
,,,,,,,,,,,,,,,,,
