Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Community,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Total community contribution by type,,,,,,,,,,,,,,
,,TYPE OF CONTRIBUTION ,"2023
$000","2022
$000","2021
$000","2020
$000",,,,,,,,,,
,,Financial contributions,7254,"4,928",5281,4335,,,,,,,,,,
,,Time: employee volunteering,226,197,110,61,,,,,,,,,,
,,In-kind giving,5,11,26,2,,,,,,,,,,
,,Management costs,777,747,618,572,,,,,,,,,,
,,Total community contribution,8262,5883,6035,4970,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Corporate community investment,,,,,,,,,,,,,,
,,,"2023
%","2022
%",,,,,,,,,,,,
,,Community investment,78,89.09556178443788,,,,,,,,,,,,
,,Commercial initiative,2,3.2406612346957098,,,,,,,,,,,,
,,Charitable donation,20,7.663776980866414,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Community investment outcomes,,,,,,,,,,,,,,
,,,2023,2022,,,,,,,,,,,,
,,Number of people supported1,60941,108698,,,,,,,,,,,,
,,Number of community organisations partnered,1550,711,,,,,,,,,,,,
,,Number of times employees were involved in activities,2258,2134,,,,,,,,,,,,
,,Employee donations ($),372693,308831,,,,,,,,,,,,
,,"1 Decrease in Number of people supported from 2022 is attributable to a reduction in high impact disaster responses funded in the current year. Further, the B4SI methodology has been uplifted in the current year for more accurate measurement of beneficiaries. As such, the 2022 figure has been restated from 408,698 to 108,698 to reflect this uplift.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Total community contribution by SDG,,,,,,,,,,,,,,
,,,"2023
%","2022
%",,,,,,,,,,,,
,,SDG1: No Poverty,1,10.8498597501127,,,,,,,,,,,,
,,SDG3: Good Health and Wellbeing,3,11.5711259270685,,,,,,,,,,,,
,,SDG8: Decent Work & Economic Growth,1,0,,,,,,,,,,,,
,,SDG10: Reduced Inequalities,71,44.74605109588193,,,,,,,,,,,,
,,SDG11: Sustainable Cities and Communities,18,24.731854167258643,,,,,,,,,,,,
,,SDG13: Climate Action,6,6.980413812141874,,,,,,,,,,,,
