Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
3,,,Community,,,,,,,,,,,,,,
6,,,Total community contribution by type,,,,,,,,,,,,,,
7,,,TYPE OF CONTRIBUTION,2023\n$000,2022\n$000,2021\n$000,2020\n$000,,,,,,,,,,
8,,,Financial contributions,7254,4928,5281,4335,,,,,,,,,,
9,,,Time: employee volunteering,226,197,110,61,,,,,,,,,,
10,,,In-kind giving,5,11,26,2,,,,,,,,,,
11,,,Management costs,777,747,618,572,,,,,,,,,,
12,,,Total community contribution,8262,5883,6035,4970,,,,,,,,,,
15,,,Corporate community investment,,,,,,,,,,,,,,
16,,,,2023\n%,2022\n%,,,,,,,,,,,,
17,,,Community investment,78,89.09556178443788,,,,,,,,,,,,
18,,,Commercial initiative,2,3.2406612346957098,,,,,,,,,,,,
19,,,Charitable donation,20,7.663776980866414,,,,,,,,,,,,
21,,,Community investment outcomes,,,,,,,,,,,,,,
22,,,,2023,2022,,,,,,,,,,,,
23,,,Number of people supported1,60941,108698,,,,,,,,,,,,
24,,,Number of community organisations partnered,1550,711,,,,,,,,,,,,
25,,,Number of times employees were involved in activities,2258,2134,,,,,,,,,,,,
26,,,Employee donations ($),372693,308831,,,,,,,,,,,,
27,,,"1 Decrease in Number of people supported from 2022 is attributable to a reduction in high impact disaster responses funded in the current year. Further, the B4SI methodology has been uplifted in the current year for more accurate measurement of beneficiaries. As such, the 2022 figure has been restated from 408,698 to 108,698 to reflect this uplift.",,,,,,,,,,,,,,
29,,,Total community contribution by SDG,,,,,,,,,,,,,,
30,,,,2023\n%,2022\n%,,,,,,,,,,,,
31,,,SDG1: No Poverty,1,10.8498597501127,,,,,,,,,,,,
32,,,SDG3: Good Health and Wellbeing,3,11.5711259270685,,,,,,,,,,,,
33,,,SDG8: Decent Work & Economic Growth,1,0,,,,,,,,,,,,
34,,,SDG10: Reduced Inequalities,71,44.74605109588193,,,,,,,,,,,,
35,,,SDG11: Sustainable Cities and Communities,18,24.731854167258643,,,,,,,,,,,,
36,,,SDG13: Climate Action,6,6.980413812141874,,,,,,,,,,,,
