Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
1,,,Statement of Use,QBE Insurance Group Limited has reported the information cited in this GRI content index for the period January 1 2023 to December 31 2023 with reference to the GRI Standards.,,,,,,,,
2,,,GRI Standard,GRI 1: Foundation 2021,,,,,,,,
4,,,GRI Standard,GRI Disclosure,,Location,,,,,,
7,,,GRI 2: General Disclosures 2021,2-1,Organizational details,2023 Annual Report (AR) - page 2,,,,,,
8,,,,2-2,Entities included in the organizationÃ¢ÂÂs sustainability reporting,2023 AR - page 2,,,,,,
9,,,,,,2023 Sustainability Data Book (DB) - Focus Area 2 - Countries where QBE employees are located,,,,,,
10,,,,2-3,"Reporting period, frequency and contact point",2023 Sustainability Report (SR) - About this report,,,,,,
11,,,,,,2023 AR - About this report,,,,,,
12,,,,2-4,Restatements of information,2023 DB - Focus Area 1 - Net-zero emissions target base year - Footnote 4,,,,,,
13,,,,,,2023 DB - Focus Area 2 - Prior year parental leave - Footnote 7,,,,,,
14,,,,,,2023 DB - Focus Area 3 - Number of people supported - Footnote 1,,,,,,
15,,,,2-5,External assurance,2023 DB - Independent Assurance Report,,,,,,
16,,,,2-6,"Activities, value chain and other business relationships",2023 AR - page 2,,,,,,
17,,,,,,2023 AR - page 130 - Note 7.3 Controlled entities,,,,,,
18,,,,,,2023 AR - page 126 - Note 7.1 Disposals,,,,,,
19,,,,2-7,Employees,2023 DB - Focus Area 2,,,,,,
20,,,,2-9,Governance structure and composition,2023 Annual Report (AR) - pages 34-47,,,,,,
21,,,,,,Corporate Governance,,,,,,
22,,,,,,Group Board of Directors,,,,,,
23,,,,2-10,Nomination and selection of the highest governance body,2023 Corporate Governance Statement - page 7,,,,,,
24,,,,2-11,Chair of the highest governance body,2023 AR - page 34,,,,,,
25,,,,2-12,Role of the highest governance body in overseeing the management of impacts,Sustainability Governance and Management,,,,,,
26,,,,,,Materiality,,,,,,
27,,,,2-13,Delegation of responsibility for managing impacts,Sustainability Governance and Management,,,,,,
28,,,,2-14,Role of the highest governance body in sustainability reporting,Sustainability Governance and Management,,,,,,
29,,,,2-15,Conflicts of interest,2023 Corporate Governance Statement - page 6,,,,,,
30,,,,,,QBE Insurance Group Limited Board Charter - Clause 14 Other Matters,,,,,,
31,,,,2-16,Communication of critical concerns,2023 SR - page 15 - Whistleblowing,,,,,,
32,,,,,,Group Conduct Reporting & Whistleblower Policy,,,,,,
33,,,,,,Group Code of Ethics and Conduct - page 14,,,,,,
34,,,,2-17,Collective knowledge of the highest governance body,2023 AR - pages 34-35,,,,,,
35,,,,,,2023 Corporate Governance Statement - pages 5-6,,,,,,
36,,,,2-19,Remuneration policies,2023 AR - page 42,,,,,,
37,,,,2-20,Process to determine remuneration,2023 AR - page 42,,,,,,
38,,,,2-22,Statement on sustainable development strategy,2023 SR - page 2,,,,,,
39,,,,2-23,Policy commitments,2023 SR- page 14 - Accountable and transparent business,,,,,,
40,,,,,,Global Policies,,,,,,
41,,,,2-24,Embedding policy commitments,Global Policies,,,,,,
42,,,,2-25,Processes to remediate negative impacts,Group Conduct Reporting & Whistleblower Policy,,,,,,
43,,,,2-26,Mechanisms for seeking advice and raising concerns,Group Conduct Reporting & Whistleblower Policy,,,,,,
44,,,,,,Contact Us,,,,,,
45,,,,,,2023 SR - page 15 - Whistleblowing,,,,,,
46,,,,2-28,Membership associations,Memberships and Industry Collaboration,,,,,,
47,,,,2-29,Approach to stakeholder engagement,Stakeholder Engagement,,,,,,
48,,,,2-30,Collective bargaining agreements,2023 DB - Focus Area 2,,,,,,
49,,,GRI 3: Material Topics 2021,3-1,Process to determine material topics,2023 SR - pages 28-29,,,,,,
50,,,,,,Materiality,,,,,,
51,,,,3-2,List of material topics,2023 SR - pages 30-31,,,,,,
52,,,,3-3,Management of material topics,2023 SR - pages 28-29,,,,,,
53,,,,,,2023 SR - pages 4-7 - Focus Area 1,,,,,,
54,,,,,,2023 SR - pages 8-15 - Focus Area 2,,,,,,
55,,,,,,2023 SR - pages 16-27 - Focus Area 3,,,,,,
56,,,,,,Materiality,,,,,,
57,,,,,,Sustainable Development Goals,,,,,,
59,,,GRI 201: Economic Performance 2016,201-1,Direct economic value generated and distributed,2023 AR - pages 8 and 67,,,,,,
60,,,,201-2,Financial implications and other risks and opportunities due to climate change,2023 AR - pages 20-33,,,,,,
61,,,,201-3,Defined benefit plan obligations and other retirement plans,2023 AR - page 136-138,,,,,,
62,,,GRI 207: Tax 2019,207-1,Approach to tax,Tax Transparency Report,,,,,,
63,,,,207-2,"Tax governance, control, and risk management",Tax Transparency Report,,,,,,
64,,,,207-3,Stakeholder engagement and management of concerns related to tax,Tax Transparency Report,,,,,,
65,,,,207-4,Country-by-country reporting,Tax Transparency Report,,,,,,
67,,,GRI 302: Energy 2016,302-1,Energy consumption within the organization,2023 DB - Focus Area 1,,,,,,
68,,,,302-3,Energy intensity,2023 DB - Focus Area 1,,,,,,
69,,,,302-4,Reduction of energy consumption,2023 DB - Focus Area 1,,,,,,
70,,,GRI 303: Water and Effluents 2018,303-5,Water consumption,2023 DB - Focus Area 1,,,,,,
71,,,GRI 305: Emissions 2016,305-1,Direct (Scope 1) GHG emissions,2023 DB - Focus Area 1,,,,,,
72,,,,305-2,Energy indirect (Scope 2) GHG emissions,2023 DB - Focus Area 1,,,,,,
73,,,,305-3,Other indirect (Scope 3) GHG emissions,2023 DB - Focus Area 1,,,,,,
74,,,,305-4,GHG emissions intensity,2023 DB - Focus Area 1,,,,,,
75,,,,305-5,Reduction of GHG emissions,2023 DB - Focus Area 1,,,,,,
76,,,GRI 306: Waste 2020,306-4,Waste diverted from disposal,2023 DB - Focus Area 1,,,,,,
77,,,,306-5,Waste directed to disposal,2023 DB - Focus Area 1,,,,,,
79,,,GRI 401: Employment 2016,401-1,New employee hires and employee turnover,2023 DB - Focus Area 2 - New Employee Hires,,,,,,
80,,,,,,2023 DB - Focus Area 2 - Attrition,,,,,,
81,,,,401-3,Parental leave,2023 DB - Focus Area 2 - Parental leave,,,,,,
82,,,GRI 403: Occupational Health and Safety 2018,403-6,Promotion of worker health,2023 SR - page 13,,,,,,
83,,,,403-7,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,2023 SR - page 13,,,,,,
84,,,,,,"Global Work, Health & Safety Policy Summary",,,,,,
85,,,GRI 404: Training and Education 2016,404-2,Programs for upgrading employee skills and transition assistance programs,2023 SR - page 11,,,,,,
86,,,GRI 405: Diversity and Equal Opportunity 2016,405-1,Diversity of governance bodies and employees,2023 DB - Focus Area 2 - Workforce (%) by employment level and gender,,,,,,
87,,,,,,2023 DB - Focus Area 2 - Governance bodies,,,,,,
88,,,GRI 408: Child Labor 2016,408-1,Operations and suppliers at significant risk for incidents of child labor,Human Rights and Modern Slavery,,,,,,
89,,,GRI 409: Forced or Compulsory Labor 2016,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labor,Human Rights and Modern Slavery,,,,,,
90,,,GRI 414: Supplier Social Assessment 2016,414-1,New suppliers that were screened using social criteria,2023 SR - pages 23-24,,,,,,
91,,,GRI 415: Public Policy 2016,415-1,Political contributions,Interacting with governments,,,,,,
94,,,Material Topics not Included in GRI,,,,,,,,,
95,,,Natural disaster resilience,,,2023 SR - pages 17-18,,,,,,
96,,,Climate change transition and emissions reduction,,,2023 SR - pages 4-7,,,,,,
97,,,,,,2023 AR - pages 20-33,,,,,,
98,,,,,,2023 DB - Focus Area 1,,,,,,
99,,,Responsible technology and data,,,2023 SR - pages 25-27,,,,,,
100,,,Responsible products and services,,,2023 SR - pages 20-21,,,,,,
101,,,"Equity, poverty and financial inclusion",,,2023 SR - page 19,,,,,,
102,,,,,,Financial Inclusion website,,,,,,
103,,,Organisational culture and inclusion,,,2023 SR - pages 8-10,,,,,,
104,,,,,,2023 DB - Focus Area 2,,,,,,
105,,,"Sustainable and responsible policies, positions and advocacy",,,2023 SR - pages 22-24,,,,,,
106,,,Accountable and transparent business,,,2023 SR - pages 14-15,,,,,,
107,,,Thriving workforce,,,2023 SR - pages 11-13,,,,,,
