Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Mandatory compliance training,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,2022,2021,,,,,,,,
,,% of employees who completed the annual mandatory trainings by due date,0.994,0.974,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Respecting human rights,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,2022,2021,,,,,,,,
,,% of employees covered by collective bargaining agreements,0.278,0.26,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,2022,2021,,,,,,,,
,,Number of countries where QBE has insurance operations,27,27,,,,,,,,
,,Number of countries where QBE employees are located,34,31,,,,,,,,
,,,,,,,,,,,,
,,Countries where QBE employees are located as at 31 December 2022,,,,,,,,,,
,,,Number of employees,With insurance operations,,,,,,,,
,,Argentina,1,No,,,,,,,,
,,Australia,3504,Yes,,,,,,,,
,,Belgium,100,Yes,,,,,,,,
,,Bermuda,23,Yes,,,,,,,,
,,Canada,53,Yes,,,,,,,,
,,China,2,No,,,,,,,,
,,Colombia,3,No,,,,,,,,
,,Denmark,10,Yes,,,,,,,,
,,Fiji,22,Yes,,,,,,,,
,,France,156,Yes,,,,,,,,
,,French Polynesia,16,Yes,,,,,,,,
,,Germany,52,Yes,,,,,,,,
,,Hong Kong,252,Yes,,,,,,,,
,,India,323,Yes,,,,,,,,
,,Ireland,36,Yes,,,,,,,,
,,Italy,57,Yes,,,,,,,,
,,Japan,2,No,,,,,,,,
,,Macao,11,Yes,,,,,,,,
,,Malaysia,211,Yes,,,,,,,,
,,Netherlands,6,No,,,,,,,,
,,New Caledonia,25,Yes,,,,,,,,
,,New Zealand,282,Yes,,,,,,,,
,,Papua New Guinea,43,Yes,,,,,,,,
,,Philippines,2281,No,,,,,,,,
,,Singapore,182,Yes,,,,,,,,
,,Solomon Islands,10,Yes,,,,,,,,
,,Spain,71,Yes,,,,,,,,
,,Sweden,25,Yes,,,,,,,,
,,Switzerland,1,No,,,,,,,,
,,United Arab Emirates,22,Yes,,,,,,,,
,,United Kingdom,2109,Yes,,,,,,,,
,,United States of America,2534,Yes,,,,,,,,
,,Vanuatu,14,Yes,,,,,,,,
,,Vietnam,40,Yes,,,,,,,,
,,Total,12479,,,,,,,,,
