Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2,,,Mandatory compliance training,,,,,,,,,,
5,,,,2022,2021,,,,,,,,
6,,,% of employees who completed the annual mandatory trainings by due date,0.994,0.974,,,,,,,,
9,,,Respecting human rights,,,,,,,,,,
12,,,,2022,2021,,,,,,,,
13,,,% of employees covered by collective bargaining agreements,0.278,0.26,,,,,,,,
16,,,,2022,2021,,,,,,,,
17,,,Number of countries where QBE has insurance operations,27,27,,,,,,,,
18,,,Number of countries where QBE employees are located,34,31,,,,,,,,
20,,,Countries where QBE employees are located as at 31 December 2022,,,,,,,,,,
21,,,,Number of employees,With insurance operations,,,,,,,,
22,,,Argentina,1,No,,,,,,,,
23,,,Australia,3504,Yes,,,,,,,,
24,,,Belgium,100,Yes,,,,,,,,
25,,,Bermuda,23,Yes,,,,,,,,
26,,,Canada,53,Yes,,,,,,,,
27,,,China,2,No,,,,,,,,
28,,,Colombia,3,No,,,,,,,,
29,,,Denmark,10,Yes,,,,,,,,
30,,,Fiji,22,Yes,,,,,,,,
31,,,France,156,Yes,,,,,,,,
32,,,French Polynesia,16,Yes,,,,,,,,
33,,,Germany,52,Yes,,,,,,,,
34,,,Hong Kong,252,Yes,,,,,,,,
35,,,India,323,Yes,,,,,,,,
36,,,Ireland,36,Yes,,,,,,,,
37,,,Italy,57,Yes,,,,,,,,
38,,,Japan,2,No,,,,,,,,
39,,,Macao,11,Yes,,,,,,,,
40,,,Malaysia,211,Yes,,,,,,,,
41,,,Netherlands,6,No,,,,,,,,
42,,,New Caledonia,25,Yes,,,,,,,,
43,,,New Zealand,282,Yes,,,,,,,,
44,,,Papua New Guinea,43,Yes,,,,,,,,
45,,,Philippines,2281,No,,,,,,,,
46,,,Singapore,182,Yes,,,,,,,,
47,,,Solomon Islands,10,Yes,,,,,,,,
48,,,Spain,71,Yes,,,,,,,,
49,,,Sweden,25,Yes,,,,,,,,
50,,,Switzerland,1,No,,,,,,,,
51,,,United Arab Emirates,22,Yes,,,,,,,,
52,,,United Kingdom,2109,Yes,,,,,,,,
53,,,United States of America,2534,Yes,,,,,,,,
54,,,Vanuatu,14,Yes,,,,,,,,
55,,,Vietnam,40,Yes,,,,,,,,
56,,,Total,12479,,,,,,,,,
