Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
67,,,Other environmental indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,UNITS,% CHANGE FROM PRIOR YEAR,2022,,,2021,2020,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Stationary energy use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,Non-renewable electricity,MWh,-0.07622570098943082,443.4185897999596,,,480.00749779994294,770.899439999976,11303.939176034764,35916.08283813742,,,,,,PwC to advise which metrics to retain/remove in Other Environmental Indicators,,,,,,,,,,,,,,74444.543011,,,,,,,,,,,,,,,,,,,
71,,,Renewable electricity,MWh,-0.0834557819206887,18513.30619882114,,,20199.0322274,22529.24686,18876.497660983485,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,Electricity use per FTE,MWh/FTE,-0.1637382883943993,1.4584339735821743,,,1.7439922853600687,2.0541975279254476,2.6676245259703584,2.9572992642971303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Gas - direct,GJ,0.37909679999755386,22266.08712711955,,,16145.412800000002,18234.31,19513.1485896547,26231.36561894038,,,,,,,,,,,,,,,,,,,,32228.0555,,,,,,,,,,,,,,,,,,,
74,,,Gas - indirect,GJ,0.2427779857348935,19987.1543,,,16082.642700000008,20000.150000000016,25132.958158066474,23446.45982762508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,Gas use per FTE,GJ/FTE,0.19601108179899596,3.250749455848557,,,2.717992755517699,3.3708429209976476,3.9462334489217556,4.0904292739020764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Externally hosted data centres - non-renewable electricity,GJ,0.39402967161693736,4014.2484000000004,,,2879.6003999999994,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Externally hosted data centres - renewable electricity,GJ,-0.08,4700.2284,,,5094.5019955200005,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
