Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,"Promoting sustainability to customers, business partners and employees",,,,,,,,
,,,,,,,,,,
,,Q Academy,,,,,,,,
,,,,,,,,,,
,,"Q Academy offers professional development, training and support for our brokers and partners.",,,,,,,,
,,See https://www.qbe.com/au/brokers/support/learning-development/q-academy-training,,,,,,,,
,,,,,,,,,,
,,,,2022.0,,,,,,
,,Number of new e-learning modules launched,,13.0,,,,,,
,,Number of webinars delivered,,30.0,,,,,,
,,Number of brokers who attended,,3496.0,,,,,,
,,Number of employees who attended,,823.0,,,,,,
,,Number of other stakeholders who attended,,942.0,,,,,,
