Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2,,,"Promoting sustainability to customers, business partners and employees",,,,,,,,
4,,,Q Academy,,,,,,,,
6,,,"Q Academy offers professional development, training and support for our brokers and partners.",,,,,,,,
7,,,See https://www.qbe.com/au/brokers/support/learning-development/q-academy-training,,,,,,,,
9,,,,,2022.0,,,,,,
10,,,Number of new e-learning modules launched,,13.0,,,,,,
11,,,Number of webinars delivered,,30.0,,,,,,
12,,,Number of brokers who attended,,3496.0,,,,,,
13,,,Number of employees who attended,,823.0,,,,,,
14,,,Number of other stakeholders who attended,,942.0,,,,,,
