Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,UN Global Compact Principle,,"QBE's Policies, Programs and Performance",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Human Rights,"Principle 1
Businesses should support and respect the protection of internationally proclaimed human rights",•  ,Group Human Rights Policy,,,,,,,,,
,,,,•  ,Modern Slavery and Human Trafficking Statement,,,,,,,,,
,,,,•  ,2023 Sustainability Report - Human rights and modern slavery (page 6),,,,,,,,,
,,,"Principle 2
Businesses should make sure that they are not complicit in human rights abuses",•  ,Group Human Rights Policy,,,,,,,,,
,,,,•  ,Modern Slavery and Human Trafficking Statement,,,,,,,,,
,,,,•  ,2023 Sustainability Report - Human rights and modern slavery (page 6),,,,,,,,,
,,,,•  ,Environmental and Social Risk Framework,,,,,,,,,
,,,,•  ,Supplier Sustainability Principles (to be replaced with Supplier Code of Responsible Conduct in 2024),,,,,,,,,
,,,,,,,,,,,,,,
,,Labour,"Principle 3
Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining",•  ,Group Code of Ethics and Conduct ,,,,,,,,,
,,,,•  ,Group Human Rights Policy,,,,,,,,,
,,,,•  ,2023 Sustainability Data Book - Focus Area 2 (Respecting Human Rights),,,,,,,,,
,,,"Principle 4
Businesses should uphold the elimination of all forms of forced and compulsory labour",•  ,Group Code of Ethics and Conduct ,,,,,,,,,
,,,,•  ,Group Human Rights Policy,,,,,,,,,
,,,,•  ,Modern Slavery and Human Trafficking Statement,,,,,,,,,
,,,,•  ,Supplier Sustainability Principles (to be replaced with Supplier Code of Responsible Conduct in 2024),,,,,,,,,
,,,"Principle 5
Businesses should uphold the effective abolition of child labour",•  ,Group Code of Ethics and Conduct ,,,,,,,,,
,,,,•  ,Group Human Rights Policy,,,,,,,,,
,,,,•  ,Modern Slavery and Human Trafficking Statement,,,,,,,,,
,,,,•  ,Supplier Sustainability Principles (to be replaced with Supplier Code of Responsible Conduct in 2024),,,,,,,,,
,,,"Principle 6
Businesses should uphold the elimination of discrimination in respect of employment and occupation",•  ,Group Code of Ethics and Conduct ,,,,,,,,,
,,,,•  ,Group Inclusion of Diversity Policy,,,,,,,,,
,,,,•  ,Group Human Rights Policy,,,,,,,,,
,,,,•  ,"2023 Sustainability Report - Culture and inclusion (pages 9-10), Resilient workforce (pages 11-13)",,,,,,,,,
,,,,•  ,Supplier Sustainability Principles (to be replaced with Supplier Code of Responsible Conduct in 2024),,,,,,,,,
,,,,,,,,,,,,,,
,,Environment,"Principle 7
Businesses should support a precautionary approach to environmental challenges",•  ,Group Environmental Policy Summary,,,,,,,,,
,,,,•  ,Environmental and Social Risk Framework,,,,,,,,,
,,,,•  ,Our approach to climate change,,,,,,,,,
,,,,•  ,"2023 Sustainability Report - Focus Area 1 (pages 4-7), Responsible products and services (page 20), Premiums4Good (Page 21), Sustainable and responsible policies, positions and advocacy (pages 22-23), Sustainable procurement (page 24)",,,,,,,,,
,,,,•  ,2023 Annual Report - Climate-related financial disclosures (pages 20-33),,,,,,,,,
,,,,•  ,2023 Sustainability Data Book - Focus Area 1 (Operational environmental performance),,,,,,,,,
,,,"Principle 8
Businesses should undertake initiatives to promote greater environmental responsibility",•  ,Group Environmental Policy Summary,,,,,,,,,
,,,,•  ,"2023 Sustainability Report - Focus Area 1 (pages 4-7), Responsible products and services (page 20), Premiums4Good (Page 21), Sustainable and responsible policies, positions and advocacy (pages 22-23), Sustainable procurement (page 24)",,,,,,,,,
,,,,•  ,2023 Annual Report - Climate-related financial disclosures (pages 20-33),,,,,,,,,
,,,,•  ,2023 Sustainability Data Book - Focus Area 1 (Premiums4Good Investments),,,,,,,,,
,,,,•  ,Supplier Sustainability Principles (to be replaced with Supplier Code of Responsible Conduct in 2024),,,,,,,,,
,,,,•  ,Environmental and Social Risk Framework,,,,,,,,,
,,,"Principle 9
Businesses should encourage the development and diffusion of environmentally friendly technologies ",•  ,"2023 Sustainability Report - Focus Area 1 (pages 4-7), Responsible products and services (page 20), Premiums4Good (Page 21), Sustainable and responsible policies, positions and advocacy (pages 22-23), Sustainable procurement (page 24)",,,,,,,,,
,,,,•  ,2023 Annual Report - Climate-related financial disclosures (pages 20-33),,,,,,,,,
,,,,,,,,,,,,,,
,,Anti-Corruption,"Principle 10
Businesses should work against corruption in all its forms, including extortion and bribery",•  ,Group Code of Ethics and Conduct ,,,,,,,,,
,,,,•  ,Group Anti-Bribery and Corruption Policy Summary,,,,,,,,,
,,,,,,,,,,,,,,
,,,,•  ,Supplier Sustainability Principles (to be replaced with Supplier Code of Responsible Conduct in 2024),,,,,,,,,
