Task Force on Climate-related Financial Disclosures,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,Links to key Qantas documents,
,,,,,,,,Qantas Group website,Link
,,,,,,,,Qantas Business Pratices,Link
,,,,,,,,2022 Modern Slavery Statement,Link
,,,,,,,,FY23 Sustainability Report,Link
,,,,,,,,FY23 Annual Report,Link
,,,,,,,,Qantas Constitution,Link
,,,,,,,,Qantas Inclusion and Diversity Policy,Link
,,,,,,,,Qantas Group Corporate Governance Statement,Link
,,,,,,,,Governance section of Qantas Group website,Link
,,,,,,,,,
TCFD Overview,,,,"The Financial Stability Board (FSB) created the Task Force on Climate-related Financial Disclosures (TCFD) to develop recommendations on the information companies should disclose related to climate change. In December 2017, Qantas Group publicly declared our support for the TCFD and its recommendations. Our response to the TCFD is included in the Climate action section of the FY23 Sustainability Report.",,,,,
,,,,,,,,,
THEMATIC AREA,,,,,RECOMMENDATION,QANTAS LOCATION ,,,
Governance,,,,,Describe the board’s oversight of climate-related risks and opportunities,"FY23 Sustainability Report (Pages 12 to 19)
FY23 Sustainability Report (Page 21)
FY23 Sustainability Report (Page 32)",,,
,,,,,Describe management’s role in assessing and managing climate-related risks and opportunities,FY23 Sustainability Report (Pages 21 and 34 ),,,
Strategy,,,,,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term",FY23 Sustainability Report (Pages 22 to 25),,,
,,,,,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning",FY23 Sustainability Report (Pages 22 to 25),,,
,,,,,"Describe the resilience of the organization’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario",FY23 Sustainability Report (Pages 22 to 25),,,
Risk Management,,,,,Describe the organization’s processes for identifying and assessing climate-related risks,FY23 Sustainability Report (Pages 21 to 25),,,
,,,,,Describe the organization’s processes for managing climate-related risks,FY23 Sustainability Report (Pages 21 to 25),,,
,,,,,"Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management",FY23 Sustainability Report (Pages 21 to 25),,,
Metrics and Targets,,,,,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process,FY23 Sustainability Report (Page 34),,,
,,,,,"Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 greenhouse gas (GHG) emissions and the related risks","FY23 Sustainability Report (Page 34)
FY23 Sustainability Report (Page 73)",,,
,,,,,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets,FY23 Sustainability Report (Page 21),,,
