Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,Sustainability Report Appendix,,,,,
,,,,,,
,,,,,,
,,,,,,
,Table of Contents,,,,,
,,,,,,
,,Contents,Description ,Link,,
,,,,,,
,,GRI,Reporting in accordance with the Global Reporting Initiative Standard: Core Option,Go to,,
,,SDGs,Support for the Ambitions of the United Nations Sustainable Development Goals,Go to ,,
,,UNCG,Support of the United Nations Global Compact,Go to ,,
,,TCFD,Response to the recommendations of the Task Force on Climate related Financial Disclosures,Go to ,,
