Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,United Nations Global Compact,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,UNGC - Overview,,,,Links to key Qantas documents,
,,,,,,Qantas Group website,Link
,,,,,,Qantas  Business Practices,Link
,,,,,,2021 Modern Slavery Statement,Link
,,,,,,FY22 Sustainability Report,Link
,,,,,,Qantas Group Human Rights Policy 2020,Link
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,UNGC Principles,,"Qantas' reference
Links provided in table to the right",,,
,,,,,,,
,,Human Rights,,,,,
,,1,Businesses should support and respect the protection of internationally proclaimed human rights.,"FY21 Modern Slavery Statement
FY22 Modern Slavery Statement (released late 2022)
Qantas Group Human Rights Policy 2020

Qantas Business Practices
Respecting Human Rights (page 9)
",,,
,,2,Businesses should make sure that they are not complicit in human rights abuses.,"FY21 Modern Slavery Statement
FY22 Modern Slavery Statement (released late 2022)",,,
,,3,Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining.,"FY21 Modern Slavery Statement (page 11)
FY22 Modern Slavery Statement (released late 2022)",,,
,,4,Businesses should uphold the elimination of all forms of forced and compulsory labour.,"FY21 Modern Slavery Statement
FY22 Modern Slavery Statement (released late 2022)",,,
,,5,Businesses should uphold the effective abolition of child labour.,"FY21 Modern Slavery Statement
FY22 Modern Slavery Statement (released late 2022)",,,
,,6,Businesses should uphold the elimination of discrimination in respect of employment and occupation.,"FY22 Sustainability Report
Enhancing inclusion and diversity (pages 38 to 41)
",,,
,,Environment,,,,,
,,7,Businesses should support a precautionary approach to environmental challenges.,"FY22 Sustainability Report
Climate action (pages 16 to 29)
",,,
,,8,Businesses should undertake initiatives to promote greater environmental responsibility.,"FY22 Sustainability Report
Climate action Pages (pages 16 to 29)
",,,
,,9,Businesses should encourage the development and diffusion of environmentally friendly technologies.,"FY22 Sustainability Report
Climate action (pages 16 to 29)
",,,
,,Anti-Corruption,,,,,
,,10,"Businesses should work against corruption in all its forms, including extortion and bribery.","Qantas Business Practices
Compliance with Laws and Ethical Standards (pages 7 to 8)
",,,
