Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,United Nations Global Compact,,,,,,
5,,,UNGC - Overview,,,,Links to key Qantas documents,
6,,,,,,,Qantas Group website,Link
7,,,,,,,Qantas Business Practices,Link
8,,,,,,,2021 Modern Slavery Statement,Link
9,,,,,,,FY22 Sustainability Report,Link
10,,,,,,,Qantas Group Human Rights Policy 2020,Link
18,,,UNGC Principles,,Qantas' reference\nLinks provided in table to the right,,,
20,,,Human Rights,,,,,
21,,,1,Businesses should support and respect the protection of internationally proclaimed human rights.,FY21 Modern Slavery Statement\nFY22 Modern Slavery Statement (released late 2022)\nQantas Group Human Rights Policy 2020\n\nQantas Business Practices\nRespecting Human Rights (page 9)\n,,,
22,,,2,Businesses should make sure that they are not complicit in human rights abuses.,FY21 Modern Slavery Statement\nFY22 Modern Slavery Statement (released late 2022),,,
23,,,3,Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining.,FY21 Modern Slavery Statement (page 11)\nFY22 Modern Slavery Statement (released late 2022),,,
24,,,4,Businesses should uphold the elimination of all forms of forced and compulsory labour.,FY21 Modern Slavery Statement\nFY22 Modern Slavery Statement (released late 2022),,,
25,,,5,Businesses should uphold the effective abolition of child labour.,FY21 Modern Slavery Statement\nFY22 Modern Slavery Statement (released late 2022),,,
26,,,6,Businesses should uphold the elimination of discrimination in respect of employment and occupation.,FY22 Sustainability Report\nEnhancing inclusion and diversity (pages 38 to 41)\n,,,
27,,,Environment,,,,,
28,,,7,Businesses should support a precautionary approach to environmental challenges.,FY22 Sustainability Report\nClimate action (pages 16 to 29)\n,,,
29,,,8,Businesses should undertake initiatives to promote greater environmental responsibility.,FY22 Sustainability Report\nClimate action Pages (pages 16 to 29)\n,,,
30,,,9,Businesses should encourage the development and diffusion of environmentally friendly technologies.,FY22 Sustainability Report\nClimate action (pages 16 to 29)\n,,,
31,,,Anti-Corruption,,,,,
32,,,10,"Businesses should work against corruption in all its forms, including extortion and bribery.",Qantas Business Practices\nCompliance with Laws and Ethical Standards (pages 7 to 8)\n,,,
