Unnamed: 0,Unnamed: 1,Unnamed: 2
,,Sustainability Fact Book 2023
,,
,,
,ADDITIONAL DISCLOSURES,
,Title,Spreadsheet tab
,Global Reporting Initiative (GRI) Index and Sustainable Development Goals (SDGs),GRI Index
,Sustainability & responsible sourcing certifications/frameworks,Certifications & frameworks
,ESG indices & ratings,Indices & ratings
,Task Force on Climate-related Financial Disclosures (TCFD),TCFD
,Climate Action 100+ (CA100+) Net Zero Company Benchmark,CA100+
,Task Force on Nature-related Financial Disclosures (TNFD),TNFD
,International Council on Mining & Metals (ICMM) Performance Expectations,ICMM PE Summary
,Sustainability Accounting Standards Board (SASB),SASB
,United Nations Global Compact (UNGC) Communication of Progress (CoP),UNGC CoP
,Principle Adverse Impact Summary,PAI Summary
