Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
0,,,Sustainability Fact Book 2023
3,,ADDITIONAL DISCLOSURES,
4,,Title,Spreadsheet tab
5,,Global Reporting Initiative (GRI) Index and Sustainable Development Goals (SDGs),GRI Index
6,,Sustainability & responsible sourcing certifications/frameworks,Certifications & frameworks
7,,ESG indices & ratings,Indices & ratings
8,,Task Force on Climate-related Financial Disclosures (TCFD),TCFD
9,,Climate Action 100+ (CA100+) Net Zero Company Benchmark,CA100+
10,,Task Force on Nature-related Financial Disclosures (TNFD),TNFD
11,,International Council on Mining & Metals (ICMM) Performance Expectations,ICMM PE Summary
12,,Sustainability Accounting Standards Board (SASB),SASB
13,,United Nations Global Compact (UNGC) Communication of Progress (CoP),UNGC CoP
14,,Principle Adverse Impact Summary,PAI Summary
