Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,Sustainability Fact Book 2023,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,BIODIVERSITY AREAS BY ASSET,,,,,,,,,,,,,
,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value",,,,,,,,,,,,,
,,,,,,Relative biodiversity value,,Relative biodiversity vulnerability,,,,,,
,Biodiversity sensitivity rank 2023,Site name,Primary commodity,Product group,Country,Species range rarity rank,Natural/modified habitat rank,Threatened species range rarity rank,Critical habitat rank,Types of overlapping biodiversity features,Biodiversity feature name,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,EBA,North-west Australia,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,"KBA - VU, endemic, other",Arnhem Plateau,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,"KBA - CR/EN, VU, endemic, other",Kakadu Savanna,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,"KBA - endemic, migratory birds/congregations, other",Alligator Rivers Floodplains,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,Indigenous Protected Area,Warddeken,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,National Park (Commonwealth),Kakadu,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,"Ramsar Site, Wetland of International Importance",Kakadu National Park,,,
,1,Ranger,Uranium,Rio Tinto ERA,Australia,2,1,2,3,World Heritage Site (natural or mixed),Kakadu National Park,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,EBA,East Malagasy wet forests,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,EBA,South Malagasy spiny forests,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,EBA,East Malagasy wetlands,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,EBA,West Malagasy wetlands,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,National Park,Forêt Naturel de Petriky,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,National Park,Andohahela,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,National Park,Forêt Naturelle de Tsitongambarika,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,Paysage Harmonieux Protégé,Ambatotsirongorongo,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,Paysage Harmonieux Protégé,Mandena,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,Paysage Harmonieux Protégé,Ambatoatsinanana,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,World Heritage Site (natural or mixed),Rainforests of the Atsinanana,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,Hotspot area,Madagascar and the Indian Ocean Islands,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, endemic, migratory birds/congregations, other",Lakes Anony and Erombo,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, VU, endemic",Coastal area between Lokaro and Lavanono,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, VU, endemic",Sainte-Luce - Ambato Atsinanana NPA Ambatotsirongorongo NPA,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, VU, endemic",Mandena NPA,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, VU, endemic",Ifotaky Complex NPA,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, VU, endemic",Manambato Atsimo,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, VU, endemic, other",Tsitongambarika NPA,,,
,2,QIT Madagascar Minerals,Heavy Mineral Sands,Minerals,Madagascar,1,48,1,11,"KBA - CR/EN, VU, endemic, other",Andohahela National Park - Section I,,,
,3,Weipa Operations,Aluminium,Aluminium,Australia,4,25,12,12,EBA,Cape York,,,
,3,Weipa Operations,Aluminium,Aluminium,Australia,4,25,12,12,Australian Marine Park,West Cape York,,,
,3,Weipa Operations,Aluminium,Aluminium,Australia,4,25,12,12,,West Cape York,,,
,3,Weipa Operations,Aluminium,Aluminium,Australia,4,25,12,12,Fish Habitat Area (A),Pine River Bay,,,
,3,Weipa Operations,Aluminium,Aluminium,Australia,4,25,12,12,Fish Habitat Area (B),Pine River Bay,,,
,3,Weipa Operations,Aluminium,Aluminium,Australia,4,25,12,12,National Park,Jardine River,,,
,3,Weipa Operations,Aluminium,Aluminium,Australia,4,25,12,12,Nature Refuge,Steve Irwin Wildlife Reserve,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,KBA - CR/EN,Inyo Mountains Wilderness Areas and surrounding areas,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,High-Biodiversity Wilderness Area - wilderness,North American Deserts,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,Hotspot area,California Floristic Province,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,National Park,Death Valley,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,Research Natural Area,Last Chance Meadow,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,Wild and Scenic River,"Kern, California",,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,Wilderness,South Sierra,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,,Golden Trout,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,,Death Valley,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,,John Muir,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,Wilderness Area,Coso Range,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,,Malpais Mesa,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,,Inyo Mountains,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,Wilderness Study Area,Cerro Gordo,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,,Southern Inyo,,,
,4,Owens Lake,Borax,Minerals,USA,7,11,6,27,Wildlife Area,Cartago,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,A - Park,Eagle Bay Park,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,A - Park,Dala-Kildala Rivers Estuaries Park,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,A - Park,Kitimat River Park,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,A - Park,Nalbeelah Creek Wetlands Park,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,A - Park,Lakelse Lake Wetlands Park,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,A - Park,Hai Lake - Mount Herman Park,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,Privately Owned Conservation Area,Lakelse Lake Wetlands,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,Privately Owned Conservation Area,Lakelse Lake - Mullers Bay,,,
,5,Kitimat,Aluminium,Aluminium,Canada,35,3,40,7,Privately Owned Conservation Area,Lakelse River,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Endemic Bird Area (EBA),Tasmania,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Tamar,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Dismal Range,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Sidmouth,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Dans Hill,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Middle Arm,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Middle Island,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Long Reach,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,West Arm,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Redbill Point,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Tippogoree Hills,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Unnamed (Badger Head Road),,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,George Town,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Greens Beach,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Low Head,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Area,Five Mile Bluff,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Casvarina,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Gaunts Hill,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Barter Lodge,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Symons Creek,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Dismal Range #2,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Dismal Range #1,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Blairgowrie Falls,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Four Mile Creek #3,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Shiny Grasstrees,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Pipers River Road,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Badger Head,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Conservation Covenant,Tamar Crescent,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Historic Site,Mount Direction,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Historic Site,Yorktown,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Historic Site,Low Head,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,National Park,Narawntapu,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Nature Reserve,Native Point,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Regional Reserve,Peaked Hill,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Regional Reserve,Andersons Creek,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Regional Reserve,Briggs,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Regional Reserve,Den Ranges,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,Regional Reserve,Lefroy,,,
,6,Bell Bay,Aluminium,Aluminium,Australia,6,40,4,14,KBA (migratory birds/congregations),Tamar Wetlands,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Hotspot area,Forests of East Australia,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Conservation Park,Boyne Island,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Conservation Park,Calliope,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Conservation Park,Garden Island,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Conservation Park,Southend,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Conservation Park,Curtis Island,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Fish Habitat Area (A),Colosseum Inlet,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Fish Habitat Area (B),Colosseum Inlet,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,,Dē-răl-lĭ (Calliope River),,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Marine Park,Great Barrier Reef Coast,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Marine Park,Great Barrier Reef,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,National Park,Wild Cattle Island,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,National Park,Curtis Island,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,Nature Refuge,Curtis Island,,,
,7,Queensland Aluminium Ltd.,Aluminium,Aluminium,Australia,9,43,11,6,World Heritage Site (natural or mixed),Great Barrier Reef,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Hotspot area,Forests of East Australia,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Conservation Park,Boyne Island,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Conservation Park,Calliope,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Conservation Park,Garden Island,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Conservation Park,Southend,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Conservation Park,Curtis Island,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Fish Habitat Area (A),Colosseum Inlet,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Fish Habitat Area (B),Colosseum Inlet,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Fish Habitat Area (B),Dē-răl-lĭ (Calliope River),,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Marine Park,Great Barrier Reef Coast,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,Marine Park,Great Barrier Reef,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,National Park,Castle Tower,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,National Park,Wild Cattle Island,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,National Park,Curtis Island,,,
,8,Boyne Smelter Ltd.,Aluminium,Aluminium,Australia,8,42,9,9,World Heritage Site (natural or mixed),Great Barrier Reef,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Hotspot area,Forests of East Australia,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Conservation Park,Boyne Island,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Conservation Park,Calliope,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Conservation Park,Garden Island,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Conservation Park,Southend,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Conservation Park,Curtis Island,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Fish Habitat Area (A),Fitzroy River (Rev.1),,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Fish Habitat Area (B),Colosseum Inlet,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Fish Habitat Area (B),Dē-răl-lĭ (Calliope River),,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Marine Park,Great Barrier Reef Coast,,,
,9,Yarwun,Aluminium,Aluminium,Australia,5,34,8,16,Marine Park,Great Barrier Reef Coast,,,
