Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,Sustainability Fact Book 2023,
,,,,,,,,
,,,,,,,,
,BIODIVERSITY SPECIES BY ASSET,,,,,,,
,Total number of IUCN Red List species ranges that overlap with Rio Tinto operating assets,,,,,,,
,,,,IUCN Red Listed species,,,,
,Country,Product Group,Asset Name,Critically Endangered,Endangered,Vulnerable,Near Threatened,Least Concern
,Australia,Aluminium,Bell Bay,5,22,48,40,824
,Australia,Aluminium,BSL,11,32,138,153,2457
,Australia,Aluminium,Gove Operations,12,32,109,116,1730
,Australia,Aluminium,Weipa Operations,12,33,147,157,2731
,Australia,Aluminium,Yarwun,11,33,140,160,2489
,Australia,Iron Ore,Brockman 2,0,5,8,10,625
,Australia,Iron Ore,Brockman 4,0,5,8,7,613
,Australia,Iron Ore,Cape Lambert,12,30,2240,106,1876
,Australia,Iron Ore,Dampier,12,30,2268,108,1900
,Australia,Iron Ore,Dampier Salt - Dampier,12,30,2265,108,1896
,Australia,Iron Ore,Dampier Salt - Port Hedland,12,26,104,131,1980
,Australia,Iron Ore,Dampier Salt - Lake MacLeod,8,31,109,129,1814
,Australia,Iron Ore,Gudai Darri,1,3,484,5,471
,Australia,Iron Ore,Hope Downs 1,1,1,447,5,437
,Australia,Iron Ore,Hope Downs 2,1,1,452,5,441
,Australia,Iron Ore,Marandoo,1,4,9,6,595
,Australia,Iron Ore,Mesa A,11,27,2150,100,1804
,Australia,Iron Ore,"Mesa J, K, H",11,29,105,130,1998
,Australia,Iron Ore,OKP,12,28,2322,107,1964
,Australia,Iron Ore,Paraburdoo Greater,1,2,6,5,546
,Australia,Iron Ore,Pilbara Iron Pastoral,13,34,2440,112,2057
,Australia,Iron Ore,Rail,13,34,2420,111,2036
,Australia,Iron Ore,Tom Price,1,4,9,6,607
,Australia,Iron Ore,West Angelas,1,1,450,4,441
,Australia,Iron Ore,Yandicoogina,1,1,459,5,449
,Australia,Minerals,ERA Ltd. Ranger,4,9,19,16,686
,Canada,Aluminium,Alma,2,5,13,12,383
,Canada,Aluminium,AP60,2,7,13,12,414
,Canada,Aluminium,Arvida,2,7,13,12,414
,Canada,Aluminium,Beauharnois,7,13,26,23,782
,Canada,Aluminium,Dubuc,2,7,13,13,416
,Canada,Aluminium,IPSF,2,8,15,14,434
,Canada,Aluminium,Kemano,2,11,28,27,585
,Canada,Aluminium,Kitimat,2,10,24,28,508
,Canada,Aluminium,Laterriere,2,7,14,13,424
,Canada,Aluminium,SPL,2,7,13,13,414
,Canada,Aluminium,Strathcona,1,3,8,12,413
,Canada,Aluminium,Usine Grande Baie,2,8,14,14,428
,Canada,Aluminium,Vaudreuil,2,7,13,13,423
,Canada,Minerals,Diavik Diamond Mine,1,0,3,4,146
,Canada,Minerals,Havre-Saint-Pierre & Lac Tio,3,8,28,18,394
,Canada,Minerals,Iron Ore Canada Operations,0,2,5,7,201
,Canada,Minerals,Iron Ore Canada Southern Operations,2,6,21,14,324
,Iceland,Aluminium,ISAL,4,5,27,16,275
,Madagascar,Minerals,QIT Madagascar Minerals,74,288,321,225,2620
,Mongolia,Copper,Oyu Tolgoi,1,3,11,10,263
,New Zealand,Aluminium,NZAS,9,22,35,30,507
,South Africa,Minerals,Richards Bay Minerals,21,65,102,120,3437
,USA,Copper,Barney Canyon,2,6,10,10,1
,USA,Copper,Kennecott Utah Copper,3,4,12,10,639
,USA,Minerals,Boron,2,17,24,21,796
,USA,Minerals,Owens Lake,3,12,23,21,780
,USA,Minerals,Wilmington Refinery,13,40,46,43,1237
,,,,,,,,
,"Only managed Joint Ventures and operating assets are included  and hereafter referred to as ""assets"".",,,,,,,
,"Only species listed in the International Union for Conservation of Nature Red List (IUCN Red List, 2022) are included.",,,,,,,
,"As there is geographic bias in where species on the IUCN Red List have been assessed, a direct comparison between assets is not possible.",,,,,,,
,Data downloaded under licence from the Integrated Biodiversity Assessment Tool (IBAT).,,,,,,,
,All assets were buffered by 50km.,,,,,,,
,Assets may have more accurate data on Red List species from studies and monitoring completed at the asset.,,,,,,,
,"Borates and lithium sites Coudekerque Plant (France), Rotterdam Plant (Netherlands) and Nules Plant (Spain) are excluded from this analysis.",,,,,,,
,"Simandou, Jadar, Rincon, La Granja, Winu and Resolution have been excluded from 2023 reporting as they are considered studies/projects.",,,,,,,
