Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,Sustainability Fact Book 2023,
,,,
,,,
,SUSTAINABILITY & RESPONSIBLE SOURCING CERTIFICATIONS,,
,Aluminium Stewardship Initiative (ASI),,
,Asset,Performance Standard (V2) Certification,Chain of Custody (V1)  Certification
,"Vaudreuil Alumina Refinery (Saguenay QC, Canada)",Yes,Yes
,"Alma Smelter (Alma QC, Canada)",Yes,Yes
,"AP-60 Smelter (Saguenay QC, Canada)",Yes,Yes
,"Arvida Smelter (Saguenay QC, Canada)",Yes,Yes
,"Grande-Baie Smelter (Saguenay QC, Canada)",Yes,Yes
,"Laterriere Smelter (Saguenay QC, Canada)",Yes,Yes
,"Beauharnaois (Beauharnois QC, Canada)",Yes,
,"PLS1 (Saguenay QC, Canada) ",Yes,Yes
,"Dubuc (Saguenay QC, Canada)",Yes,
,"Spent Pot Lining Treatment Plant (Saguenay QC, Canada)",Yes,
,"Quebec Power Operations (Saguenay QC, Canada)",Yes,
,"IPSF2 (Port and Rails) (Saguenay QC, Canada)",Yes,
,"Kitimat Smelter (Kitimat BC, Canada)",Yes,Yes
,"Kemano Power Operations (Kitimat BC, Canada)",Yes,
,"ISAL Aluminium Smelter (Hafnarfjörður, Iceland)",Yes ,Yes
,"Gove Bauxite Mine including its port facilities and power station (Gove, Northern Territory, Australia)",Yes,Yes
,"Weipa Bauxite Mines, related port facilities and power stations (Weipa, Queensland, Australia)",Yes,Yes
,"Yarwun Alumina Refinery (Yarwun, Queensland, Australia)",Yes,Yes
,"Bell Bay Aluminium Smelter (George Town, Tasmania, Australia)",Yes,Yes
,"New Zealand's Aluminium Smelter (Invercargill, New Zealand)",Yes,Yes
,1. Petits Lingots Saguenay,,
,2. Installations portuaires et services ferroviaires,,
,"For the current list of ASI certified sites, see https://aluminium-stewardship.org/about-asi/members/Rio-Tinto-Aluminium-Division.",,
,,,
,The Copper Mark,,
,Asset,Awarded,
,"Rio Tinto Kennecott (Salt Lake City, Utah, United States)",Yes,
,"Oyu Tolgoi (Khanbogd soum, Umnugovi province, Mongolia)",Yes,
,The Copper Mark is the only program for responsible production in the copper industry - see more at https://coppermark.org/.,,
,,,
,Responsible Jewellery Council (RJC),,
,Asset,Code of Practice Certification,
,"Diavik Diamond Mine (Northwest Territories, Canada)",Yes,
,Rio Tinto Diamonds NV,Yes,
,"Rio Tinto Kennecott (Salt Lake City, Utah, United States)",Yes,
,"With the closure of Argyle mine, Argyle has formally resigned from being a member of RJC in 2021.",,
,"For the current list of RJC certified assets, see https://www.responsiblejewellery.com/membership/find-an-rjc-member/?bycountry=&rjccategories=&rjccertification=&searchbox=&pagenum=1",,
,,,
,London Bullion Market Association (LBMA),,
,Asset,Responsible Gold Certificate,
,"Rio Tinto Kennecott (Salt Lake City, Utah, United States)",Yes,
,"For the current list of LBMA Good Delivery List - Gold, see: https://www.lbma.org.uk/good-delivery/gold-current-list#-",,
,"For the current list of LBMA Good Delivery List - Silver, see: https://www.lbma.org.uk/good-delivery/silver-current-list#-",,
,Towards Sustainable Mining (TSM)  ,,
,Asset,Participant,"External verification 
(within 3 years)"
,"Diavik  Diamond Mine (Northwest Territories, Canada)",Yes,Yes
,"Iron Ore Company of Canada (Labrador, Canada)",Yes,Yes
,"Rio Tinto Iron and Titanium Quebec Operations - Havre-Saint-Pierre mine (Quebec, Canada)",Yes,Yes
,TSM standard is a globally-recognised sustainability program that supports mining companies in responsible mining - see https://mining.ca/towards-sustainable-mining/.,,
,"For more information on our performance, see https://mining.ca/companies/rio-tinto/.",,
,,,
,ICMM - Performance Expectations (PE),,
,"Note: As a member of ICMM, we have committed to implementing the ICMM PEs. Refer to the ""ICMM PE Summary"" tab of this Sustainability Fact Book for the most recent self-assessment or third-party validated outcomes.",,
,"For more information on the ICMM Mining Principles: PEs, see https://www.icmm.com/en-gb/about-us/member-requirements/mining-principles/mining-principles.",,
