Unnamed: 0,Unnamed: 1,Unnamed: 2
,,Sustainability Fact Book 2023
,,
,,
,CLIMATE CHANGE,
,Performance metric,Spreadsheet tab
,Total managed energy use (PJ),Energy
,Primary sources of managed energy used (percentage),Energy
,Sources of managed electricity used (percentage),Energy
,Greenhouse gas emissions targets (equity),GHG emissions
,Total equity greenhouse gas emissions (million tCO2e),GHG emissions
,2023 equity greenhouse gas emissions by product group,GHG emissions
,2023 equity greenhouse gas emissions by location (million tCO2e),GHG emissions
,Total managed greenhouse gas emissions (million tCO2e),GHG emissions
,Sources of managed greenhouse gas emissions (percentage),GHG emissions
,2023 managed greenhouse gas emissions by product group (million tCO2e),GHG emissions
,2023 total equity Scope 3 greenhouse gas emissions (million tCO2e),GHG emissions
,Sources of Scope 3 greenhouse gas emissions,GHG emissions
,Emissions methodology,GHG emissions methodology
,,
,Reporting,Spreadsheet tab
,CA100+ Net Zero Company Benchmark,CA100+
,Task Force on Climate-related Financial Disclosures (TCFD),TCFD
