Unnamed: 0,Unnamed: 1,Unnamed: 2
,,Sustainability Fact Book 2023
,,
,,
,COMMUNITIES,
,Performance metrics,Spreadsheet tab
,Economic contribution,Economic
,Economic contribution by region (% of annual total),Economic
,Community investment contributions by region (% of annual total),Economic
,Distribution of economic contribution (percentage),Economic
,Indigenous Peoples' territories,Communities performance
,Indigenous Peoples' rights,Communities performance
,Local procurement performance targets,Communities performance
