Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
0,,,Sustainability Fact Book 2023
3,,COMMUNITIES,
4,,Performance metrics,Spreadsheet tab
5,,Economic contribution,Economic
6,,Economic contribution by region (% of annual total),Economic
7,,Community investment contributions by region (% of annual total),Economic
8,,Distribution of economic contribution (percentage),Economic
9,,Indigenous Peoples' territories,Communities performance
10,,Indigenous Peoples' rights,Communities performance
11,,Local procurement performance targets,Communities performance
