Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,Sustainability Fact Book 2023,
,,,
,,,
,"HEALTH, SAFETY AND WELLBEING",,
,Performance metric,Spreadsheet tab,
,Number of employees,People,
,"New cases of occupational illness (per 10,000 employees)",Health,
,Occupational illness,Health,
,Fatalities,Safety,
,Safety maturity model (SMM) score,Safety,
,Potential fatal incident (PFI),Safety,
,All-injury frequency rate (AIFR),Safety,
,Lost-time injuries (LTI),Safety,
,Permanent damage injury (PDI),Safety,
,Injury severity,Safety,
,Process safety,Safety,
,Critical risk management,Safety,
,Fines and prosecutions – safety (US$’000),Safety,
,Fines and prosecutions – health (US$’000),Health,
,,,
,PEOPLE,,
,Performance metrics,,
,Our culture,Workforce data & diversity,
,Workforce by region,Workforce data & diversity,
,Workforce by category and diversity,Workforce data & diversity,
,Employee hiring and turnover rates,Workforce data & diversity,
,Indigenous employment,Workforce data & diversity,
,Employee engagement indicators,Workforce data & diversity,
,Rio Tinto workforce,Workforce data & diversity,
,Regional distribution of workforce (number),Workforce data & diversity,
,Product group distribution of workforce (number),Workforce data & diversity,
,Employee pay equity,"Remuneration, leave & training",
,Employee share plan,"Remuneration, leave & training",
,Employee parental leave,"Remuneration, leave & training",
,Employee training - average hours,"Remuneration, leave & training",
,Employee and contractor training,Human Rights,
,Assessments,Human Rights,
,,,
,COMMUNITIES,,
,Performance metrics,,
,Economic contribution,Economic,
,Economic contribution by region (% of annual total),Economic,
,Community investment contributions by region (% of annual total),Economic,
,Distribution of economic contribution (percentage),Economic,
,Indigenous Peoples' territories,Communities performance,
,Indigenous Peoples' rights,Communities performance,
,Local procurement performance targets,Communities performance,
,,,
,CLIMATE CHANGE,,
,Performance metrics,,
,Total energy use (PJ),Energy,
,Self-generated electricity (percentage),Energy,
,Group fuel energy excluding electricity (percentage),Energy,
,"Scope 1, 2 and 3 emissions (equity basis)",GHG emissions,
,Equity greenhouse gas emissions (million tonnes CO2e) - performance against target,GHG emissions,
,2023 equity greenhouse gas emissions by product group and source (million tonnes CO2e),GHG emissions,
,2023 equity greenhouse gas emissions by location (million tonnes CO2e),GHG emissions,
,Scope 1 and 2 emissions - 100% managed (million tonnes CO2e),GHG emissions,
,2023 100% managed greenhouse gas emissions by product group (million tonnes CO2e),GHG emissions,
,Total equity Scope 3 greenhouse gas emissions (million tonnes CO2e),GHG emissions,
,Sources of Scope 3 greenhouse gas emissions,GHG emissions,
,Emissions methodology,GHG emissions methodology,
,,,
,Reporting,,
,CA100+ Net Zero Company Benchmark,CA100+,
,Task Force on Climate-related Financial Disclosures (TCFD),TCFD,
,,,
,ENVIRONMENT,,
,Performance metrics,,
,SOx emissions ('000 tonnes),Environment performance,
,NOx emissions ('000 tonnes),Environment performance,
,Fluoride emissions ('000 tonnes),Environment performance,
,PM10 emissions ('000 tonnes),Environment performance,
,PM2.5 emissions ('000 tonnes),Environment performance,
,Land footprint data (square kilometres),Environment performance,
,Types of rehabilitation (square kilometres),Environment performance,
,Mineral waste by disposal location (million tonnes),Environment performance,
,Mineral waste by  type (million tonnes),Environment performance,
,Non-mineral waste by disposal location ('000 tonnes),Environment performance,
,Non-mineral waste by type ('000 tonnes),Environment performance,
,Reuse/recycle waste ('000 tonnes),Environment performance,
,Fines and prosecutions,Environment performance,
,Significant environmental incidents,Environment performance,
,Performance (including habitats protected) of the priority biodiversity assets,Biodiversity performance,
,"Operational sites owned, leased, managed in, or adjacent to protected areas and areas of high biodiversity value",Biodiversity areas by asset,
,Total number of IUCN Red List species ranges that overlap with Rio Tinto operating assets,Biodiversity areas by asset,
,Operational water withdrawals (by source),Water performance,
,Operational water withdrawals (by quality),Water performance,
,Other managed water,Water performance,
,Total water discharges (by destination),Water performance,
,Total water discharges (by quality),Water performance,
,Water consumption,Water performance,
,Water recycled/reused,Water performance,
,Water change in storage,Water performance,
,Operational water withdrawals (by product group),Water performance by PG,
,Total water discharges (by product group),Water performance by PG,
,Water consumption (by product group),Water performance by PG,
,Water recycled/reused (by product group),Water performance by PG,
,"Water withdrawals (by product group, region and source)",Water withdrawals by PG region,
,"Water discharges (by product group, region and destination)",Water withdrawals by PG region,
,Water metrics ICMM format,Water metrics ICMM format,
,Water risk profile by asset,Water risk by asset,
,,,
,TAILINGS,,
,Performance metrics,,
,Managed and non-managed tailings storage facilities,Tailings facilities,
,,,
,GOVERNANCE,,
,Performance metrics,,
,myVoice case activity,Ethics & compliance,
,myVoice by case class (in percent of cases reported),Ethics & compliance,
,Ethics and compliance training,Ethics & compliance,
,Beneficial ownership,Transparency,
,Joint venture beneficial ownership,Transparency,
,Contract disclosure table,Transparency,
,Role of civil society organisations,Transparency,
,Industry Association Disclosure,Transparency,
,Modern Slavery Statement,Transparency,
,Voluntary Principles on Security and Human Rights,Transparency,
,Life cycle assessment of key products (% key products),Value chain,
,Implementation of product stewardship programmes (in percent of PS programmes),Value chain,
,Third-party assessments,Value chain,
,Sustainability Committee meetings per year,SusCo,
,Use of Sustainability Committee meeting time,SusCo,
,Sustainability Committee Terms of Reference,SusCo,
,,,
,"REPORTING, STANDARDS & CERTIFICATIONS",,
,,,
,Global Reporting Initiative (GRI) Index and Sustainable Development Goals (SDGs),GRI Index,
,Sustainability and responsible sourcing certifications/frameworks,Certifications & frameworks,
,ESG indices and ratings,Indices & ratings,
,Task Force on Climate-related Financial Disclosures (TCFD),TCFD,
,Climate Action 100+ (CA100+) Net Zero Company Benchmark,CA100+,
,Task Force on Nature-related Financial Disclosures (TNFD),TNFD,
,International Council on Mining & Metals (ICMM) Performance Expectations Summary,ICMM PE Summary,
,Sustainability Accounting Standards Board (SASB),SASB,
,United Nations Global Compact (UNGC) Communication of Progress (CoP),UNGC CoP,
,PAI Summary,PAI Summary,
