Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,Sustainability Fact Book 2023,,,,
,,,,,,
,,,,,,
,DISCLOSURE REFERENCES,,,,,
,Title,Links,,,,
,Rio Tinto Annual Report,riotinto.com/invest/reports/annual-report,,,,
,Rio Tinto Climate Change Report,riotinto.com/invest/reports/climatereport,,,,
,Air quality protection standard,riotinto.com/-/media/content/documents/sustainability/corporate-policies/rt-air-quality-protection-standard.pdf,,,,
,Aviation safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Aviation-safety-standard.pdf,,,,
,Beneficial ownership,riotinto.com/-/media/Content/Documents/Sustainability/Ethics-and-integrity/Transparency/RT-Beneficial-ownership.pdf,,,,
,Biodiversity protection and natural resource management standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Biodiversity-and-NRM-standard.pdf,,,,
,Business integrity standard,riotinto.com/-/media/content/documents/sustainability/corporate-policies/business-integrity-standard/rt-business-integrity-standard.pdf,,,,
,Chemically-reactive mineral waste control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Mineral-waste-control-standard.pdf,,,,
,Chemicals and hazardous substances exposure control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Chemicals-exposure-control-standard.pdf,,,,
,Communities and social performance standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Communities-social-performance-standard.pdf,,,,
,Competition standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Competition-standard.pdf,,,,
,Confined spaces standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Confined-spaces-standard.pdf,,,,
,Contract disclosure table,riotinto.com/-/media/Content/Documents/Sustainability/Ethics-and-integrity/Transparency/RT-Contract-disclosure-table.pdf ,,,,
,Contractor privacy statement,riotinto.com/-/media/Content/Documents/Suppliers/Policies/RT-Contractor-privacy-statement.pdf,,,,
,Cranes and lifting standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Cranes-and-lifting-standard.pdf,,,,
,Customer privacy statement,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Customer-privacy-statement.pdf,,,,
,Data privacy standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Data-privacy-standard.pdf,,,,
,Electrical safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Electrical-safety-standard.pdf,,,,
,Employment policy,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Employment-policy.pdf,,,,
,Explosives standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Explosives-standard.pdf,,,,
,Fitness for work in safety-critical jobs,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Safety-critical-fitness-standard.pdf,,,,
,Functional safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Functional-safety-standard.pdf,,,,
,Guidelines for participation in industry associations,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Participation-in-industry-associations.pdf,,,,
,Health management approach,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Health-management-approach.pdf,,,,
,"Health, safety, environment and communities policy",riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-HSEC-policy.pdf,,,,
,Human rights policy,riotinto.com/-/media/content/documents/sustainability/corporate-policies/rt-human-rights-policy.pdf,,,,
,Inclusion and diversity policy,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Inclusion-and-diversity-policy.pdf,,,,
,Industry association disclosure,riotinto.com/sustainability/ethics-integrity/industry-association-disclosure,,,,
,Isolation standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Isolation-standard.pdf,,,,
,Joint venture beneficial ownership,riotinto.com/-/media/Content/Documents/Sustainability/Ethics-and-integrity/Transparency/RT-Joint-venture-beneficial-ownership.pdf ,,,,
,Land management and rehabilitation standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Land-management-standard.pdf,,,,
,Management of slope geotechnical hazards standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Slope-geotechnical-hazards-standard.pdf,,,,
,Management of tailings & water storage standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Management-tailings-water-storage-standard.pdf,,,,
,Management system standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Management-system-standard.pdf,,,,
,Manual tasks and workplace ergonomics management standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Workplace-ergonomics-standard.pdf,,,,
,Modern Slavery Statement,riotinto.com/-/media/content/documents/invest/reports/modern-slavery/rt-slavery-human-trafficking-statement-2022.pdf,,,,
,myVoice procedure,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-myVoice-procedure.pdf,,,,
,Noise exposure control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Noise-exposure-control-standard.pdf,,,,
,Process safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Process-safety-standard.pdf,,,,
,Product stewardship strategy,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Product-stewardship-strategy.pdf,,,,
,Radiation exposure control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Radiation-exposure-control-standard.pdf,,,,
,Risk management policy,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Risk-policy.pdf,,,,
,Risk management standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Risk-management-standard.pdf,,,,
,Role of civil society organisations,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Role-of-civil-society-organisations.pdf ,,,,
,Supplier code of conduct,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Supplier-code-of-conduct.pdf,,,,
,Tailings policy,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Tailings-policy.pdf,,,,
,The Way We Work,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-The-way-we-work-EN.pdf,,,,
,Transparency statement,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Transparency-statement.pdf,,,,
,UN Global Compact - Communication on Progress,unglobalcompact.org/what-is-gc/participants/8013-Rio-Tinto-plc#cop,,,,
,Underground safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Underground-standard.pdf,,,,
,Vector-borne and infectious disease control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Disease-control-standard.pdf,,,,
,Vehicles and driving standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Vehicles-driving-standard.pdf,,,,
,Voluntary Principles on Security and Human Rights report,riotinto.com/-/media/content/documents/sustainability/human-rights/rt-vpshr-report-2022.pdf,,,,
,Water quality protection and water management standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Water-quality-protection-standard.pdf,,,,
,Why agreements matter,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-agreements-matter.pdf,,,,
,Why cultural heritage matters guide,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-cultural-heritage-matters.pdf,,,,
,Why gender matters guide,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-gender-matters.pdf,,,,
,Why human rights matter guide,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-human-rights-matter-EN.pdf,,,,
,Working at heights standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Working-at-heights-standard.pdf,,,,
