Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,,Sustainability Fact Book 2023,,,,
3,,DISCLOSURE REFERENCES,,,,,
4,,Title,Links,,,,
5,,Rio Tinto Annual Report,riotinto.com/invest/reports/annual-report,,,,
6,,Rio Tinto Climate Change Report,riotinto.com/invest/reports/climatereport,,,,
7,,Air quality protection standard,riotinto.com/-/media/content/documents/sustainability/corporate-policies/rt-air-quality-protection-standard.pdf,,,,
8,,Aviation safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Aviation-safety-standard.pdf,,,,
9,,Beneficial ownership,riotinto.com/-/media/Content/Documents/Sustainability/Ethics-and-integrity/Transparency/RT-Beneficial-ownership.pdf,,,,
10,,Biodiversity protection and natural resource management standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Biodiversity-and-NRM-standard.pdf,,,,
11,,Business integrity standard,riotinto.com/-/media/content/documents/sustainability/corporate-policies/business-integrity-standard/rt-business-integrity-standard.pdf,,,,
12,,Chemically-reactive mineral waste control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Mineral-waste-control-standard.pdf,,,,
13,,Chemicals and hazardous substances exposure control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Chemicals-exposure-control-standard.pdf,,,,
14,,Communities and social performance standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Communities-social-performance-standard.pdf,,,,
15,,Competition standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Competition-standard.pdf,,,,
16,,Confined spaces standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Confined-spaces-standard.pdf,,,,
17,,Contract disclosure table,riotinto.com/-/media/Content/Documents/Sustainability/Ethics-and-integrity/Transparency/RT-Contract-disclosure-table.pdf,,,,
18,,Contractor privacy statement,riotinto.com/-/media/Content/Documents/Suppliers/Policies/RT-Contractor-privacy-statement.pdf,,,,
19,,Cranes and lifting standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Cranes-and-lifting-standard.pdf,,,,
20,,Customer privacy statement,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Customer-privacy-statement.pdf,,,,
21,,Data privacy standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Data-privacy-standard.pdf,,,,
22,,Electrical safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Electrical-safety-standard.pdf,,,,
23,,Employment policy,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Employment-policy.pdf,,,,
24,,Explosives standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Explosives-standard.pdf,,,,
25,,Fitness for work in safety-critical jobs,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Safety-critical-fitness-standard.pdf,,,,
26,,Functional safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Functional-safety-standard.pdf,,,,
27,,Guidelines for participation in industry associations,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Participation-in-industry-associations.pdf,,,,
28,,Health management approach,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Health-management-approach.pdf,,,,
29,,"Health, safety, environment and communities policy",riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-HSEC-policy.pdf,,,,
30,,Human rights policy,riotinto.com/-/media/content/documents/sustainability/corporate-policies/rt-human-rights-policy.pdf,,,,
31,,Inclusion and diversity policy,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Inclusion-and-diversity-policy.pdf,,,,
32,,Industry association disclosure,riotinto.com/sustainability/ethics-integrity/industry-association-disclosure,,,,
33,,Isolation standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Isolation-standard.pdf,,,,
34,,Joint venture beneficial ownership,riotinto.com/-/media/Content/Documents/Sustainability/Ethics-and-integrity/Transparency/RT-Joint-venture-beneficial-ownership.pdf,,,,
35,,Land management and rehabilitation standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Land-management-standard.pdf,,,,
36,,Management of slope geotechnical hazards standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Slope-geotechnical-hazards-standard.pdf,,,,
37,,Management of tailings & water storage standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Management-tailings-water-storage-standard.pdf,,,,
38,,Management system standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Management-system-standard.pdf,,,,
39,,Manual tasks and workplace ergonomics management standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Workplace-ergonomics-standard.pdf,,,,
40,,Modern Slavery Statement,riotinto.com/-/media/content/documents/invest/reports/modern-slavery/rt-slavery-human-trafficking-statement-2022.pdf,,,,
