Unnamed: 0,Unnamed: 1,Unnamed: 2
,,Sustainability Fact Book 2023
,,
,,
,ENVIRONMENT,
,Performance metrics,Spreadsheet tab
,SOx emissions ('000 tonnes),Environment performance
,NOx emissions ('000 tonnes),Environment performance
,Fluoride emissions ('000 tonnes),Environment performance
,PM10 emissions ('000 tonnes),Environment performance
,PM2.5 emissions ('000 tonnes),Environment performance
,Land footprint data (square kilometres),Environment performance
,Types of rehabilitation (square kilometres),Environment performance
,Mineral waste by disposal location (million tonnes),Environment performance
,Mineral waste by type (million tonnes),Environment performance
,Non-mineral waste by disposal location ('000 tonnes),Environment performance
,Non-mineral waste by  type ('000 tonnes),Environment performance
,Reuse/recycle waste ('000 tonnes),Environment performance
,Fines and prosecutions,Environment performance
,Significant environmental incidents,Environment performance
,Performance (including habitats protected) of the priority biodiversity assets,Biodiversity performance
,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value",Biodiversity areas by asset
,Total number of IUCN Red List species ranges that overlap with Rio Tinto operating assets,Biodiversity areas by asset
,Water withdrawals (by source),Water performance
,Water withdrawals (by quality),Water performance
,Water discharges (by source),Water performance
,Water discharges (by quality),Water performance
,Water consumption,Water performance
,Water recycled/reused,Water performance
,Water diversions,Water performance
,Water change in storage,Water performance
,Water withdrawals (by product group),Water performance by PG
,Water discharges (by product group),Water performance by PG
,Water consumption (by product group),Water performance by PG
,Water recycled/reused (by product group),Water performance by PG
,"Water withdrawals 2023 - by product group, region and source",Water withdrawals by PG region
,"Water discharges 2023 - by product group, region and destination",Water discharges by PG region
,Water metrics ICMM format,Water metrics ICMM Format
,Water risk profile by asset,Water risk by asset
