Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,Sustainability Fact Book 2023,
,,,
,,,
,GOVERNANCE,,
,Performance metric,Spreadsheet tab,
,myVoice case activity,Ethics & compliance,
,myVoice by case class (in % of cases reported),Ethics & compliance,
,Ethics & compliance training,Ethics & compliance,
,Beneficial ownership,Transparency,
,Joint venture beneficial ownership,Transparency,
,Contract disclosure table,Transparency,
,Role of civil society organisations,Transparency,
,Industry Association Disclosure,Transparency,
,Modern Slavery Statement,Transparency,
,Voluntary Principles on Security and Human Rights,Transparency,
,Life cycle assessment of key products (% key products),Value chain,
,Implementation of product stewardship programs (in % of PS programs),Value chain,
,Third-party assessments,Value chain,
,Sustainability Committee meetings per year,SusCo,
,Use of Sustainability Committee meeting time,SusCo,
,Sustainability Committee terms of reference,SusCo,
