Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
54,,"PRINCIPLE 8: Facilitate and support the knowledge-base and systems for responsible design, use, re-use, recycling and disposal of products containing metals and minerals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,"8.1 In project design, operation and de-commissioning, implement cost-effective measures for the recovery, re-use or recycling of energy, natural resources and materials.",l,l,l,l,l,l,l,l,l,Ã¢ÂÂ,Ã¢ÂÂ,Ã¢ÂÂ,l,l,l,Ã¢ÂÂ,l,l,l,l,l,l,l,l,l,l,l,Ã¢ÂÂ,l,l,"Some assets identified improvement opportunities including:\nÃ¢ÂÂ¢ developing a cost-benefit analysis, mass/energy balance or lifecycle assessment to evaluate production efforts\nÃ¢ÂÂ¢ integrating sustainable development principles into the Social and Environmental Management Plan and project design.\n\nOT has been assessed as ""partially meets"" in the validation report while progressing actions to improve energy efficiency and identify renewable energy options.\n\nThe IOC validation aligned with the self-assessment outcome of ""partially meets"" while actions are progressing to improve the design criteria, sourcing program and partnerships to recover, re-use or recycle resources and materials."
56,,8.2 Assess the hazards of the products of mining according to UN Globally Harmonised System of Hazard Classification and Labelling or equivalent relevant regulatory systems and communicate through safety data sheets and labelling as appropriate.,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
57,,"PRINCIPLE 9: Pursue continual improvement in social performance and contribute to the social, economic and institutional development of host countries and communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,"9.1 Implement inclusive approaches with local communities to identify their development priorities and support activities that contribute to their lasting social and economic wellbeing, in partnership with government, civil society and development agencies, as appropriate.",l,l,l,l,l,l,l,l,l,l,l,l,l,Ã¢ÂÂ,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,Coudekerque identified an improvement opportunity and is progressing with the social risk assessment and communities development plan.
59,,"9.2 Enable access by local enterprises to procurement and contracting opportunities across the project life cycle, both directly and by encouraging larger contractors and suppliers, and also by supporting initiatives to enhance economic opportunities for local communities.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
60,,"9.3 Conduct stakeholder engagement based upon an analysis of the local context, and provide local stakeholders with access to effective mechanisms for seeking resolution of grievances related to the company and its activities.",l,l,l,l,l,l,l,l,l,l,l,l,l,Ã¢ÂÂ,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.\n\nCoudekerque identified an improvement opportunity and is progressing with their social risk assessment, updates to their community grievance process and Community Social and Performance Management Plan."
61,,"9.4 Collaborate with government, where appropriate, to support improvements in environmental and social practices of local Artisanal and Small-scale Mining (ASM).",V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,This PE is applicable at the asset level only and therefore is not applicable at the corporate level.\n\nRio Tinto has corporate policy and procedures in place that regulate collaboration and support improvements in environmental and social practices of local Artisanal and Small-scale Mining (ASM). There are no relevant activities in the vicinity of any of the operating / refining assets.
62,,PRINCIPLE 10: Proactively engage key stakeholders on sustainable development challenges and opportunities in an open and transparent manner. Effectively report and independently verify progress and performance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,10.1 Identify and engage with key corporate-level external stakeholders on sustainable development issues in an open and transparent manner.,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating / refining assets.
64,,"10.2 Publicly support the implementation of the Extractive Industries Transparency Initiative (EITI) and compile information on all material payments, at the appropriate levels of government, by country and by project.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
65,,"10.3 Report annually on economic, social and environmental performance at the corporate level using the GRI Sustainability Reporting Standards.",V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating / refining assets.
66,,"10.4 Each year, conduct independent assurance of sustainability performance following the ICMM guidance on assuring and verifying membership requirements.",V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating / refining assets.
68,,"For more information on the ICMM Mining Principles: PEs, please visit icmm.com/en-gb/about-us/member-requirements/mining-principles/mining-principles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,ICMM Mining Principles,,,,,,,,,Rio Tinto policies and standards that apply,,,,,,,,,,,,,,,,,,,,,,
71,,PRINCIPLE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Apply ethical business practices and sound systems of corporate governance and transparency to support sustainable development.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,Inclusion and diversity policy,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,Employment Policy,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,Competition Standard,,,,,,,,,,,,,,,,,,,,,,
