Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
152,,,,,,,,,,,Working at Heights Standard,,,,,,,,,,,,,,,,,,,,,,
153,,PRINCIPLE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,"Pursue continual improvement in environmental performance issues, such as water stewardship, energy use and climate change.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,ICMM Climate Change Commitment and Position Statement,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,Air Quality Protection Standard,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,Water Quality Protection and Water Management Standard,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,Climate Change Report,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,Chemically-reactive Mineral Waste Control Standard,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,Chemicals and Hazardous Substances Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
165,,PRINCIPLE 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,Contribute to the conservation of biodiversity and integrated approaches to land-use planning.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,Closure Approach,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,Land Management and Rehabilitation Standard,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,Biodiversity Protection and Natural Resource Management Standard,,,,,,,,,,,,,,,,,,,,,,
174,,PRINCIPLE 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,"Facilitate and support the knowledge-base and systems for responsible design, use, re-use, recycling and disposal of products containing metals and minerals.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,Hazardous Materials and Non-mineral Waste Control Standard,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,Chemically-reactive Mineral Waste Control Standard,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,Chemicals and Hazardous Substances Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
182,,PRINCIPLE 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,"Pursue continual improvement in social performance and contribute to the social, economic and institutional development of host countries and communities.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,Australia Reconciliation Action Plan 2016-2019,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,Australia Reconciliation Action Plan Progress Report 2018,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,Why agreements matter,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,Taxes Paid Report,,,,,,,,,,,,,,,,,,,,,,
192,,PRINCIPLE 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,Proactively engage key stakeholders on sustainable development challenges and opportunities in an open and transparent manner. Effectively report and independently verify progress and performance.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,Industry Associations and Climate Change,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,Industry Association Disclosure,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,Taxes Paid Report,,,,,,,,,,,,,,,,,,,,,,
