Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,Sustainability Fact Book 2023,,
,,,,,,,,
,,,,,,,,
,INDICES & RATINGS,,,,,,,
,Sustainability indices,Maximum rating,2023,2022,2021,2020,2019,
,Dow Jones Sustainability Index (DJSI),100,66,67,73,68,66,
,FTSE4 Good,5,4,4,4,4.3,4.3,
,,,,,,,,
,Rating providers,Maximum rating,2023,2022,2021,2020,2019,
,CDP,A,B,C,B,B,C,
,EcoVadis,100,0,57,55,50,53,
,ISS OEKOM,A+,C+,C+,C+,C+,C,
,ISS Corporate Solutions,,,,,,,
,Environment,1,2,2,1,1,1,
,Social,,1,1,1,1,1,
,Governance,,6,6,6,2,3,
,MSCI,AAA,A,A,A,A,A,
,RMI (Responsible Mining Index),100,,,-,-,-,
,Economic development,"100, 6 (2020)",0,25,0,1.43,0,
,Business conduct,,0,57.6,0,3.08,0,
,Life cycle management,,0,30.6,0,2.01,0,
,Community wellbeing,,0,27.1,0,1.49,0,
,Working conditions,,0,29.9,0,2.26,0,
,Environmental responsibility,,0,39,0,2.17,0,
,Sustainalytics,Risk rating - Low,High,High,High,High,Medium,
,Vigeo Eiris,100,0,0,53,53,54,
,,,,,,,,
,Other initiatives,Maximum rating,2023,2022,2021,2020,2019,
,Corporate Human Rights Benchmark,"100, 26 (2020)",43.9,0,0,23.5,76,
,World Benchmarking Alliance - Nature Benchmark,100,0,45.1,0,0,0,
,Transition Pathway Initiative,Level 4,Level 4,Level 4,Level 4,Level 4,Level 4,
,Workforce Disclosure Initiative (WDI),Responded,Responded,Responded,Responded,Responded,Responded,
,* 2023 rating pending at time of publication.,,,,,,,
,"# From 2018, ranking and metrics were changed from numerical to risk rating.",,,,,,,
,,,,,,,,
,Number restated from that originally published due to adjustments after the previous publishing date.,,,,,,,
