Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,Sustainability Fact Book 2023,,
3,,INDICES & RATINGS,,,,,,,
4,,Sustainability indices,Maximum rating,2023,2022,2021,2020,2019,
5,,Dow Jones Sustainability Index (DJSI),100,66,67,73,68,66,
6,,FTSE4 Good,5,4,4,4,4.3,4.3,
8,,Rating providers,Maximum rating,2023,2022,2021,2020,2019,
9,,CDP,A,B,C,B,B,C,
10,,EcoVadis,100,0,57,55,50,53,
11,,ISS OEKOM,A+,C+,C+,C+,C+,C,
12,,ISS Corporate Solutions,,,,,,,
13,,Environment,1,2,2,1,1,1,
14,,Social,,1,1,1,1,1,
15,,Governance,,6,6,6,2,3,
16,,MSCI,AAA,A,A,A,A,A,
17,,RMI (Responsible Mining Index),100,,,-,-,-,
18,,Economic development,"100, 6 (2020)",0,25,0,1.43,0,
19,,Business conduct,,0,57.6,0,3.08,0,
20,,Life cycle management,,0,30.6,0,2.01,0,
21,,Community wellbeing,,0,27.1,0,1.49,0,
22,,Working conditions,,0,29.9,0,2.26,0,
23,,Environmental responsibility,,0,39,0,2.17,0,
24,,Sustainalytics,Risk rating - Low,High,High,High,High,Medium,
25,,Vigeo Eiris,100,0,0,53,53,54,
27,,Other initiatives,Maximum rating,2023,2022,2021,2020,2019,
28,,Corporate Human Rights Benchmark,"100, 26 (2020)",43.9,0,0,23.5,76,
29,,World Benchmarking Alliance - Nature Benchmark,100,0,45.1,0,0,0,
30,,Transition Pathway Initiative,Level 4,Level 4,Level 4,Level 4,Level 4,Level 4,
31,,Workforce Disclosure Initiative (WDI),Responded,Responded,Responded,Responded,Responded,Responded,
32,,* 2023 rating pending at time of publication.,,,,,,,
33,,"# From 2018, ranking and metrics were changed from numerical to risk rating.",,,,,,,
35,,Number restated from that originally published due to adjustments after the previous publishing date.,,,,,,,
