Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,Sustainability Fact Book 2023,
,,,,,,
,,,,,,
,Principal Adverse Impacts (PAI) summary,,,,,
,Mandatory indicators,,,,,
,Topic,Description,Metric,Reporting units ,Performance,Reference
,Greenhouse gas (GHG) emissions,GHG emissions,Scope 1 GHG emissions,MtCO2e,23.3,Sustainability Fact Book 2023
,,,Scope 2 GHG emissions (market based),MtCO2e,9.3,Sustainability Fact Book 2023
,,,Scope 3 GHG emissions,MtCO2e,578.1,Sustainability Fact Book 2023
,,,Total GHG emissions,MtCO2e,610.7,Sustainability Fact Book 2023
,,Exposure to companies active in the fossil fuel sector,Active in fossil fuel sector? (y/n),y/n,N,
,,Share of non-renewable energy consumption and production,% of non-renewable energy consumption & production (of total energy consumption),Percent ,42% of the total energy consumption comes from renewable sources while 72% of electricity we use is from renewable sources,Sustainability Fact Book 2023
,,Energy consumption intensity per high impact climate sector,Energy consumption in GWh per million EURO of revenue,Intensity ,,We do not capture this data
,Biodiversity,Activites negatively affecting biodiversity sensitive areas,Site/operations located in or near to biodiversity-sensitive areas where activities negatively affect those areas? (y/n),y/n,Y,Sustainability Fact Book 2023
,Water,Emissions to water,Tonnes of emissions to water,Metric tonnes,,We do not capture this data
,Waste,Hazardous waste and non hazardous mineral waste,Tonnes of hazardous mineral waste,Million tonnes,9,Sustainability Fact Book 2023
,,,Tonnes of non-hazardous mineral waste,Million tonnes,968,SustainabilityFact Book 2023
,Social and employee matters,Violations of United Nations Global Compact (UNGC) principles and Organisation for Economic Cooperation and Development (OECD) Guidelines for Multinational Enterprises,Violations of UNGC principles or OECD Guidelines for Multinational Enterprises (y/n),y/n,N,"Annual Report 2023 
Sustainability Fact Book 2023"
,,Lack of processes and compliance mechanisms to monitor compliance with UN Global Compact principles and OECD Guidelines for Multinational Enterprises,Policies to monitor compliance with UNGC principles or OECD Guidelines for Multinational Enterprises (y/n),y/n,Y,Sustainability Fact Book 2023
,,Undadjusted gender pay gap,Gender pay gap,Ratio,<1% in favour of women,Sustainability Fact Book 2023
,,Board gender diversity,% of female Board members,Percent ,0.308,"Annual Report 2023
Sustainability Fact Book 2023"
,,"Exposure to controversial weapons (anti-personnel mines, cluster munitions, chemical weapons and biological weapons)",Involved in controversial weapons? (y/n),,,
