Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
0,,,Sustainability Fact Book 2023
3,,PEOPLE,
4,,Performance metric,Spreadsheet tab
5,,Our culture,Workforce data & diversity
6,,Workforce by region,Workforce data & diversity
7,,Workforce by category and diversity,Workforce data & diversity
8,,Employee hiring and turnover rates,Workforce data & diversity
9,,Indigenous employment,Workforce data & diversity
10,,Employee engagement Indicators,Workforce data & diversity
11,,Rio Tinto workforce,Workforce data & diversity
12,,Regional distribution of workforce (number),Workforce data & diversity
13,,Product group distribution of workforce (number),Workforce data & diversity
14,,Employee pay equity,"Remuneration, leave & training"
15,,Employee share plan,"Remuneration, leave & training"
16,,Employee parental leave,"Remuneration, leave & training"
17,,Employee training - average hours,"Remuneration, leave & training"
18,,Employee and category 1 contractor training,Human rights
19,,Third-party training,Human rights
20,,Human rights risk assessments,Human rights
