Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,Sustainability Fact Book 2023
,,,,
,,,,
,SUSTAINABILITY ACCOUNTING STANDARDS BOARD,,,
,Sustainability Accounting Standards Board (SASB) - Industry Standard: Metals and Mining,,,
,Topic,Code,Accounting metric,Rio Tinto  reference
,Greenhouse gas emissions,EM-MM-110a.1.,Gross global Scope 1 emissions,"•  Annual Report 2023 - Climate change (TCFD) (pages 46-61)
•  Sustainability - Climate change: riotinto.com/sustainability/climate-change
•  Sustainability Fact Book 2023 (this document) - Climate Change
•  Climate Change Report 2023
•  2023 CDP disclosures

For our reporting purposes, the gases included are the carbon dioxide equivalent emissions of carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) and sulphur hexafluoride (SF6)."
,,EM-MM-110a.2.,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets","•  Annual Report 2023 - Climate change (TCFD) (pages 46-61)
•  Sustainability - Climate change: riotinto.com/sustainability/climate-change
•  Sustainability Fact Book 2023 (this document) - Climate Change
•  Climate change Report 2023
•  2023 CDP disclosures"
,Air quality,EM-MM-120a.1.,"Air emissions of the following pollutants: (1) CO, (2) NOx (excluding N2O), (3) SOx, (4) particulate matter (PM10), (5) mercury (Hg), (6) lead (Pb), and (7) volatile organic compounds (VOCs)","•  Sustainability - Air: riotinto.com/sustainability/environment/air
•  Sustainability Fact Book 2023 (this document) - Environment

(1) (2), (3), (4), (5), (6) and (7) in Australia where required, Rio Tinto reports air emissions using site-specific data via publicly available submissions to the Australian National Pollutant Inventory (NPI). Submissions to the NPI cover the air pollutants emissions listed under SASB. This data is available at npi.gov.au. 

Outside of Australia, Rio Tinto reports air emissions according to the relevant regulatory requirements, however this information is not publicly available."
,Energy management,EM-MM-130a.1.,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable","•  Annual Report 2023 - Climate change (pages 46-61)
•  Sustainability - Climate change: riotinto.com/sustainability/climate-change
•  Sustainability Fact Book 2023 (this document) - Climate Change"
,Water management,EM-MM-140a.1.,"(1) Total fresh water withdrawn, (2) total fresh water consumed, (3) percentage in regions
with High or Extremely High Baseline Water
Stress","(1) and (2) 
•  Annual Report 2023 - Water (pages 67-68)
•  Sustainability - Water: riotinto.com/sustainability/environment/water
• Sustainability Fact Book 2023 (this document) - Environment 

(3) Sustainability Fact Book 2023 (this document) - Water risk by asset"
,,EM-MM-140a.2.,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations","We do not currently report the number of incidents of non-compliance associated with water quality permits, standards, and regulations."
,Waste and hazardous materials management,EM-MM-150a.1.,"Total weight of tailings waste, percentage recycled","•  Sustainability - Tailings: riotinto.com/sustainability/environment/tailings
•  Sustainability Fact Book 2023 (this document) - Environment performance and tailings data
•  Tailings Policy - riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Tailings-policy.pdf"
,,EM-MM-150a.2.,"Total weight of mineral processing waste, percentage recycled","•  Sustainability - Tailings: riotinto.com/sustainability/environment/tailings
•  Sustainability Fact Book 2023 (this document) - Environment performance and tailings data"
,,EM-MM-150a.3.,"Number of tailings impoundments, broken down by MSHA hazard potential","•  Sustainability - Tailings: riotinto.com/sustainability/environment/tailings
•  Sustainability Fact Book 2023 (this document) - Tailings facilities
•  Tailings Policy - riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Tailings-policy.pdf"
,Biodiversity impacts,EM-MM-160a.1.,Description of environmental management policies and practices for active sites,"•  Sustainability - Biodiversity: riotinto.com/sustainability/environment/biodiversity
•  Rio Tinto Biodiversity Protection and Natural Resource Management Standard: riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Biodiversity-and-NRM-standard.pdf"
,,EM-MM-160a.2.,"Mine sites where acid rock drainage is: (1) predicted to occur, (2) actively mitigated, and (3) under treatment or remediation","In 2023, the percentage of mineral waste that is classified as acid and metalliferous drainage (AMD) was 23%"
,,EM-MM-160a.3.,P(1) proved and (2) probable reserves in or near sites with protected conservation status or endangered species habitat,"•   Annual Report 2023 - Biodiversity (page 64)
•   We report the operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value and the total number of International Union for Conservation of Nature (IUCN) Red List species with habitats in areas affected by the operational sites owned, leased or managed by Rio Tinto. These lists are available in the Sustainability Fact Book 2023 (this document) - Biodiversity 304-1 and Biodiversity 304-4."
,"Security, human rights and rights of Indigenous Peoples",EM-MM-210a.1.,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,0% of (1) and (2) probable reserves are on or near areas of conflict.
,,EM-MM-210a.2.,Percentage of (1) proved and (2) probable reserves in or near Indigenous land,Data not available in 2023. Read more about our commitments and approach in relation to Indigenous communities at riotinto.com.
,,EM-MM-210a.3.,Discussion of engagement processes and due diligence practices,"•  Annual Report 2023 - Social performance (pages 70-73)
•  Sustainability - Human rights: riotinto.com/sustainability/human-rights
•  Sustainability - Communities: riotinto.com/sustainability/communities
•  Rio Tinto Supplier Code of Conduct: riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Supplier-code-of-conduct.pdf
•  Communities and Social Performance Standard - riotinto.com/-/media/content/documents/sustainability/corporate-policies/rt-communities-social-performance-standard.pdf
•  Human Rights Policy - riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Human-rights-policy.pdf
•  Voluntary Principles on Security and Human Rights - riotinto.com/-/media/content/documents/sustainability/human-rights/rt-vpshr-report-2022.pdf
•  Modern Slavery Statement - riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Slavery-human-trafficking-statement-2022.pdf"
,Community relations,EM-MM-210b.1.,Discussion of process to manage risks and opportunities associated with community rights and interests,"•  Annual Report 2023 - Social Performance (pages 70-73)
•  Sustainability - Communities: riotinto.com/sustainability/communities
•  Sustainability Fact Book 2023 (this document) - Communities"
,,EM-MM-210b.2.,Number and duration of non-technical delays,Data not available in 2023. Read more about our commitments and approach in relation to Communities at riotinto.com/sustainability/communities
,Labour relations,EM-MM-310a.1.,"Percentage of active workforce covered under
collective bargaining agreements, broken
down by U.S. and foreign employees","We recognise the right of all employees to choose to belong to a union and seek to bargain collectively. Around 40 sites or countries are covered by collective labour agreements (CLAs). We have developed a strategy of multi-years coverage CLAs. In 2023, due to several multi year CLAs signed in 2022 (or previously), we only signed 5 CLAs. "
,,EM-MM-310a.2.,Number and duration of strikes and lockouts,No strike or lockout to report in 2023.
,Workforce health and safety,EM-MM-320a.1.,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency
response training","(1) and (2) Annual Report 2023 - Health, safety and wellbeing (pages 76-77) and Sustainability Fact Book 2023 (this document) - Health & safety 
(3) Potential fatal incident rates are available in Sustainability Fact Book 2023 (this document) - Health & Safety"
,Business ethics and transparency,EM-MM-510a.1.,Description of the management system for prevention of corruption and bribery throughout the value chain,"•  Sustainability - Ethics and compliance: riotinto.com/en/sustainability/ethics-compliance/transparency
•  Sustainability - Value chain (Know your supplier and Know your customer): riotinto.com/en/sustainability/ethics-compliance/value-chain
•  Sustainability Fact Book 2023 (this document) - Governance
•  Rio Tinto Supplier Code of Conduct: riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Supplier-code-of-conduct.pdf
•  The Way We Work - riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-The-way-we-work-EN.pdf
•  Business Integrity Standard - riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Business-integrity-standard-EN.pdf
•  myVoice Procedure - riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-myVoice-procedure.pdf"
,,EM-MM-510a.2.,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index,Rio Tinto has no production in the countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index.
,Activity metrics,EM-MM-000.A,Production of (1) metal ores and (2) finished metal products,Annual Report 2023 - Metals and Mineral Production (pages 302-303)
,,EM-MM-000.B,"Total number of employees, percentage contractors",Sustainability Fact Book 2023 (this document) - People
