Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,,,,,Sustainability Fact Book 2023,,,,,,,
3,,SAFETY,,,,,,,,,,,
4,,"Although there were no fatalities on our managed sites in 2023, in January 2024, tragically four team members from our Diavik mine in Canada lost their lives when a charter flight crashed on its way to the mine. In 2023, we also continued to see fatalities more broadly across our industry, including six at our non-managed operations. We firmly believe all fatalities are preventable. Our focus remains on identifying, managing and, where possible, eliminating risks to ensure everyone, including partners and colleagues at our non-managed operations, goes home safely every day. Our all-injury frequency rate (AIFR) was 0.37 in 2023, an improvement from 2022 (2022: 0.40). We continue to see a disparity in safety performance for employees compared to contractors, so our focus remains on improving contractor safety by further integrating contractors into our safety culture.\n\nCritical risk management (CRM) remains our primary fatality elimination tool, helping to ensure critical controls are in place and working where there is a fatal risk. In 2023, we initiated a project to help our teams reconnect with why we have CRM, and to enhance the quality of verifications which check that the right critical controls are in place for each task. In 2023, we introduced a program to help our teams learn critical lessons related to vehicles and driving, including potential gaps in vehicles and driving critical controls, andÃÂ developing effective strategies to addressÃÂ these. We also focused on deepening our understanding of mass transport risks, facilitating self-assessments at our sites to identify compliance with our Group procedure. We will undertake a similar exercise to better understand our aviation-related risk profile in 2024.",,,,,,,,,,,
5,,Safety - numbers,,,,,,,,,,,
6,,Fatalities,2023.0,2022.0,2021.0,2020,2019.0,,,,,,
7,,Number of fatal incidents,0.0,0.0,0.0,0,0.0,,,,,,
8,,Fatalities at managed operations from safety incidents,0.0,0.0,0.0,0,0.0,,,,,,
9,,Fatalities at managed operations from health incidents,0.0,0.0,0.0,0,0.0,,,,,,
10,,Fatalities at managed operations from security incidents,0.0,0.0,0.0,0,0.0,,,,,,
13,,Safety maturity model (SMM),2023.0,2022.0,2021.0,2020,2019.0,,,,,,
14,,SMM score,5.2,4.7,5.7,5.4,4.5,,,,,,
15,,"Introduced in 2019, the SMM provides a roadmap to improving safety and enabling comparable evaluation and learning across the organisation. The model has four categories:\t\n - leadership and engagement \n - risk management (including CRM) \n - work planning and execution and \n - learning and improvement. \n\nThe model is assessed across levels of maturity with a scale of 1-9: Basic (1-3), Evolving (4-6) and Advanced (7-9). \n\nIn 2022, a series of enhancements were made to the SMM and the assessment approach along with reset of the Group score based upon these enhancements. In 2023, 49 operations were assessed against the model with over 7,000 people engaged. While the enhancements in 2022 significantly raised the bar, the overall Group SMM score increased to 5.2, signifying an 11% increase compared to 2022.\n\nFigures in the table represent the Group average SMM score at the end of each year. Each year, assets are added or removed from the SMM program based on Project and Closure cycles. New assets to the program are baselined in the first quarter of each year and added to the Group average at the end of the year.",,,,,,,,,,,
18,,Potential fatal incident (PFI),2023.0,2022.0,2021.0,2020,2019.0,,,,,,
19,,Aluminium,28.0,29.0,29.0,13,32.0,,,,,,
20,,Copper,22.0,18.0,18.0,7,11.0,,,,,,
21,,Minerals,27.0,19.0,16.0,29,21.0,,,,,,
22,,Iron Ore,13.0,25.0,15.0,12,18.0,,,,,,
23,,Development & Technology,11.0,11.0,10.0,9,7.0,,,,,,
24,,Commercial,0.0,0.0,0.0,0,0.0,,,,,,
25,,Corporate Functions,0.0,1.0,1.0,0,0.0,,,,,,
26,,Group,101.0,103.0,89.0,70,89.0,,,,,,
29,,All-injury frequency rate (AIFR),2023.0,2022.0,2021.0,2020,2019.0,,,,,,
30,,"All-injury frequency rate (per 200,000 hours worked)",0.37,0.4,0.4,0.37,0.42,,,,,,
31,,Target,0.4,0.38,0.33,0.37,0.38,,,,,,
34,,All-injury frequency rate (AIFR) by region,2023.0,2022.0,2021.0,2020,2019.0,,,,,,
35,,Africa,0.07,0.2,0.07,0.12,0.33,,,,,,
36,,Asia,0.19,0.17,0.15,0.15,0.15,,,,,,
37,,Americas,0.42,0.44,0.51,0.49,0.48,,,,,,
38,,Australia/New Zealand,0.52,0.53,0.48,0.43,0.53,,,,,,
39,,Europe,0.15,0.32,0.23,0.16,0.41,,,,,,
42,,All-injury frequency rate (AIFR) by product group,2023.0,2022.0,2021.0,2020,2019.0,,,,,,
43,,Aluminium,0.33,0.35,0.33,0.34,0.44,,,,,,
44,,Copper,0.35,0.22,0.21,0.24,0.21,,,,,,
45,,Minerals,0.24,0.38,0.39,0.43,0.48,,,,,,
46,,Iron Ore,0.61,0.68,0.67,0.53,0.66,,,,,,
47,,Development & Technology,0.27,0.28,0.34,0.31,0.3,,,,,,
48,,Commercial,0.17,0.14,0.07,0.11,0.04,,,,,,
49,,Corporate Functions,0.02,0.03,0.1,0,0.08,,,,,,
52,,Lost-time injuries,2023.0,2022.0,2021.0,2020,2019.0,,,,,,
53,,"Lost-time injury frequency rate (per 200,000 hours worked)",0.23,0.25,0.25,0.22,0.27,,,,,,
54,,Number of lost-time injuries,236.0,225.0,216.0,187,227.0,,,,,,
57,,Permanent damage injury (PDI) by product group,2023.0,2022.0,2021.0,2020,2019.0,,,,,,
58,,Aluminium,0.0,0.0,0.0,0,0.0,,,,,,
59,,Copper,2.0,0.0,0.0,0,0.0,,,,,,
60,,Minerals,1.0,0.0,0.0,2,1.0,,,,,,
61,,Iron Ore,0.0,0.0,0.0,0,0.0,,,,,,
62,,Development & Technology,0.0,0.0,0.0,0,0.0,,,,,,
63,,Commercial,0.0,0.0,0.0,0,0.0,,,,,,
64,,Corporate Functions,0.0,0.0,0.0,0,0.0,,,,,,
67,,Injury severity rate by product group,2023.0,2022.0,2021.0,2020,2019.0,,,,,,
68,,Aluminium,12.66,10.26,8.83,14.76,18.92,,,,,,
69,,Copper,4.76,2.74,2.69,5.89,6.21,,,,,,
70,,Minerals,5.43,8.26,12.14,9.16,8.44,,,,,,
71,,Iron Ore,17.59,28.68,26.78,20.13,22.43,,,,,,
72,,Development & Technology,1.98,1.76,2.36,4.11,7.5,,,,,,
73,,Commercial,1.03,2.76,0.29,0,0.0,,,,,,
74,,Corporate Functions,0.0,0.0,0.34,0.78,5.9,,,,,,
75,,Group,8.98,12.54,11.95,10.98,12.79,,,,,,
76,,"Rate at which normal rostered workdays or shifts are lost as a consequence of injuries per 200,000 hours worked.",,,,,,,,,,,
79,,Process safety - Tier 1 significant incidents,2023.0,2022.0,2021.0,2020,2019.0,,,,,,
80,,Aluminium,5.0,5.0,2.0,4,2.0,,,,,,
81,,Copper,1.0,1.0,0.0,1,0.0,,,,,,
82,,Minerals,5.0,0.0,0.0,2,4.0,,,,,,
83,,Iron Ore,0.0,0.0,0.0,0,0.0,,,,,,
84,,Development & Technology,0.0,0.0,0.0,0,0.0,,,,,,
85,,Commercial,0.0,0.0,0.0,0,0.0,,,,,,
86,,Corporate Functions,0.0,0.0,0.0,0,0.0,,,,,,
87,,Group,11.0,6.0,2.0,7,6.0,,,,,,
90,,Critical risk management (CRM),2023.0,2022.0,2021.0,2020,2019.0,,,,,,
91,,Verifications completed,1530000.0,1370000.0,1310000.0,1310000,1420000.0,,,,,,
92,,Target,,,,1200000,1000000.0,,,,,,
93,,Note: The above 2020 CRM verifications are exclusive of COVID-19 management verifications.,,,,,,,,,,,
96,,Fines and prosecutions (US$Ã¢ÂÂ000),2023.0,2022.0,2021.0,2020,2019.0,,,,,,
97,,Fines and prosecutions Ã¢ÂÂ safety,330.0,339.0,646.2,25.4,40.7,,,,,,
98,,"In 2023, we paid safety fines resulting from non-compliances identified during MSHA inspections at our Boron and Owens Lake operations, California, US, and Kennecott Copper and Bingham Canyon mines, Utah, US.",,,,,,,,,,,
101,,Types of fatal safety incidents (number),2023.0,2022.0,2021.0,2020,2019.0,,,,,,
102,,Confined spaces,0.0,0.0,0.0,0,0.0,,,,,,
103,,Contact with electricity,0.0,0.0,0.0,0,0.0,,,,,,
104,,Contact with molten material,0.0,0.0,0.0,0,0.0,,,,,,
105,,Drowning,0.0,0.0,0.0,0,0.0,,,,,,
106,,Entanglement and crushing,0.0,0.0,0.0,0,0.0,,,,,,
107,,Exposure to hazardous substances,0.0,0.0,0.0,0,0.0,,,,,,
108,,Fall from height,0.0,0.0,0.0,0,0.0,,,,,,
