Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,,,,Sustainability Fact Book 2023,,
3,,SUSTAINABILITY COMMITTEE,,,,,
4,,Sustainability Committee (SusCo) meetings,2023,2022.0,2021,2020,2019
5,,Meetings per year (scheduled and ad hoc),5,6.0,7,6,5
8,,Use of SusCo meeting time,2023,2022.0,2021*,2020*,2019*
9,,Health and safety,0.31,0.19,0.21,0.24,0.24
10,,"Environment (including tailings management, water and biodiversity)",0.2,0.21,0.21,0.11,0.27
11,,"Risk management & assurance, and global sustainability trends",0.17,0.3,0.19,0.13,0.09
12,,"Governance, executive incentive metrics and disclosure",0.11,0.12,0.18,0.22,0.26
13,,Communities and social performance (including cultural heritage and modern slavery),0.16,0.14,0.17,0.23,0.06
14,,Other (including closure & remediation and security),0.05,0.04,0.04,0.07,0.08
15,,"* data presented in prior years has been re-calculated to reflect categories of activity adopted for 2022, except that prior to 2022 ""Environment"" included climate change. From 2022, the responsibility for climate change rests with the Board.",,,,,
17,,,Link,,,,
18,,Terms of reference,https://www.riotinto.com/-/media/Content/Documents/Invest/Corporate-governance/Board-committees/RT-Sustainability-Committee-terms-of-reference.pdf,,,,
20,,*Numbers restated from those originally published to ensure comparability over time.,,,,,
