Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,Sustainability Fact Book 2023
,,,,,
,,,,,
,TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES INDEX,,,,
,,Disclosure,Guidance for all sectors,,Rio Tinto Annual Report Response
,Governance,Describe the Board’s oversight of climate-related risks and opportunities.,"In describing the Board’s oversight of climate-related issues, organisations should consider including a discussion of the following:
	– Processes and frequency by which the Board and/or Board committees (eg audit, risk, or other committees) are informed about climate-related issues.
	– Whether the Board and/or Board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organisation’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures.
	– How the Board monitors and oversees progress against goals and targets for addressing climate-related issues.",,"See Climate change section:
	– Climate-related governance: page 45.

Further information can be found on the following pages: 
	– Board of Directors (including Executive Committee) composition, skills, and experience, pages 92-95. 
	– Board activities specifically related to climate activites, pages 102, 108-109.
	– Directors’ attendance at scheduled Board and committee meetings, page 104.
	– Nominations Committee report (including ESG expertise assessment), page 105.
	– Audit & Risk Committee report, page 107.
	– Sustainability Committee report, page 111.
	– Remuneration Report, page 113.
"
,,Describe management’s role in assessing and managing climate-related risks and opportunities.,"In describing management’s role related to the assessment and management of climate-related issues, organisations should consider including the following information:
	– Whether the organisation has assigned climate-related responsibilities to management-level positions or committees, and if so, whether such management positions or committees report to the Board or a committee of the Board and whether those responsibilities include assessing/managing climate-related issues.
	– A description of the associated organisational structure(s).
	– Processes by which management is informed about climate-related issues.
	– How management (through specific positions and/or management committees) monitors climate-related issues.",,"See Climate change section:
	– Climate-related governance, page 45.

Further information can be found on the following pages: 
	– Group governance framework, page 103. "
,Strategy,"Describe the climate-related risks and opportunities the organisation has identified over the short, medium, and long term.","Organisations should provide the following information:
	– A description of what they consider to be the relevant short-, medium-, and long-term time horizons, taking into consideration the useful life of the organisation’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms.
	– A description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organisation.
	– A description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organisation.

Organisations should consider providing a description of their risks and opportunities by sector/geography, as appropriate.",,"See Climate change section:
	– Climate-related strategy and risk management, pages 46-51.

Further information, including how climate-related risks and opportunities are integrated in our Group stategy and risk management, can be found on the following pages: 
	– Risk management, principal risks and uncertainties, pages 78-88."
,,"Describe the impact of climate-related risks and opportunities on the organisation’s businesses, strategy, and financial planning.","Building on recommended disclosure (a), organisations should discuss how identified climate-related issues have affected their businesses, strategy, and financial planning.

Organisations should consider including the impact on their businesses, strategy, and financial planning in the following areas:
	– Products and services.
	– Supply chain/value chain.
	– Adaptation and mitigation activities.
	– Investment in research and development.
	– Operations (including types of operations and location of facilities).
	– Acquisitions or divestments.
	– Access to capital.

Organisations should describe how climate-related issues serve as an input to their financial planning process, the time period(s) used, and how these risks and opportunities are prioritised. Organisations’ disclosures should reflect a holistic picture of the interdependencies among the factors that affect their ability to create value over time.

Organisations should describe the impact of climate-related issues on their financial performance (eg revenues, costs) and financial position (eg assets, liabilities).If climate-related scenarios were used to inform the organisation’s strategy and financial planning, such scenarios should be described.

Organisations that have made greenhouse gas (GHG) emissions reduction commitments, operate in jurisdictions that have made such commitments, or have agreed to meet investor expectations regarding GHG emissions reductions, should describe their plans for transitioning to a low-carbon economy. This could include GHG emissions targets and specific activities intended to reduce GHG emissions in their operations and value chain or to otherwise support the transition.",,"See Climate change section:
	– Climate-related strategy and risk management, pages 46-51.
	– Financial exposure to physical climate risk, pages 57-58.

Further information can be found on the following pages:
- Creating value by living our purpose, pages 8-9
	– Risk management, principal risks and uncertainties, pages 79-88.
	– Strategic context and our strategy, pages 14-16.
	– Progressing our strategy and four objectives, pages 17-19.

See pages 162-165 where the impact of climate change on the Group has been incorporated into the financial statements as well as page 165 for a further summary of the financial reporting considerations and sensitivities related to climate change. "
,,"Describe the resilience of the organisation’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario.","Organisations should describe how resilient their strategies are to climate-related risks and opportunities, taking into consideration a transition to a low-carbon economy consistent with a 2°C or lower scenario and where relevant to the organisation, scenarios consistent with increased physical climate-related risks, organisations should consider discussing:
	– where they believe their strategies may be affected by climate-related risks and opportunities
	– how their strategies might change to address such potential risks and opportunities
	– the potential impact of climate-related issues on financial performance (eg revenues, costs) and financial position (eg assets, liabilities)
	– the climate-related scenarios and associated time horizon(s) considered.",,"See Climate change section:
	– Climate-related strategy and risk management, climate change scenarios, pages 47-51.
	– Financial exposure to physical climate risk, pages 57-58.

Further information can be found on the following pages: 
	– Strategic context, pages 14-15.
	– Impact of climate change on the Group, Climate change scenarios, page 163."
,Risk management,Describe the organisation’s processes for identifying and assessing climate-related risks.,"Organisations should describe their risk management processes for identifying and assessing climate-related risks. An important aspect of this description is how organisations determine the relative significance of climate-related risks in relation to other risks.

Organisations should describe whether they consider existing and emerging regulatory requirements related to climate change (eg limits on emissions) as well as other relevant factors considered.

Organisations should also consider disclosing the following:
	– Processes for assessing the potential size and scope of identified climate-related risks.
	– Definitions of risk terminology used or references to existing risk classification frameworks used.",,"See Climate change section:
	– Climate-related strategy and risk management, page 46.
	– Physical climate risk and resilience, pages 49-51.

Further information can be found on the following pages: 
	– Risk management, principal risks and uncertainties, pages 78-81."
,,Describe the organisation’s processes for managing climate-related risks.,"Organisations should describe their processes for managing climate-related risks, including how they make decisions to mitigate, transfer, accept, or control those risks. In addition, organisations should describe their processes for prioritising climate-related risks, including how materiality determinations are made within their organisations.",,"See Climate change section:
	– Climate-related strategy and risk management, page 46.
	– Physical climate risk and resilience, pages 49-51. 

Further information can be found on the following pages: 
	– Our approach to risk and risk management, pages 78-80.
	– Principal risk and uncertainties, pages 81-88."
,,"Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organisation’s overall risk management.","Organisations should describe how their processes for identifying, assessing, and managing climate-related risks are integrated into their overall risk management.",,"See Climate change section:
	– Climate-related strategy and risk management, page 46.

Further information can be found on the following pages: 
	– Our approach to risk and risk management, pages 78-80.
	– Principal risk and uncertainties, pages 81-88."
,Metrics and targets,Disclose the metrics used by the organisation to assess climate-related risks and opportunities in line with its strategy and risk management process.,"Organisations should provide the key metrics used to measure and manage climate-related risks and opportunities, as well as metrics consistent with the cross-industry, climate-related metric categories. Organisations should consider including metrics on climate-related risks associated with water, energy, land use, and waste management where relevant and applicable.

Where climate-related issues are material, organisations should consider describing whether and how related performance metrics are incorporated into remuneration policies.

Where relevant, organisations should provide their internal carbon prices as well as climate-related opportunity metrics such as revenue from products and services designed for a low-carbon economy.

Metrics should be provided for historical periods to allow for trend analysis. Where appropriate, organisations should consider providing forward-looking metrics for the cross-industry, climate-related metric categories consistent with their business or strategic planning time horizons. In addition, where not apparent, Organisations should provide a description of the methodologies used to calculate or estimate climate-related metrics.",,"See Climate change section:
	– Climate-related metrics and targets, pages 52-58.

Further information can be found on the following pages: 
	– Key performance indicators, page 22.
	– 2023 performance against ESG targets, page 43.
	– Environmental stewardship, pages 59-63.
	– Mining and metals practices, pages 64-65.
	– STIP Measures, pages 129-130 and 133.
	– LTIP, pages 133-135."
,,"Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 GHG emissions, and the related risks.","Organisations should provide their Scope 1 and Scope 2 GHG emissions independent of a materiality assessment and, if appropriate, Scope 3 GHG emissions and the related risks. All organisations should consider disclosing Scope 3 GHG emissions.

GHG emissions should be calculated in line with the GHG Protocol methodology to allow for aggregation and comparability across organisations and jurisdictions. As
appropriate, organisations should consider providing related, generally accepted industry-specific GHG efficiency ratios.

GHG emissions and associated metrics should be provided for historical periods to allow for trend analysis. In addition, where not apparent, organisations should provide a description of the methodologies used to calculate or estimate the metrics.",,"See Climate change section:
	– Climate-related metrics and targets, page 55.

Reference to our GHG emissions are also made throughout the Annual Report, including on pages 22 and 150. "
,,Describe the targets used by the organisation to manage climate-related risks and opportunities and performance against targets.,"Organisations should describe their key climate-related targets such as those related to GHG emissions, water usage, energy usage etc, in line with the cross-industry, climate-related metric categories, where relevant, and in line with anticipated regulatory requirements or market constraints or other goals. Other goals may include efficiency or financial goals, financial loss tolerances, avoided GHG emissions through the entire product life cycle, or net revenue goals for products and services designed for a low-carbon economy.

In describing their targets, organisations should consider including the following:
	– Whether the target is absolute or intensity based.
	– Time frames over which the target applies.
	– Base year from which progress is measured.
	– Key performance indicators used to assess progress against targets.

Organisations disclosing medium-term or long-term targets should also disclose associated interim targets in aggregate or by business line, where available. Where not apparent, organisations should provide a description of the methodologies used to calculate targets and measures.",,"See Climate change section:
	– Climate-related metrics and targets, pages 52-58.

Further information can be found on the following pages: 
	– Key performance indicators, page 22.
	– 2023 performance against ESG targets, page 43.
	– Environmental stewardship, pages 59-63.
	– Mining and metals practice,: pages 64-65.
	– STIP Measures, pages 129-130 and 133.
	– LTIP, pages 133-135."
,,,,,
,TCFD Supplementary guidance for Non-Financial Groups Index,,,,
,,Disclosure,Supplemental guidance for Non-Financial Groups,,Rio Tinto response
,Strategy,"Describe the impact of climate-related risks and opportunities on the organisation’s businesses, strategy, 
and financial planning.","Organisations should consider discussing how climate-related risks and opportunities are integrated into their (1) current decision making and (2) strategy formulation, including planning assumptions and objectives around climate change mitigation, adaptation, or opportunities such as:
	– research and development and adoption of new technology
	– existing and committed future activities such as investments, restructuring, write-downs, or impairment of assets
	– critical planning assumptions around legacy assets, for example strategies to lower carbon-, energy-/water-intensive operations.
	– how GHG emissions, energy, and water issues, if applicable, are considered in capital planning and allocation. This could include a discussion of major acquisitions and divestments, joint-ventures, and investments in technology, innovation, and new business areas in light of changing climate-related risks and opportunities
	– the organisation’s flexibility in positioning/repositioning capital to address emerging climate-related risks and opportunities.",,"See climate change section:
	–Climate-related strategy and risk management: pages 46-51

Further information can be found on the following pages: 
	–Finding better waysTM in 2023: pages 10-11
	–Strategic context: pages 14-16
	–Progressing our strategy: page 17 
	–Progressing our four objectives: pages 18 -19
	–Environmental stewardship: pages 59-63

See pages 162 - 165 where the impact of climate change on the Group has been incorporated into the financial statements as well as page 165 for a further summary of the financial reporting considerations and sensitivities related to climate change. "
,,"Describe the resilience of the organisation’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario.","Organisations with more than US$1 billionr equivalent (USDE) in annual revenue should consider conducting more robust scenario analysis to assess the resilience of their strategies against a range of climate-related scenarios, including a 2°C or lower scenario and, where relevant to the organisation, scenarios consistent with increased physical climate-related risks. 

Organisations should consider discussing the implications of different policy assumptions, macro-economic trends, energy pathways, and technology assumptions used in publicly available climate-related scenarios to assess the resilience of their strategies.

For the climate-related scenarios used, organisations should consider providing information on the following factors to allow investors and others to understand how conclusions were drawn from scenario analysis:
	–Critical input parameters, assumptions, and analytical choices for the climate-related scenarios used, particularly as they relate to key areas such as policy assumptions, energy deployment pathways, technology pathways, and related timing assumptions.
	–Potential qualitative or quantitative financial implications of the climate-related scenarios, if any.",,"See Climate change section:
	– Climate-related strategy and risk management, pages 47-51.
	– Financial exposure to physical climate risk, pages 57-58.

Further information can be found on the following pages: 
	– Stratgeic context, pages 14-15.
	– Impact of climate change on the Group, climate change scenarios, page 163."
,Metrics and targets,Disclose the metrics used by the organisation to assess climate-related risks and opportunities in line with its strategy and risk management process.,"For all relevant metrics, organisations should consider providing historical trends and forward-looking projections (by relevant country/jurisdiction, business line, or asset type). Organisations should also consider disclosing metrics that support their scenario analysis and strategic planning process, and that are used to monitor the organisation’s business environment from a strategic and risk management perspective. 

Organisations should consider providing key metrics related to GHG emissions, energy, water, land use and, if relevant, investments in climate adaptation and mitigation that address potential financial aspects of shifting demand, expenditures, asset valuation, and cost of financing.",,"See Climate change section:
	– Climate-related metrics and targets, pages 52-58.

Further information can be found on the following pages: 
	– Key performance indicators, pages 20- 22.
	– 2023 performance against ESG targets, page 43.
	– Environmental stewardship, pages 59-63.
	– Mining and metals practices, pages 64-65.
	– STIP Measures, pages 129-130 and 133.
	– LTIP, pages 133-135."
