Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,,,,,,,,,,,,,,,,,,,,,,,,,,Sustainability Fact Book 2023,,
3,,,Tailings facilities,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Mine Tailings Disclosure Table - 5 August 2023,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1. Tailings facility name/identifier,2. Location,,3. a) Ownership,3. b) Partners,3. c) Owner company,3. d) Operator company,4. Status,5. Date of initial operation,6. Is the Dam currently operated or closed as per currently approved design?,7. Raising method,8. Current Maximum Height (m),9. Current Tailings Storage Impoundment Volume (m3),10. Planned Tailings Storage Impoundment Volume in five years' time (m3),11. Most recent Independent Expert Review,"12. Do you have full and complete relevant engineering records including design, construction, operation, maintenance and/or closure?","13. What is your hazard categorisation of this facility, based on consequence of failure?",14. What guideline do you follow for the classification system?,"15. Has this facility, at any point in its history, failed to be confirmed or certified as stable, or experienced notable stability concerns, as identified by an independent engineer (even if later certified as stable by the same or a different firm)?",16. Do you have internal/in house engineering specialist oversight of this facility? Or do you have external engineering support for this purpose?,"17. Has a formal analysis of the downstream impact on communities, ecosystems and critical infrastructure in the event of catastrophic failure been undertaken and to reflect final conditions? If so, when did this assessment take place?","18. Is there a) a closure plan in place for this dam, and b) does it include long term monitoring?","19. Have you, or do you plan to assess your tailings facilities against the impact of more regular extreme weather events as a result of climate change, eg over the next two years?",20. Any other relevant information and supporting documentation.,,
6,,Instructions to support completion,Please identify every tailings storage facility and identify if there are multiple dams (saddle or secondary dams) within that facility. Please provide details of these within question 20.,,Please provide Long/Lat coordinates,"Please specify: Owned and Operated, Subsidiary, JV, NOJV, as of March 2019",,,,"Please specify: Active, Inactive/Care and Maintenance, Closed, etc.\n\nWe take closed to mean: a closure plan was developed and approved by the relevant local government agency, and key stakeholders were involved in its development; a closed facility means the noted approved closure plan was fully implemented or the closure plan is in the process of being implemented. A facility that is inactive or under C&M is not considered closed until such time as a closure plan has been implemented.",(date),"Yes/No. If ""No"", more information can be provided in the answer to Q20.","Note: Upstream, Centerline, Modified Centreline, Downstream, Landform, Other.",Note: Please disclose in metres.,Note: (m3 as of March 2019),(m3 as planned for January 2024),"(date) For this question we take ""Independent"" to mean a\nsuitably qualified individual or team, external to the Operation, that does not direct the design or construction work for that facility.","(Yes or No) We take the word Ã¢ÂÂrelevantÃ¢ÂÂ here to mean that you have all necessary documents to make an informed and substantiated decision on the safety of the dam, be it an old facility, or an acquisition, or legacy site. More information can be provided in your answer to Q20.",Refer to Annex 2 of the Global Industry Standard on Tailings Management for classification categories and criteria.,,"(Yes or No) We note that this will depend on factors including local legislation that are not necessarily tied to best practice. As such, and because remedial action may have been taken, a Ã¢ÂÂYesÃ¢ÂÂ answer may not indicate heightened risk.\nStability concerns might include toe seepage, dam movement, overtopping, spillway failure, piping, etc. If yes, have appropriately designed and reviewed mitigation actions been implemented?\nWe also note that this question does not bear upon the appropriateness of the criteria, but rather the stewardship levels of the facility or the dam. Additional comments/information may be supplied in your answer to Q20.","Note: Answers may be ""Both"".","Note: Please answer ""Yes"" or ""No"", and if ""Yes"", provide a date.",Please answer both parts of this question (eg Yes and Yes).,(Yes or No),"Note: this may include links to annual report disclosures, further information in the public domain, guidelines or reports, etc.",,
7,,Rio Tinto interpretation \nand guidance,"Rio Tinto's tailings facilities may have none, one or several dam structures. In order to provide a complete list of our tailings facilities, we have provided information by tailings facility rather than by dam. This is in alignment with guidance provided by ICMM to its company members on the completion of this response.\nRio Tinto is implementing the Global Industry Standard on Tailings Management (GISTM) for all tailings facilities where Rio Tinto is the Operator (as defined in the GISTM). This document includes details for these tailings facilities.",,,"Independent Operation is used where Rio Tinto holds a majority interest and tailings facilities are generally managed according to Rio Tinto standards, although Rio Tinto is not appointed as operator.",,,,Our response to this question is aligned with the guidance provided by ICMM:\n- Active: Receiving tailings as of August 2023.\n- Inactive: Not receiving tailings as of August 2023.\n- Closed: All construction activities as per the approved closure plan have been completed or are in the process of being closed.\n,,"Rio Tinto's global Standard requires the Design Engineer / Engineer of Record to provide written verification that the facility is constructed and operated as per the design intent.\nThe exact design may change during construction due to field conditions, where approved by the Design Engineer. In this case. verification continues to be provided that the facility is operated in accordance with the design intent. This question has therefore been answered based on the requirements of the Rio Tinto standard.\nThe answers are also aligned with the following guidance provided by the ICMM:\n- ""Approved"" means approved by the regulator if there is such a regulator in the jurisdiction that provides an approval.\n- If there is no regulator that provides an approval, Ã¢ÂÂapprovedÃ¢ÂÂ means approved by the Design Engineer / Engineer of Record for the facility.","Our response to this question is aligned with the guidance provided by the ICMM:\n- Construction method for the last raise is stated.\n- In the case of multiple dams for one tailings facility, this reports on the largest/highest consequence one.","The heights reported here are the current height at the maximum height section, not the final design height. In the case of multiple dams for one tailings facility, the height of the highest one has been provided.",,"Volumes provided are the planned total volume of tailings that will be contained within the tailings facility in 5 years time, not the incremental volume change. This is based on current production plans, which may change with time.","The Rio Tinto global Standard for the management of tailings and water storage facilities mandates that both design and operational reviews are carried out by an independent specialist or an independent review team for all tailings and water storage facilities. Both independent design reviews and independent operational reviews are considered relevant to this question, and so the date of the most recent of either type of review is provided.","For some of our older tailings facilities that were constructed, operated and/or closed prior to the requirement to complete or retain these records, or that have become part of the Rio Tinto Group through acquisitions post-construction, we may not have a full documentation history for the facilities. Additional investigation and analysis may have been carried out to understand the construction and performance of these structures.\nWhere we do not have all records, we have followed the guidance provided and assessed whether or not we have ""all necessary documents to make an informed and substantiated decision on the safety of the dam"", and have answered the question on this basis.",All facilities have been given a consequence classification in accordance with Annex 2 of the Global Industry Standard on Tailings Management (GISTM).\nConsequence classifications are not a judgement on the condition of a facility or the likelihood of failure but on the potential consequence if there was to be a failure.,Rio Tinto is implementing the Global Industry Standard on Tailings Management (GISTM) for all tailings facilities where Rio Tinto is the Operator (as defined in the GISTM).\nThe GISTM specifies a consequence classification scheme based on consequence categories and assessment appraches that may differ from previously used classification schemes. As a result the hazard categorisation for a tailings facility may change when the GISTM consequence classification is used.,"Our response to this question is aligned with the guidance provided by the ICMM:\n- Are there any potential latent life-safety concerns with an existing facility that have been previously flagged but remain unaddressed?\n- For operating facilities, this refers to any identified deficiency for the current life/stage. For a previous life/stage, any deficiency that was not addressed as vetted by independent review.\n- For closed/legacy facilities, this refers to any deficiency identified that reflects the current state of the facility versus a previous issue that has been addressed through confirmed changed condition via the closure process.","Rio Tinto has tailings specialists employed across the Rio Tinto Product Groups, at individual operations and in centralised technical support hubs. In addition, Rio Tinto's Surface Mining Centre of Excellence team includes tailings specialists who provide technical governance, review, leadership and stewardship for the tailings facilities across the Rio Tinto Group.",,"The Rio Tinto global Standard for the management of tailings and water storage facilities mandates that closure is incorporated in the design of a tailings facility and that a closure plan is in place for each tailings facility.\nClosure plans include monitoring, where required, to meet closure objectives.\nOur response to this question is also aligned with the guidance provided by the ICMM:\n- This could be a conceptual or complete closure plan.","The ability for a tailings facility to handle significant weather events is considered in the tailings facility design process, and this is reviewed in any additional design work carried out for a tailings facility. As a result, Rio Tinto's tailings facilities are designed with freeboard to accommodate anticipated extreme weather events based on current weather projections.\nExternal research is ongoing into how the impacts of climate change should be factored in to the design, operation and closure of tailings facilities. When there is industry consensus on the best approach Rio Tinto will reassess the impact of climate change on our tailings facilities, where this assessment has not yet been carried out.",,,
8,,,Argyle - AK1 TSF,Australia,"-16.70940, 128.41754",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1991,Yes,Downstream,72,65949500,65949500,44256,Yes,High,GISTM,No,Both,Yes - June 2020,Yes and Yes,Yes,,,
9,,,Argyle - Alluvials TSF ATD 1,Australia,"-16.65795, 128.45746",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1985,Yes,N/A (single embankment),2,0,0,44256,Yes,Low,GISTM,No,Both,"No:\nClosed, no storage.",Yes and Yes,Yes,,,
10,,,Argyle - Alluvials TSF ATD 2,Australia,"-16.65669, 128.46003",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1985,Yes,N/A (single embankment),2,0,0,44256,Yes,Low,GISTM,No,Both,"No:\nClosed, no storage.",Yes and Yes,Yes,,,
11,,,Argyle - Alluvials TSF ATD 3,Australia,"-16.65458, 128.45071",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1985,Yes,N/A (single embankment),15,450000,450000,44256,Yes,Significant,GISTM,No,Both,No:\nClosed facility.,Yes and Yes,Yes,,,
