Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,,,,,,Sustainability Fact Book 2023,
3,,WATER DISCHARGES BY PG REGION,,,,,,
4,,"Water discharges 2023 - by product group, region and destination, in GL",,,,,,
5,,Product group,Region,Total,Surface water,Groundwater & seepage,Marine,Third party
7,,Aluminium,,,,,,
8,,Atlantic operations,Canada,30,22.4,0.2,7,0.6
9,,,Europe,11,0,0,10.3,0.5
10,,Pacific operations,Australia,127,0,0,127.2,0
11,,,New Zealand,0,0.2,0,0,0
12,,Total,,169,23,0,145,1
14,,Copper,,,,,,
15,,Copper,Asia,0,0,0,0,0
16,,,Australia,0,0,0.2,0,0
17,,,Africa,0,0,0,0,0
18,,,United States,26,22,0.1,0,4.2
19,,,South America,0,0.1,0,0,0
20,,Total,,27,22,0,0,4
22,,Minerals,,,,,,
23,,Borates & Lithium,Europe,0,0.4,0,0,0
24,,,United States,0,0,0,0,0
25,,Diamonds,Canada,13,12.9,0,0,0
26,,Iron & Titanium,Africa,24,4.1,19.8,0,0
27,,,Canada,54,53.9,0,0,0
28,,,China,0,0,0,0,0
29,,Iron Ore,Canada,199,196.1,3.2,0,0
30,,Total,,290,267,23,0,0
32,,Iron Ore,,,,,,
33,,Iron Ore,Australia,148,60.2,69.5,0,17.7
34,,Salt,Australia,29,0.6,0.1,28.2,0
35,,Total,,176,61,70,28,18
37,,Other,,,,,,
38,,Commercial,Not applicable,10,0,0,10.2,0
39,,Closure,Australia,20,18.9,0.8,0,0
40,,Exploration,Various,0,0.1,0,0,0
41,,Total,,30,19,1,10,0
42,,"Definition of operational withdrawals, other managed water, total discharges, consumption, recycled/reused, change in storage and water quality are as per the Water Reporting: Good Practice Guide, 2nd Edition (ICMM, 2021).",,,,,,
43,,"Refer to Appendix A of the ICMM water reporting guide for equivalency with other reporting standards, including those from the Minerals Council of Australia and Global Reporting Initiative.",,,,,,
44,,The sum of the categories may be slightly different to the Rio Tinto total due to rounding.,,,,,,
45,,Aggregated totals are the sum of data for all assets within the reporting group. No adjustments have been applied to discount water that moves between assets within the same reporting group. Some totals may therefore be conservatively stated.,,,,,,
46,,Water use associated with hydropower assets not included in above totals.,,,,,,
