Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,Sustainability Fact Book 2023,,
,,,,,,,,,
,,,,,,,,,
,WATER RISK BY ASSET,,,,,,,,
,Water risk profile - asset level risk rankings (2023),,,,,,,,
,Asset,Product group,Region,WRI Water Risk Atlas 2030 Water Stress,"Water
resource","Quantity and
 quality",Dewatering,Long-term obligations,
,Alma,Aluminium,Canada,Low,L,H,,M,
,AP60,Aluminium,Canada,Low,L,H,,L,
,Arvida,Aluminium,Canada,Low,L,H,,H,
,BC Works,Aluminium,Canada,Low,L,H,L,H,
,Beauharnois,Aluminium,Canada,Low,L,L,,M,
,Dubuc/PLS,Aluminium,Canada,Low,L,L,,L,
,Energie Electrique,Aluminium,Canada,Low,L,M,,L,
,Grand Baie,Aluminium,Canada,Low,L,H,,L,
,Laterriere,Aluminium,Canada,Low,L,H,M,L,
,Roberval/Port Alfred,Aluminium,Canada,Low,L,H,,L,
,SPL Treatment Plant,Aluminium,Canada,Low,L,H,,M,
,Strathcona,Aluminium,Canada,High,L,L,,L,
,Vaudreuil,Aluminium,Canada,Low,L,H,L,VH,
,Saint Jean LRF,Aluminium,France,Low-Medium,L,L,,,
,ISAL,Aluminium,Iceland,Low,L,L,,L,
,Bell Bay Aluminium,Aluminium,Australia,Low,L,M,,M,
,Boyne Smelters,Aluminium,Australia,Low,H,M,,,
,Gove,Aluminium,Australia,Low,L,H,,VH,
,QAL*,Aluminium,Australia,Low,L,VH,,H,
,Weipa,Aluminium,Australia,Low,H,H,M,M,
,Yarwun,Aluminium,Australia,Low,H,H,L,H,
,New Zealand's Aluminium Smelter,Aluminium,New Zealand,Low,H,M,L,L,
,Argyle,Closure,Australia,Low,L,M,M,M,
,ERA,Closure,Australia,Low,L,M,L,VH,
,Winu (Project),Copper,Australia,Arid and Low Water Use,not assessed,0,0,0,
,Kennecott Utah Copper,Copper,USA,High,M,H,H,VH,
,Resolution (Project),Copper,USA,Arid and Low Water Use,not assessed,0,0,0,
,Oyu Tolgoi,Copper,Mongolia,Arid and Low Water Use,M,H,M,M,
,Simandou (Project),Copper,Guinea,Low,not assessed,0,0,0,
,Greater Brockman,Iron Ore,Australia,Low,VH,M,VH,VH,
,Greater Hope Downs,Iron Ore,Australia,Arid and Low Water Use,M,H,VH,VH,
,Greater Paraburdoo,Iron Ore,Australia,Low,VH,H,H,VH,
,Greater Tom Price,Iron Ore,Australia,Low,M,M,H,VH,
,Yandicoogina,Iron Ore,Australia,Low-Medium,M,H,VH,VH,
,Gudai-Darri,Iron Ore,Australia,Low,H,H,H,VH,
,Robe Valley,Iron Ore,Australia,Low,H,H,VH,H,
,Rhodes Ridge (Project),Iron Ore,Australia,Arid and Low Water Use,not assessed,0,0,0,
,West Angelas,Iron Ore,Australia,Low,H,H,H,H,
,Dampier Salt,Iron Ore,Australia,Arid and Low Water Use,L,M,H,M,
,Ports Cape Lambert,Iron Ore,Australia,Low-Medium,H,L,L,L,
,Ports Dampier,Iron Ore,Australia,Low-Medium,H,L,,L,
,Rincon (Project),Minerals,Argentina,Low,not assessed,0,0,0,
,"EU Ops (Coudekerque, Rotterdam, Nules)",Minerals,Europe,High,M,L,,M,
,Boron,Minerals,USA,Extremely High,H,M,M,H,
,Owens Lake,Minerals,USA,Medium-High,L,L,L,L,
,Wilmington,Minerals,USA,Extremely High,M,H,L,M,
,Burra (Project),Minerals,Australia,Arid and Low Water Use,not assessed,0,0,0,
,Diavik,Minerals,Canada,Low,L,L,L,M,
,HSP,Minerals,Canada,Low,L,H,M,H,
,Sorel,Minerals,Canada,Low,L,H,,L,
,Suzhou,Minerals,China,Extremely High,not assessed,0,0,0,
,QMM,Minerals,Madagascar,Low,M,H,M,M,
,Richards Bay Minerals,Minerals,South Africa,Low-Medium,H,H,L,L,
,Mutamba (Project),Minerals,Mozambique,Low,not assessed,0,0,0,
,Iron Ore Company of Canada,Minerals,Canada,Low,L,M,L,L,
,Jadar (Project),Minerals,Serbia,Low,not assessed,0,0,0,
,,,,,,,,,
,,,,,Water risk ranking legend,,,,
,,,,,Low,Medium,High,Very high,
,,,,,n/a: not applicable,,,,
,"*Note: Non-managed operation, which is part of our water stewardship target programme",,,,,,,,
