Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,Sustainability Fact Book 2023,,
3,,WATER RISK BY ASSET,,,,,,,,
4,,Water risk profile - asset level risk rankings (2023),,,,,,,,
5,,Asset,Product group,Region,WRI Water Risk Atlas 2030 Water Stress,Water\nresource,Quantity and\n quality,Dewatering,Long-term obligations,
6,,Alma,Aluminium,Canada,Low,L,H,,M,
7,,AP60,Aluminium,Canada,Low,L,H,,L,
8,,Arvida,Aluminium,Canada,Low,L,H,,H,
9,,BC Works,Aluminium,Canada,Low,L,H,L,H,
10,,Beauharnois,Aluminium,Canada,Low,L,L,,M,
11,,Dubuc/PLS,Aluminium,Canada,Low,L,L,,L,
12,,Energie Electrique,Aluminium,Canada,Low,L,M,,L,
13,,Grand Baie,Aluminium,Canada,Low,L,H,,L,
14,,Laterriere,Aluminium,Canada,Low,L,H,M,L,
15,,Roberval/Port Alfred,Aluminium,Canada,Low,L,H,,L,
16,,SPL Treatment Plant,Aluminium,Canada,Low,L,H,,M,
17,,Strathcona,Aluminium,Canada,High,L,L,,L,
18,,Vaudreuil,Aluminium,Canada,Low,L,H,L,VH,
19,,Saint Jean LRF,Aluminium,France,Low-Medium,L,L,,,
20,,ISAL,Aluminium,Iceland,Low,L,L,,L,
21,,Bell Bay Aluminium,Aluminium,Australia,Low,L,M,,M,
22,,Boyne Smelters,Aluminium,Australia,Low,H,M,,,
23,,Gove,Aluminium,Australia,Low,L,H,,VH,
24,,QAL*,Aluminium,Australia,Low,L,VH,,H,
25,,Weipa,Aluminium,Australia,Low,H,H,M,M,
26,,Yarwun,Aluminium,Australia,Low,H,H,L,H,
27,,New Zealand's Aluminium Smelter,Aluminium,New Zealand,Low,H,M,L,L,
28,,Argyle,Closure,Australia,Low,L,M,M,M,
29,,ERA,Closure,Australia,Low,L,M,L,VH,
30,,Winu (Project),Copper,Australia,Arid and Low Water Use,not assessed,0,0,0,
31,,Kennecott Utah Copper,Copper,USA,High,M,H,H,VH,
32,,Resolution (Project),Copper,USA,Arid and Low Water Use,not assessed,0,0,0,
33,,Oyu Tolgoi,Copper,Mongolia,Arid and Low Water Use,M,H,M,M,
34,,Simandou (Project),Copper,Guinea,Low,not assessed,0,0,0,
35,,Greater Brockman,Iron Ore,Australia,Low,VH,M,VH,VH,
36,,Greater Hope Downs,Iron Ore,Australia,Arid and Low Water Use,M,H,VH,VH,
37,,Greater Paraburdoo,Iron Ore,Australia,Low,VH,H,H,VH,
38,,Greater Tom Price,Iron Ore,Australia,Low,M,M,H,VH,
39,,Yandicoogina,Iron Ore,Australia,Low-Medium,M,H,VH,VH,
40,,Gudai-Darri,Iron Ore,Australia,Low,H,H,H,VH,
41,,Robe Valley,Iron Ore,Australia,Low,H,H,VH,H,
42,,Rhodes Ridge (Project),Iron Ore,Australia,Arid and Low Water Use,not assessed,0,0,0,
43,,West Angelas,Iron Ore,Australia,Low,H,H,H,H,
44,,Dampier Salt,Iron Ore,Australia,Arid and Low Water Use,L,M,H,M,
45,,Ports Cape Lambert,Iron Ore,Australia,Low-Medium,H,L,L,L,
46,,Ports Dampier,Iron Ore,Australia,Low-Medium,H,L,,L,
47,,Rincon (Project),Minerals,Argentina,Low,not assessed,0,0,0,
48,,"EU Ops (Coudekerque, Rotterdam, Nules)",Minerals,Europe,High,M,L,,M,
49,,Boron,Minerals,USA,Extremely High,H,M,M,H,
50,,Owens Lake,Minerals,USA,Medium-High,L,L,L,L,
51,,Wilmington,Minerals,USA,Extremely High,M,H,L,M,
52,,Burra (Project),Minerals,Australia,Arid and Low Water Use,not assessed,0,0,0,
53,,Diavik,Minerals,Canada,Low,L,L,L,M,
54,,HSP,Minerals,Canada,Low,L,H,M,H,
55,,Sorel,Minerals,Canada,Low,L,H,,L,
56,,Suzhou,Minerals,China,Extremely High,not assessed,0,0,0,
57,,QMM,Minerals,Madagascar,Low,M,H,M,M,
58,,Richards Bay Minerals,Minerals,South Africa,Low-Medium,H,H,L,L,
59,,Mutamba (Project),Minerals,Mozambique,Low,not assessed,0,0,0,
60,,Iron Ore Company of Canada,Minerals,Canada,Low,L,M,L,L,
61,,Jadar (Project),Minerals,Serbia,Low,not assessed,0,0,0,
63,,,,,,Water risk ranking legend,,,,
64,,,,,,Low,Medium,High,Very high,
65,,,,,,n/a: not applicable,,,,
66,,"*Note: Non-managed operation, which is part of our water stewardship target programme",,,,,,,,
