Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,,,,,,,Sustainability Fact Book 2023,,,,,,,,,,,
3,,WORKFORCE DATA AND DIVERSITY,,,,,,,,,,,,,,,,
4,,"We are finding better waysTM to live our values and build an environment of trust where everyone feels safe, respected and empowered. This is how we attract and retain world-class talent to our operations globally. More than 39,000 employees responded to our most recent survey in October 2023, and our employee satisfaction score (eSAT) increased to 74 (from 73 in 2022). Of particular note was the positive progress we are making on key indicators aligned with everyday respect: authenticity (75), belonging (71), inclusion (69) and speaking up (74). We have more to do and will continue to focus on accountability and increasing collaboration inside and outside ofÃÂ our business. \n\nIn 2023, we continued our work to support an inclusive culture by implementing the recommendations outlined in the Everyday Respect Report. Our focus has been on: \n - promoting respect\n - investing in leadership development\n - creating an inclusive workplace\n - increasing support for our people\n - ensuring equality through pay equity.\n",,,,,,,,,,,,,,,,
5,,Our culture,,,,,,,,,,,,,,,,
6,,Employee engagement - People survey indicators(1)(2),,Q4 2023,Q2 2023,Q4 2022,Q2 2022,,,,,,,,,,,
7,,Response rate,,0.68,0.68,0.68,0.59,,,,,,,,,,,
8,,eSAT(3),,74,74,73,71,,,,,,,,,,,
9,,Recommend(4)(5),,72,72,71,68,,,,,,,,,,,
10,,1. Includes our workforce based on managed operations (excludes the Group's share of non-managed operations and joint ventures) as of 31 December 2023.,,,,,,,,,,,,,,,,
11,,2. Excludes Non-Executive Directors and outsourced service contractors.,,,,,,,,,,,,,,,,
12,,3. eSAT (Employee satisfaction): a measure of how happy employees are to work at Rio Tinto (average score).,,,,,,,,,,,,,,,,
13,,4. Recommend: how likely employees are to recommend Rio Tinto (average score).,,,,,,,,,,,,,,,,
14,,"5. From Q2 2021, the Recommend question wording was altered.",,,,,,,,,,,,,,,,
17,,myVoice cases reported by category (% of cases reported),2023,,2022,,2021,,2020,,2019,,,,,,,
18,,"Case rate (number of cases per 1,000 employees)",29.1,,28.1,,25.7,,14.5,,15.9,,,,,,,
19,,Reports receivedÃÂ¹,1613,,1459,,1246,,748,,804,,,,,,,
20,,,Reports received,Reports substantiatedÃÂ²,Reports received,Reports substantiated,Reports received,Reports substantiated,Reports received,Reports substantiated,Reports received,Reports substantiated,,,,,,
21,,Business integrity,254,0.481,211,0.522,154,0.3596,102,0.512,134,0.358,,,,,,
22,,Personnel,1196,0.553,1034,0.654,819,0.5688,421,0.38,454,0.312,,,,,,
23,,"Health, safety, environment3",109,0.607,120,0.471,186,0.2222,68,0.346,52,0.459,,,,,,
24,,Communities,4,0,10,0,6,0,25,0,3,0,,,,,,
25,,Information security,22,0,16,0.667,18,0.3636,99,0.471,111,0.8125,,,,,,
26,,Finance,2,0.5,1,0,0,0,2,0.677,5,0.333,,,,,,
27,,Other,26,0,67,0.333,63,0.142,31,0.5,45,0,,,,,,
28,,"1. Includes multiple reports relating to same allegations, where applicable.",,,,,,,,,,,,,,,,
29,,"2. Based on all cases investigated and closed during 2023, including cases reported in previous years. Where percentages slightly differ from previous annual reports, this can be due to a number of factors including re-opening of cases, internal reviews or quality assurance processes.",,,,,,,,,,,,,,,,
30,,"3. Contained community concerns pre-2020, are now split into a separate category.",,,,,,,,,,,,,,,,
32,,Employee parental leave by gender 2023(1)(2)(3),Gender %,Parental leave,Returned to work,Due to return,Return rate(4),,,,,,,,,,,
33,,Women,0.2706,644,290,354,0.958,,,,,,,,,,,
34,,Men,0.7294,1736,1229,507,0.957,,,,,,,,,,,
35,,Total,1,2380,1519,861,0.958,,,,,,,,,,,
38,,Employee parental leave by gender 2022(1)(2)(3),Gender %,Parental leave,Returned to work,Due to return,Return rate(4),,,,,,,,,,,
39,,Women,0.405,589,269,320,0.969,,,,,,,,,,,
40,,Men,0.595,865,511,354,0.979,,,,,,,,,,,
41,,Total,1,1454,780,674,0.975,,,,,,,,,,,
42,,1. Includes workforce based on managed operations (excludes the Group's share of non-managed operations and joint ventures) who were on parental leave during 2023 or 2022 and whose parental leave duration is greater than 1 month.,,,,,,,,,,,,,,,,
43,,2. Excludes Non-Executive Directors and contractors.,,,,,,,,,,,,,,,,
44,,"3. Parental leave is reported from global, centralised HR systems (90% of total Rio Tinto population).",,,,,,,,,,,,,,,,
45,,4. Return rate of employees that took parental leave (and did not subsequently leave the organisation).,,,,,,,,,,,,,,,,
48,,Employee diversity(1)(2)(3)(5),,2023,2022,2021,2020,2019,,,,,,,,,,
49,,Percentage of women in senior leadership,,0.301,0.283,0.274,0.261,0.226,,,,,,,,,,
50,,Percentage of women - total workforce(4),,0.243,0.229,0.216,0.201,0.184,,,,,,,,,,
51,,1. Includes our total workforce based on managed operations (excludes the Group's share of non-managed operations and joint ventures) as of 31 December of the relevant year.,,,,,,,,,,,,,,,,
52,,"2. Excludes Non-Executive Directors, executive committee, contractors and people not available for work 2017-2020. From 2021, the definition used to calculate diversity was changed to include people not available for work and contractors (those engaged on temporary contracts to provide services under the direction of Rio Tinto leaders) excluding project contractors.",,,,,,,,,,,,,,,,
53,,"3. In 2023, eight (8) individuals' gender was undeclared.",,,,,,,,,,,,,,,,
54,,4. The 2020 total workforce percentage represents the new definition. The 2020 number using the previous definition was 19%.,,,,,,,,,,,,,,,,
