Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
90,,1. Board composition as at 31 December of the relevant year.,,,,,,,,,,,,,,,,
94,,Employee hiring and turnover rates(1)(2)(3),,,,,,,,,,,,,,,,
95,,,,Gender(4),,Age group,,,,Region,,,,,,,,
96,,,Total,Women,Men,Under 30,30-39,40-49,Over 50,Africa,Americas,Asia,Australia/NZ,Europe,,,,
97,,Employee hiring rate(5)(6),0.176,0.35,0.65,0.428,0.308,0.178,0.086,0.074,0.262,0.142,0.49,0.032,,,,
98,,Employee turnover rate(7),0.084,0.087,0.083,0.111,0.079,0.068,0.095,0.052,0.06,0.038,0.113,0.079,,,,
99,,1. Includes our total workforce based on managed operations (excludes the Group's share of non-managed operations and joint ventures) as of 31 December 2023.,,,,,,,,,,,,,,,,
100,,2. Excludes Non-Executive Directors and contractors.,,,,,,,,,,,,,,,,
101,,3. Rates have been calculated based on average monthly headcount in the year per category.,,,,,,,,,,,,,,,,
102,,"4. In 2023, eight (8) individuals' gender was undeclared.",,,,,,,,,,,,,,,,
103,,5. Total hiring rate is calculated as total employee hires over average employee headcount for the year.,,,,,,,,,,,,,,,,
104,,6. Hiring rate includes total employee hires per category over total hires for the year.,,,,,,,,,,,,,,,,
105,,7. Turnover rate excludes temporary workers and the reduction of employees due to business divestment. Turnover rate includes total terminations per category over average monthly headcount in the year per category.,,,,,,,,,,,,,,,,
108,,Australian Indigenous employment(1)(2)(3),,,,,,,,,,,,,,,,
109,,,,,,Gender - Indigenous employees,,Age group - Indigenous\nemployees,,,,,,,,,,
110,,Country,,Headcount(4),% Indigenous,Women,Men,Under 30,30-39,40-49,Over 50,,,,,,,
111,,Australia,,24910,0.071,0.319,0.681,0.239,0.33,0.242,0.189,,,,,,,
112,,1. Includes our Australian-based Indigenous workforce based on managed operations (excludes the Group's share of non-managed operations and joint ventures) as of 31 December 2023.,,,,,,,,,,,,,,,,
113,,2. Excludes Non-Executive Directors and contractors.,,,,,,,,,,,,,,,,
114,,3. Indigenous includes Aboriginal and Torres Strait Islanders located in Australia.,,,,,,,,,,,,,,,,
115,,4. Headcount includes total headcount located in Australia.,,,,,,,,,,,,,,,,
117,,Australian Indigenous employment (number),,2023,2022,2021,2020,2019,,,,,,,,,,
118,,All Assets,,1765,1549,1448,1325,1354,,,,,,,,,,
119,,Iron Ore,,1225,1165,1051,935,942,,,,,,,,,,
120,,Aluminium,,433,301,332,315,317,,,,,,,,,,
