Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,Sustainability Databook 2023,,,,,,,,
,,,,,,,,,,,,,,
,,,"
",,,,,,,,,,,
,BIODIVERSITY,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"We recognise the importance of protecting biodiversity and ecosystem services and aim to achieve no net loss for all new projects and major expansions. It is our responsibility to minimise the
impacts to the environment and to rehabilitate land disturbed by our activities.

The metrics we use to measure our performance are shown in the tables below. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Landholdings, disturbed land, rehabilitated land and conservation",,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,
,"Total South32 landholdings – land owned, leased or managed (hectares)",602057,658005,634521,689083,679343,,,,,,,,
,Total land disturbed (hectares),12106,11734,11584,23591,22747,,,,,,,,
,Total land rehabilitated (hectares),5911,5578,5305,15448,15085,,,,,,,,
,Total land disturbed and not yet rehabilitated (hectares),6195,6156,6279,8143,7662,,,,,,,,
,Total land rehabilitated against total land disturbed(1) (percentage),32.8,32.2,31.4,39.6,39.9,,,,,,,,
,Newly disturbed land (hectares),372,222,225,815,182,,,,,,,,
,Newly rehabilitated land (hectares),333,276,251,258,427,,,,,,,,
,Land set aside for conservation during the year (hectares),1323,0,83,0,8,,,,,,,,
,Total land set aside for conservation (hectares),"3,270(2)",1947,1947,2010,2010,,,,,,,,
,,,,,,,,,,,,,,
