Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,,,,,Sustainability Databook 2023,,,,,,,,
2,,,,\n,,,,,,,,,,,
3,,BIODIVERSITY,,,,,,,,,,,,,
5,,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,,,,,,,
7,,We recognise the importance of protecting biodiversity and ecosystem services and aim to achieve no net loss for all new projects and major expansions. It is our responsibility to minimise the\nimpacts to the environment and to rehabilitate land disturbed by our activities.\n\nThe metrics we use to measure our performance are shown in the tables below.,,,,,,,,,,,,,
9,,"Landholdings, disturbed land, rehabilitated land and conservation",,,,,,,,,,,,,
10,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,
11,,"Total South32 landholdings Ã¢ÂÂ land owned, leased or managed (hectares)",602057,658005,634521,689083,679343,,,,,,,,
12,,Total land disturbed (hectares),12106,11734,11584,23591,22747,,,,,,,,
13,,Total land rehabilitated (hectares),5911,5578,5305,15448,15085,,,,,,,,
14,,Total land disturbed and not yet rehabilitated (hectares),6195,6156,6279,8143,7662,,,,,,,,
15,,Total land rehabilitated against total land disturbed(1) (percentage),32.8,32.2,31.4,39.6,39.9,,,,,,,,
16,,Newly disturbed land (hectares),372,222,225,815,182,,,,,,,,
17,,Newly rehabilitated land (hectares),333,276,251,258,427,,,,,,,,
18,,Land set aside for conservation during the year (hectares),1323,0,83,0,8,,,,,,,,
19,,Total land set aside for conservation (hectares),"3,270(2)",1947,1947,2010,2010,,,,,,,,
21,,"(1) This figure is calculated as total land rehabilitated divided by sum of total land disturbed and total land rehabilitated. Noting that the total rehabilitated land was deemed as disturbed land prior to rehabilitation, this calculation method is used to reflect the proportion of all disturbed land that has been rehabilitated to date. Total land that has been disturbed by South32 to date is 18,017 hectares, of which 5,911 hectares have been rehabilitated. \n(2) FY23 total land set aside for conservation includes forest ecosystem restoration and agroforestry at Cerro Matoso, stewardship (offset) sites at Illawarra Metallurgical Coal, and areas of significant conservation value, ecological restoration and habitat protection at Worsley Alumina.",,,,,,,,,,,,,
23,,Biodiversity management,,,,,,,,,,,,,
25,,"Biodiversity management plans implemented, where required",FY23,FY22,FY21,FY20,FY19,,,,,,,,
26,,Percentage of required operations with biodiversity management plans implemented(1),100,100,100,100,100,,,,,,,,
28,,"(1) All required operations have a biodiversity management plan in place. All of our 'operated operations' require biodiversity management plans, excluding Mozal Aluminium.",,,,,,,,,,,,,
30,,Red list species and national conservation list species by country presence,Critically \nendangered,Endangered,Vulnerable,Near\nthreatened,Least concern,,,,,,,,
31,,Australia(1),7,14,19,11,100,,,,,,,,
32,,Colombia,5,6,9,13,1177,,,,,,,,
33,,South Africa,4,9,17,21,554,,,,,,,,
35,,(1) Threatened species are categorised in accordance with the International Union for Conservation of Nature (IUCN) Red List and national conservation lists in the countries in which we operate.,,,,,,,,,,,,,
37,,Designated protected areas and high conservation value areas,Type of Operation(1),Habitat type,Area classification(2),Area name,,,Proximity(3),Basis of recognition,Designation type,IUCN category(4),Size of operational site (ha)(5),Size of common land on or overlapping DPA or HCVA (ha),
38,,Australia,,,,,,,,,,,,,
39,,Cannington,Extractive,Maritime,DPA,Great Barrier Reef,,,Adjacent to,Inscribed,International,IV,121672,-,
40,,,,Maritime,DPA,Great Barrier Reef Marine Park,,,In the area,Designated,National,Ia,,-,
41,,,,Maritime,DPA,Great Barrier Reef Coast,,,In the area,Designated,National,VI,,-,
42,,,,Terrestrial,DPA,Biodiversity Offset Area on Trepell Special Lease,,,In the area,Biodiversity Agreement,Not Applicable,Not Applicable,,137,
43,,GEMCO,Extractive,Terrestrial,DPA,Anindilyakwa Indigenous Protected Area,,,In the area,Terrestrial and Inland Waters Protected Areas,National,V,13200,39111,
44,,Illawarra Metallurgical Coal,Extractive,Terrestrial,DPA,Shale Sandstone Transition Forest Offset/APN W,,,Contains portions of,Biodiversity Stewardship Agreement,National,IV,48418,83.6,
